Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
WTL-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,8.3,mg/L,0.05,0.2,0.2,12/22/2011,10:32:00,12/22/2011 10:32,12/22/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2011,,,
PND-006,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,1/10/2012,9:42:00,1/10/2012 9:42,1/11/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for January 2012,,,
PND-004,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,1/10/2012,9:49:00,1/10/2012 9:49,1/11/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for January 2012,,,
PND-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,1/10/2012,9:55:00,1/10/2012 9:55,1/11/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for January 2012,,,
PND-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,1/10/2012,10:09:00,1/10/2012 10:09,1/11/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for January 2012,,,
PND-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,1/10/2012,10:16:00,1/10/2012 10:16,1/11/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for January 2012,,,
EFF-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,7,mg/L,0.05,0.2,0.2,1/10/2012,10:33:00,1/10/2012 10:33,1/11/2012,0:00:00,,,,City of Davis WWTP, Annual SMR ( MONNPDES ) report for  2012,,,
PND-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,0.19,mg/L,0.01,0.1,0.1,1/10/2012,11:59:00,1/10/2012 11:59,1/11/2012,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for January 2012,,,
RGW-001,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.093,mg/L,0.01,0.1,0.1,2/1/2012,8:38:00,2/1/2012 8:38,2/2/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2012,,,
RGW-002,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,0.16,mg/L,0.01,0.1,0.1,2/1/2012,9:19:00,2/1/2012 9:19,2/2/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2012,,,
RGW-003,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,ND,,mg/L,0.01,0.1,0.1,2/1/2012,10:07:00,2/1/2012 10:07,2/2/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2012,,,
RGW-006,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,4.1,mg/L,0.02,0.1,0.1,2/2/2012,8:51:00,2/2/2012 8:51,2/3/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2012,,,
RGW-005,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,=,6,mg/L,0.02,0.1,0.1,2/2/2012,9:33:00,2/2/2012 9:33,2/3/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2012,,,
RGW-004,"Nitrate, Total (as N)",Inorganic Anions by Ion Chromatography,,DNQ,0.073,mg/L,0.01,0.1,0.1,2/2/2012,10:05:00,2/2/2012 10:05,2/3/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2012,,,
