Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
WTL-001,"Nitrite, Total (as N)",Data Unavailable,,=,0.15,mg/L,0.002,0.03,0.03,11/5/2010,12:05:00,11/5/2010 12:05,11/6/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
PND-001,"Nitrite, Total (as N)",Data Unavailable,,DNQ,0.015,mg/L,0.002,0.03,0.03,11/9/2010,8:57:00,11/9/2010 8:57,11/11/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
PND-002,"Nitrite, Total (as N)",Data Unavailable,,=,0.29,mg/L,0.002,0.03,0.03,11/9/2010,9:06:00,11/9/2010 9:06,11/11/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
PND-003,"Nitrite, Total (as N)",Data Unavailable,,DNQ,0.009,mg/L,0.002,0.03,0.03,11/9/2010,9:15:00,11/9/2010 9:15,11/11/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for  November 2010,,,
PND-001,"Nitrite, Total (as N)",Data Unavailable,,=,0.17,mg/L,0.002,0.03,0.03,12/1/2010,11:01:00,12/1/2010 11:01,12/3/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2010,,,
PND-002,"Nitrite, Total (as N)",Data Unavailable,,=,0.34,mg/L,0.002,0.03,0.03,12/1/2010,11:13:00,12/1/2010 11:13,12/3/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2010,,,
PND-003,"Nitrite, Total (as N)",Data Unavailable,,=,0.065,mg/L,0.002,0.03,0.03,12/1/2010,11:20:00,12/1/2010 11:20,12/3/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2010,,,
PND-004,"Nitrite, Total (as N)",Data Unavailable,,=,0.053,mg/L,0.002,0.03,0.03,12/20/2010,11:35:00,12/20/2010 11:35,12/22/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2010,,,
PND-005,"Nitrite, Total (as N)",Data Unavailable,,=,0.2,mg/L,0.002,0.03,0.03,12/20/2010,11:43:00,12/20/2010 11:43,12/22/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2010,,,
PND-001,"Nitrite, Total (as N)",Data Unavailable,,=,0.57,mg/L,0.002,0.03,0.03,12/20/2010,12:00:00,12/20/2010 12:00,12/22/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2010,,,
PND-006,"Nitrite, Total (as N)",Data Unavailable,,DNQ,0.02,mg/L,0.002,0.03,0.03,12/20/2010,12:08:00,12/20/2010 12:08,12/22/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2010,,,
WTL-001,"Nitrite, Total (as N)",Data Unavailable,,=,0.084,mg/L,0.002,0.03,0.03,12/23/2010,7:28:00,12/23/2010 7:28,12/23/2010,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for December 2010,,,
