Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
LND-002,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,5,mg/L,,,,5/8/2014,9:17:00,5/8/2014 9:17,5/8/2014,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  May 2014,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,6,mg/L,,,,6/9/2014,11:47:00,6/9/2014 11:47,6/19/2014,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  June 2014,,,
LND-002,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,8,mg/L,,,,6/11/2014,11:03:00,6/11/2014 11:03,6/19/2014,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  June 2014,,,
LND-002,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,5,mg/L,,,,6/13/2014,9:18:00,6/13/2014 9:18,6/19/2014,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  June 2014,,,
LND-002,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,6,mg/L,,,,6/16/2014,11:23:00,6/16/2014 11:23,6/19/2014,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  June 2014,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,7,mg/L,,,,6/18/2014,9:26:00,6/18/2014 9:26,7/11/2014,0:00:00,,,,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  June 2014,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,10,mg/L,,,,7/1/2014,9:24:00,7/1/2014 9:24,7/11/2014,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  July 2014,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,6,mg/L,,,,7/8/2014,8:15:00,7/8/2014 8:15,7/9/2014,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  July 2014,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,4,mg/L,,,,7/14/2014,9:20:00,7/14/2014 9:20,8/8/2014,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  July 2014,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,10,mg/L,,,,7/31/2014,9:12:00,7/31/2014 9:12,8/8/2014,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  July 2014,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,5,mg/L,,,,8/4/2014,11:38:00,8/4/2014 11:38,8/8/2014,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2014,,,
LND-002,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,4,mg/L,,,,8/7/2014,12:49:00,8/7/2014 12:49,8/8/2014,0:00:00,,,irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2014,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,14,mg/L,,,,8/11/2014,9:39:00,8/11/2014 9:39,8/21/2014,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2014,,,
LND-002,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,6,mg/L,,,,8/13/2014,14:35:00,8/13/2014 14:35,8/21/2014,0:00:00,,,irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2014,,,
LND-001,"Nitrogen, Total (as N)","Nitrogen, Kjeldahl, Total",,=,7,mg/L,,,,8/17/2014,9:55:00,8/17/2014 9:55,8/21/2014,0:00:00,,,Irrigation,City of Manteca WW Quality Control Facility, Monthly SMR ( MONNPDES ) report for  August 2014,,,
