Location,Parameter,Analytical Method,Calculated Method,Qual,Result,Units,MDL,ML,RL,Sampling Date,Sampling Time,Sampling Date Time,Analysis Date,Analysis Time,Review Priority Indicator,QA Codes,Comments,Facility Name,Report Name,Latitude,Longitude,Receiving Water Body
RGW-006,Nitrite Plus Nitrate (as N),Data Unavailable,,=,4.6,mg/L,0.1,0.1,0.1,11/16/2011,13:23:00,11/16/2011 13:23,12/14/2011,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q4 2011,,,
RGW-006,Nitrite Plus Nitrate (as N),Data Unavailable,,=,4.6,mg/L,0.1,0.1,0.1,11/16/2011,13:23:00,11/16/2011 13:23,12/14/2011,0:00:00,,,,City of Davis WWTP, Monthly SMR ( MONNPDES ) report for November 2011,,,
RGW-001,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,2/1/2012,8:38:00,2/1/2012 8:38,3/13/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2012,,,
RGW-002,Nitrite Plus Nitrate (as N),Data Unavailable,,=,0.16,mg/L,0.1,0.1,0.1,2/1/2012,9:19:00,2/1/2012 9:19,3/13/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2012,,,
RGW-003,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,2/1/2012,10:07:00,2/1/2012 10:07,3/13/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2012,,,
RGW-006,Nitrite Plus Nitrate (as N),Data Unavailable,,=,4.1,mg/L,0.1,0.1,0.1,2/2/2012,8:51:00,2/2/2012 8:51,3/13/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2012,,,
RGW-005,Nitrite Plus Nitrate (as N),Data Unavailable,,=,6,mg/L,0.1,0.1,0.1,2/2/2012,9:33:00,2/2/2012 9:33,3/13/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2012,,,
RGW-004,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.1,0.1,0.1,2/2/2012,10:05:00,2/2/2012 10:05,3/13/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q1 2012,,,
RGW-001,Nitrite Plus Nitrate (as N),Data Unavailable,,=,0.12,mg/L,0.01,0.1,0.1,4/5/2012,8:32:00,4/5/2012 8:32,5/14/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2012,,,
RGW-002,Nitrite Plus Nitrate (as N),Data Unavailable,,=,0.34,mg/L,0.01,0.1,0.1,4/5/2012,9:25:00,4/5/2012 9:25,5/14/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2012,,,
RGW-003,Nitrite Plus Nitrate (as N),Data Unavailable,,ND,,mg/L,0.01,0.1,0.1,4/5/2012,11:10:00,4/5/2012 11:10,5/14/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2012,,,
RGW-005,Nitrite Plus Nitrate (as N),Data Unavailable,,=,6.6,mg/L,0.05,0.2,0.2,4/6/2012,10:14:00,4/6/2012 10:14,6/5/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2012,,,
RGW-004,Nitrite Plus Nitrate (as N),Data Unavailable,,=,0.12,mg/L,0.01,0.1,0.1,4/6/2012,11:06:00,4/6/2012 11:06,6/5/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2012,,,
RGW-006,Nitrite Plus Nitrate (as N),Data Unavailable,,=,3.8,mg/L,0.1,0.1,0.1,5/11/2012,8:57:00,5/11/2012 8:57,6/21/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q2 2012,,,
RGW-001,Nitrite Plus Nitrate (as N),Data Unavailable,,=,0.74,mg/L,0.1,0.1,0.1,7/19/2012,8:17:00,7/19/2012 8:17,8/21/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2012,,,
RGW-002,Nitrite Plus Nitrate (as N),Data Unavailable,,=,0.16,mg/L,0.1,0.1,0.1,7/19/2012,9:07:00,7/19/2012 9:07,8/20/2012,0:00:00,,,,City of Davis WWTP, Quarterly SMR ( MONNPDES ) report for Q3 2012,,,
