Date,DRP** mg/L P,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-31,,2.84,,10.97,2.2,,,,,,,,0.56,,,,
2000-02-29,,2.84,,10.97,2.2,,,,,,,,0.56,,,,
2000-03-31,,2.84,,10.97,2.2,,,,,,,,0.56,,,,
2000-04-30,,2.84,,10.97,2.2,,,,,,,,0.56,,,,
2000-05-31,,2.84,,10.97,2.2,,,,,,,,0.56,,,,
2000-06-30,,2.84,,10.97,2.2,,,,,,,,0.0,,,,
2000-07-31,,2.84,,10.97,2.2,,,,,,,,0.0,,,,
2000-08-31,,2.84,,10.97,2.2,,,,,,,,0.0,,,,
2000-09-30,,2.84,,10.97,2.2,,,,,,,,0.0,,,,
2000-10-31,,2.84,,10.97,2.2,,,,,,,,0.0,,,,
2000-11-30,,2.84,,10.97,2.2,,,,,,,,0.56,,,,
2000-12-31,,2.84,,10.97,2.2,,,,,,,,0.56,,,,
2001-01-31,,2.84,,10.97,2.2,,,,,,,,0.56,,,,
2001-02-28,,2.84,,10.97,2.2,,,,,,,,0.56,,,,
2001-03-31,,2.84,,10.97,2.2,,,,,,,,0.56,,,,
2001-04-30,,2.84,,10.97,2.2,,,,,,,,0.56,,,,
2001-05-31,,2.84,,10.97,2.2,,,,,,,,0.56,,,,
2001-06-30,,2.84,,10.97,2.2,,,,,,,,0.0,,,,
2001-07-31,,2.84,,10.97,2.2,,,,,,,,0.0,,,,
2001-08-31,,2.84,,10.97,2.2,,,,,,,,0.0,,,,
2001-09-30,,2.84,,10.97,2.2,,,,,,,,0.0,,,,
2001-10-31,,2.84,,10.97,2.2,,,,,,,,0.0,,,,
2001-11-30,,2.84,,10.97,2.2,,,,,,,,0.56,,,,
2001-12-31,,2.84,,10.97,2.2,,,,,,,,0.56,,,,
