Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,orgN mg/L N,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-02,,1.0,,,,,2.6,,,,,,,4.4,2000.0,2.768,,6.8,,18.2,
2000-01-03,,1.0,,,,,2.6,,,,,,,3.7,2000.0,2.931,,7.0,,17.4,
2000-01-04,,1.0,,,,,2.6,,,,,,,3.5,2000.0,2.694,,7.1,,16.7,
2000-01-05,,1.0,,,,,2.6,,,,,,,,2000.0,2.713,,7.0,,12.1,
2000-01-06,,1.0,,,,,2.6,,,,,,,,2000.0,2.7,,6.8,,14.0,
2000-01-07,,1.0,,,,,2.6,,,,,,,,2000.0,2.892,,7.0,,17.7,
2000-01-08,,1.0,,,,,2.6,,,,,,,,2000.0,2.629,,6.8,,16.7,
2000-01-09,,1.0,,,,,2.6,,,,,,,4.2,2000.0,2.574,,6.8,,16.7,
2000-01-10,,1.0,0.32,,21.0,,2.6,,,,,,,5.0,2000.0,3.066,,6.9,,17.0,
2000-01-11,,1.0,,,,,2.6,,,,,,,2.3,2000.0,3.805,,7.0,,17.5,
2000-01-12,,1.0,,,,,2.6,,,,,,,,2000.0,1.78,,6.8,,17.5,
2000-01-13,,1.0,,,,,2.6,,,,,,,,2000.0,3.582,,7.0,,16.0,
2000-01-14,,1.0,,,,,2.6,,,,,,,,2000.0,1.274,,6.9,,16.8,
2000-01-15,,1.0,,,,,2.6,,,,,,,,2000.0,4.016,,6.8,,16.9,
2000-01-16,,1.0,,,,,2.6,,,,,,,6.0,2000.0,3.297,,6.8,,19.1,
2000-01-17,,1.0,,,,,2.6,,,,,,,4.7,2000.0,3.705,,6.7,,18.4,
2000-01-18,,1.0,0.35,,13.0,,2.6,,,,,,,7.6,2000.0,2.373,,6.7,,19.3,
2000-01-19,,1.0,,,,,2.6,,,,,,,,2000.0,4.142,,7.0,,18.4,
2000-01-20,,1.0,,,,,2.6,,,,,,,,2000.0,5.424,,6.9,,17.9,
2000-01-21,,1.0,,,,,2.6,,,,,,,,2000.0,5.437,,7.0,,17.1,
2000-01-22,,1.0,,,,,2.6,,,,,,,,2000.0,4.316,,6.6,,14.6,
2000-01-23,,1.0,,,,,2.6,,,,,,,7.8,2000.0,5.935,,6.6,,16.2,
2000-01-24,,1.0,0.46,,11.0,,2.6,,,,,,,8.3,2000.0,5.785,,6.7,,18.0,
2000-01-25,,1.0,,,,,2.6,,,,,,,7.5,2000.0,7.743,,6.6,,16.7,
2000-01-26,,1.0,,,,,2.6,,,,,,,,2000.0,6.695,,6.6,,15.9,
2000-01-27,,1.0,,,,,2.6,,,,,,,,2000.0,5.604,,6.5,,17.4,
2000-01-28,,1.0,,,,,2.6,,,,,,,,2000.0,4.635,,6.7,,16.1,
2000-01-29,,1.0,,,,,2.6,,,,,,,,2000.0,4.457,,6.7,,16.4,
2000-01-30,,1.0,,,,,2.6,,,,,,,4.4,2000.0,5.318,,6.7,,17.3,
2000-01-31,,1.0,0.35,,14.0,,2.6,,,,,,,4.4,2000.0,5.111,,6.6,,15.6,
2000-02-01,,2.0,,,,,2.6,,,,,,,6.0,2000.0,5.01,,6.5,,15.8,
2000-02-02,,2.0,,,,,2.6,,,,,,,,2000.0,3.937,,6.6,,17.0,
2000-02-03,,2.0,,,,,2.6,,,,,,,,2000.0,4.504,,6.7,,17.2,
2000-02-04,,2.0,,,,,2.6,,,,,,,,2000.0,4.016,,6.7,,17.1,
2000-02-05,,2.0,,,,,2.6,,,,,,,,2000.0,4.991,,6.7,,17.9,
2000-02-06,,2.0,,,,,2.6,,,,,,,11.0,2000.0,4.953,,6.6,,17.8,
2000-02-07,,2.0,0.26,,16.0,7.9,2.6,,,,,,,9.0,2000.0,4.213,0.46,6.6,,18.6,
2000-02-08,,2.0,,,,,2.6,,,,,,,4.0,2000.0,4.132,,6.9,,17.3,
2000-02-09,,2.0,,,,,2.6,,,,,,,,2000.0,3.206,,6.8,,17.9,
2000-02-10,,2.0,,,,,2.6,,,,,,,,2000.0,5.597,,6.9,,18.3,
2000-02-11,,2.0,,,,,2.6,,,,,,,,2000.0,7.1,,6.7,,18.3,
2000-02-12,,2.0,,,,,2.6,,,,,,,,2000.0,7.774,,6.7,,17.4,
2000-02-13,,2.0,,,,,2.6,,,,,,,,2000.0,9.692,,6.6,,14.1,
2000-02-14,,2.0,0.32,,10.0,,2.6,,,,,,,7.0,2000.0,10.789,,6.8,,16.0,
2000-02-15,,2.0,0.22,,6.1,,2.6,,,,,,,17.0,2000.0,11.804,,6.8,,15.8,
2000-02-16,,2.0,0.2,,6.9,,2.6,,,,,,,12.0,2000.0,11.43,,6.8,,15.9,
2000-02-17,,2.0,,,,,2.6,,,,,,,,2000.0,11.185,,6.8,,16.8,
2000-02-18,,2.0,,,,,2.6,,,,,,,,2000.0,10.667,,6.8,,16.8,
2000-02-19,,2.0,,,,,2.6,,,,,,,,2000.0,10.883,,6.7,,16.0,
2000-02-20,,2.0,,,,,2.6,,,,,,,,2000.0,10.422,,6.7,,16.2,
2000-02-21,,2.0,,,,,2.6,,,,,,,,2000.0,9.973,,6.6,,16.5,
2000-02-22,,2.0,0.27,,8.5,,2.6,,,,,,,5.0,2000.0,8.108,,6.6,,17.5,
2000-02-23,,2.0,,,,,2.6,,,,,,,1.0,2000.0,9.345,,6.6,,16.1,
2000-02-24,,2.0,,,,,2.6,,,,,,,1.0,2000.0,9.25,,6.8,,16.9,
2000-02-25,,2.0,,,,,2.6,,,,,,,,2000.0,8.536,,6.7,,16.5,
2000-02-26,,2.0,,,,,2.6,,,,,,,,2000.0,8.847,,6.7,,17.0,
2000-02-27,,2.0,0.27,,8.5,,2.6,,,,,,,3.0,2000.0,8.627,,6.7,,17.1,
2000-02-28,,2.0,0.26,,7.4,,2.6,,,,,,,2.0,2000.0,9.086,,6.7,,16.8,
2000-02-29,,2.0,0.33,,8.4,,2.6,,,,,,,5.0,2000.0,8.728,,6.8,,16.3,
2000-03-01,,3.0,,,,,2.6,,,,,,,,2000.0,8.783,,6.63,,16.8,
2000-03-02,,3.0,,,,,2.6,,,,,,,,2000.0,8.494,,6.66,,15.8,
2000-03-03,,3.0,,,,,2.6,,,,,,,,2000.0,8.646,,6.79,,17.1,
2000-03-04,,3.0,,,,,2.6,,,,,,,,2000.0,8.258,,6.7,,16.9,
2000-03-05,,3.0,,,,,2.6,,,,,,,,2000.0,8.543,,6.73,,16.9,
2000-03-06,,3.0,0.36,,6.3,5.2,2.6,,,,,,,5.0,2000.0,6.791,0.2,6.88,,16.9,
2000-03-07,,3.0,,,,,2.6,,,,,,,4.8,2000.0,7.572,,6.72,,16.1,
2000-03-08,,3.0,,,,,2.6,,,,,,,3.4,2000.0,8.326,,6.71,,16.5,
2000-03-09,,3.0,,,,,2.6,,,,,,,,2000.0,8.339,,6.83,,16.1,
2000-03-10,,3.0,,,,,2.6,,,,,,,,2000.0,8.441,,6.7,,16.4,
2000-03-11,,3.0,0.2,,11.0,,2.6,,,,,,,,2000.0,7.807,,6.69,,17.2,
2000-03-12,,3.0,0.2,,9.2,,2.6,,,,,,,4.0,2000.0,6.193,,6.57,,17.3,
2000-03-13,,3.0,,,,,2.6,,,,,,,4.0,2000.0,5.423,,6.76,,17.3,
2000-03-14,,3.0,,,,,2.6,,,,,,,3.3,2000.0,5.722,,6.72,,17.6,
2000-03-15,,3.0,,,,,2.6,,,,,,,,2000.0,4.862,,6.84,,17.8,
2000-03-16,,3.0,,,,,2.6,,,,,,,,2000.0,5.44,,6.88,,17.4,
2000-03-17,,3.0,,,,,2.6,,,,,,,,2000.0,3.528,,6.65,,16.8,
2000-03-18,,3.0,,,,,2.6,,,,,,,,2000.0,4.136,,6.86,,18.2,
2000-03-19,,3.0,0.34,,16.0,,2.6,,,,,,,2.2,2000.0,4.665,,6.8,,18.9,
2000-03-20,,3.0,0.36,,15.0,,2.6,,,,,,,2.9,2000.0,4.584,,6.89,,17.8,
2000-03-21,,3.0,,,,,2.6,,,,,,,2.1,2000.0,4.105,,6.69,,19.2,
2000-03-22,,3.0,,,,,2.6,,,,,,,,2000.0,3.879,,6.88,,18.7,
2000-03-23,,3.0,,,,,2.6,,,,,,,,2000.0,4.342,,6.96,,18.0,
2000-03-24,,3.0,,,,,2.6,,,,,,,,2000.0,3.322,,6.99,,17.3,
2000-03-25,,3.0,,,,,2.6,,,,,,,,2000.0,3.562,,6.91,,18.9,
2000-03-26,,3.0,0.22,,17.0,,2.6,,,,,,,2.8,2000.0,4.401,,6.88,,19.2,
2000-03-27,,3.0,0.2,,20.0,,2.6,,,,,,,5.8,2000.0,3.608,,6.91,,18.1,
2000-03-28,,3.0,,,,,2.6,,,,,,,3.7,2000.0,3.13,,6.94,,18.0,
2000-03-29,,3.0,,,,,2.6,,,,,,,,2000.0,4.274,,6.9,,17.8,
2000-03-30,,3.0,,,,,2.6,,,,,,,,2000.0,2.75,,6.97,,17.9,
2000-03-31,,3.0,,,,,2.6,,,,,,,,2000.0,3.977,,7.01,,19.5,
2000-04-01,,4.0,,,,,2.6,,,,,,,,2000.0,3.775,,6.93,,19.9,
2000-04-02,,4.0,,,,,2.6,,,,,,,6.0,2000.0,3.743,,7.08,,21.4,
2000-04-03,,4.0,0.56,,17.0,12.0,2.6,,,,,,,6.6,2000.0,3.011,0.4,6.89,,19.6,
2000-04-04,,4.0,,,,,2.6,,,,,,,5.1,2000.0,3.486,,6.97,,19.2,
2000-04-05,,4.0,,,,,2.6,,,,,,,,2000.0,3.474,,6.85,,19.9,
2000-04-06,,4.0,,,,,2.6,,,,,,,,2000.0,2.824,,6.89,,19.5,
2000-04-07,,4.0,,,,,2.6,,,,,,,,2000.0,3.699,,6.89,,19.5,
2000-04-08,,4.0,,,,,2.6,,,,,,,,2000.0,3.411,,7.08,,20.2,
2000-04-09,,4.0,,,,,2.6,,,,,,,6.8,2000.0,3.189,,7.11,,19.8,
2000-04-10,,4.0,0.28,,20.0,,2.6,,,,,,,8.7,2000.0,3.449,,6.9,,19.5,
2000-04-11,,4.0,,,,,2.6,,,,,,,6.8,2000.0,4.281,,7.04,,18.9,
2000-04-12,,4.0,,,,,2.6,,,,,,,,2000.0,3.351,,6.8,,20.3,
2000-04-13,,4.0,,,,,2.6,,,,,,,,2000.0,3.584,,6.82,,19.5,
2000-04-14,,4.0,,,,,2.6,,,,,,,,2000.0,3.905,,6.82,,18.7,
2000-04-15,,4.0,,,,,2.6,,,,,,,,2000.0,3.133,,6.95,,20.1,
2000-04-16,,4.0,,,,,2.6,,,,,,,3.0,2000.0,5.29,,6.7,,20.1,
2000-04-17,,4.0,0.32,,16.0,,2.6,,,,,,,4.0,2000.0,7.658,,6.69,,19.2,
2000-04-18,,4.0,,,,,2.6,,,,,,,6.2,2000.0,4.302,,6.66,,18.1,
2000-04-19,,4.0,,,,,2.6,,,,,,,,2000.0,4.7,,6.84,,18.4,
2000-04-20,,4.0,,,,,2.6,,,,,,,,2000.0,3.823,,6.91,,19.4,
2000-04-21,,4.0,,,,,2.6,,,,,,,,2000.0,4.036,,6.84,,19.0,
2000-04-22,,4.0,,,,,2.6,,,,,,,,2000.0,3.439,,6.83,,19.2,
2000-04-23,,4.0,,,,,2.6,,,,,,,2.8,2000.0,3.789,,6.99,,17.5,
2000-04-24,,4.0,0.25,,14.0,,2.6,,,,,,,3.3,2000.0,3.469,,6.71,,19.4,
2000-04-25,,4.0,,,,,2.6,,,,,,,4.6,2000.0,3.993,,6.82,,18.6,
2000-04-26,,4.0,,,,,2.6,,,,,,,,2000.0,2.954,,6.53,,18.9,
2000-04-27,,4.0,,,,,2.6,,,,,,,,2000.0,3.422,,6.71,,19.0,
2000-04-28,,4.0,,,,,2.6,,,,,,,,2000.0,3.267,,6.73,,18.6,
2000-04-29,,4.0,,,,,2.6,,,,,,,,2000.0,2.94,,6.78,,19.8,
2000-04-30,,4.0,,,,,2.6,,,,,,,2.4,2000.0,3.297,,6.71,,19.8,
2000-05-01,,5.0,0.36,,19.0,11.0,2.6,,,,,,,5.4,2000.0,3.295,0.4,6.8,,19.3,
2000-05-02,,5.0,,,,,2.6,,,,,,,3.8,2000.0,3.154,,6.87,,20.2,
2000-05-03,,5.0,,,,,2.6,,,,,,,,2000.0,3.095,,6.93,,19.4,
2000-05-04,,5.0,,,,,2.6,,,,,,,,2000.0,3.297,,6.82,,19.9,
2000-05-05,,5.0,,,,,2.6,,,,,,,,2000.0,3.184,,6.82,,20.3,
2000-05-06,,5.0,,,,,2.6,,,,,,,,2000.0,3.224,,6.83,,20.6,
2000-05-07,,5.0,,,,,2.6,,,,,,,2.6,2000.0,3.681,,6.79,,19.6,
2000-05-08,,5.0,0.38,,16.0,,2.6,,,,,,,3.5,2000.0,3.858,,6.71,,20.1,
2000-05-09,,5.0,,,,,2.6,,,,,,,1.8,2000.0,2.993,,6.81,,20.0,
2000-05-10,,5.0,,,,,2.6,,,,,,,,2000.0,3.348,,6.9,,19.6,
2000-05-11,,5.0,,,,,2.6,,,,,,,,2000.0,3.195,,6.88,,21.2,
2000-05-12,,5.0,,,,,2.6,,,,,,,,2000.0,2.881,,6.9,,19.4,
2000-05-13,,5.0,,,,,2.6,,,,,,,,2000.0,3.41,,6.9,,20.0,
2000-05-14,,5.0,,,,,2.6,,,,,,,2.5,2000.0,3.737,,6.87,,20.4,
2000-05-15,,5.0,0.25,,16.0,,2.6,,,,,,,3.8,2000.0,4.604,,6.91,,20.0,
2000-05-16,,5.0,,,,,2.6,,,,,,,2.8,2000.0,3.09,,6.81,,20.0,
2000-05-17,,5.0,,,,,2.6,,,,,,,,2000.0,3.557,,6.98,,20.2,
2000-05-18,,5.0,,,,,2.6,,,,,,,,2000.0,3.028,,6.89,,20.4,
2000-05-19,,5.0,,,,,2.6,,,,,,,,2000.0,2.968,,6.8,,21.4,
2000-05-20,,5.0,,,,,2.6,,,,,,,,2000.0,3.54,,6.79,,21.3,
2000-05-21,,5.0,,,,,2.6,,,,,,,1.8,2000.0,2.802,,6.71,,22.5,
2000-05-22,,5.0,0.2,,13.0,,2.6,,,,,,,1.8,2000.0,3.173,,6.87,,20.8,
2000-05-23,,5.0,,,,,2.6,,,,,,,3.1,2000.0,2.426,,6.91,,21.2,
2000-05-24,,5.0,,,,,2.6,,,,,,,,2000.0,2.893,,7.01,,21.7,
2000-05-25,,5.0,,,,,2.6,,,,,,,,2000.0,2.532,,6.91,,21.2,
2000-05-26,,5.0,,,,,2.6,,,,,,,,2000.0,2.844,,6.84,,23.4,
2000-05-27,,5.0,,,,,2.6,,,,,,,,2000.0,2.526,,6.82,,22.1,
2000-05-28,,5.0,,,,,2.6,,,,,,,,2000.0,3.461,,6.75,,22.0,
2000-05-29,,5.0,,,,,2.6,,,,,,,2.6,2000.0,3.312,,6.72,,19.9,
2000-05-30,,5.0,0.57,,20.0,,2.6,,,,,,,4.1,2000.0,3.164,,6.81,,21.6,
2000-05-31,,5.0,,,,,2.6,,,,,,,2.1,2000.0,2.489,,6.61,,21.6,
2000-06-01,,6.0,,,,,2.6,,,,,,,,2000.0,3.521,,6.9,,21.7,
2000-06-02,,6.0,,,,,2.6,,,,,,,,2000.0,2.965,,7.0,,21.2,
2000-06-03,,6.0,,,,,2.6,,,,,,,,2000.0,2.786,,6.8,,22.0,
2000-06-04,,6.0,,,,,2.6,,,,,,,5.0,2000.0,3.154,,6.7,,21.4,
2000-06-05,,6.0,0.28,,19.0,13.0,2.6,,,,,,,4.0,2000.0,3.438,0.4,6.7,,21.4,
2000-06-06,,6.0,,,,,2.6,,,,,,,4.0,2000.0,2.885,,6.7,,21.8,
2000-06-07,,6.0,,,,,2.6,,,,,,,,2000.0,2.589,,6.7,,21.8,
2000-06-08,,6.0,,,,,2.6,,,,,,,,2000.0,2.763,,6.9,,21.7,
2000-06-09,,6.0,,,,,2.6,,,,,,,,2000.0,2.96,,7.0,,20.5,
2000-06-10,,6.0,,,,,2.6,,,,,,,,2000.0,3.025,,6.9,,22.7,
2000-06-11,,6.0,,,,,2.6,,,,,,,6.0,2000.0,2.087,,7.0,,23.2,
2000-06-12,,6.0,0.32,,18.0,,2.6,,,,,,,3.0,2000.0,3.469,,6.9,,22.2,
2000-06-13,,6.0,,,,,2.6,,,,,,,5.0,2000.0,2.724,,7.0,,21.5,
2000-06-14,,6.0,,,,,2.6,,,,,,,,2000.0,2.777,,7.0,,23.3,
2000-06-15,,6.0,,,,,2.6,,,,,,,,2000.0,2.7,,7.1,,23.6,
2000-06-16,,6.0,,,,,2.6,,,,,,,,2000.0,2.987,,7.0,,23.2,
2000-06-17,,6.0,,,,,2.6,,,,,,,,2000.0,2.861,,7.0,,22.7,
2000-06-18,,6.0,,,,,2.6,,,,,,96.0,5.0,2000.0,2.953,,6.9,,20.8,
2000-06-19,,6.0,0.2,,11.0,,2.6,,,,,,,5.0,2000.0,2.73,,7.0,,22.4,
2000-06-20,,6.0,,,,,2.6,,,,,,,3.0,2000.0,2.57,,6.9,,21.6,
2000-06-21,,6.0,,,,,2.6,,,,,,,,2000.0,3.265,,7.0,,23.2,
2000-06-22,,6.0,,,,,2.6,,,,,,,,2000.0,3.17,,7.0,,22.8,
2000-06-23,,6.0,,,,,2.6,,,,,,,,2000.0,2.656,,7.1,,22.5,
2000-06-24,,6.0,,,,,2.6,,,,,,,,2000.0,2.568,,6.7,,22.5,
2000-06-25,,6.0,,,,,2.6,,,,,,,2.0,2000.0,2.914,,6.7,,22.3,
2000-06-26,,6.0,0.25,,12.0,,2.6,,,,,,,3.0,2000.0,2.969,,6.8,,22.5,
2000-06-27,,6.0,,,,,2.6,,,,,,,6.0,2000.0,2.441,,6.9,,22.5,
2000-06-28,,6.0,,,,,2.6,,,,,,,,2000.0,3.139,,7.0,,20.6,
2000-06-29,,6.0,,,,,2.6,,,,,,,,2000.0,2.685,,6.9,,19.5,
2000-06-30,,6.0,,,,,2.6,,,,,,,,2000.0,2.988,,6.9,,21.7,
2000-07-01,,7.0,,,,,2.6,,,,,,,,2000.0,2.94,,6.7,,21.5,
2000-07-02,,7.0,,,,,2.6,,,,,,,,2000.0,2.512,,6.7,,23.7,
2000-07-03,,7.0,,,,,2.6,,,,,,,,2000.0,2.849,,6.7,,23.1,
2000-07-04,,7.0,,,,,2.6,,,,,,,3.0,2000.0,2.444,,6.6,,23.1,
2000-07-05,,7.0,0.39,,12.0,,2.6,,,,,,,1.0,2000.0,2.941,,6.6,,22.8,
2000-07-06,,7.0,,,,,2.6,,,,,,,3.0,2000.0,2.612,,6.7,,22.7,
2000-07-07,,7.0,,,,,2.6,,,,,,,,2000.0,2.726,,6.9,,22.5,
2000-07-08,,7.0,,,,,2.6,,,,,,,,2000.0,3.095,,6.9,,23.0,
2000-07-09,,7.0,,,,,2.6,,,,,,,4.0,2000.0,2.601,,7.1,,23.8,
2000-07-10,,7.0,0.35,,13.0,12.0,2.6,,,,,,,3.0,2000.0,3.162,0.4,6.9,,21.9,
2000-07-11,,7.0,,,,,2.6,,,,,,,3.0,2000.0,2.436,,7.0,,22.4,
2000-07-12,,7.0,,,,,2.6,,,,,,,,2000.0,3.06,,7.1,,22.1,
2000-07-13,,7.0,,,,,2.6,,,,,,,,2000.0,2.442,,7.0,,21.9,
2000-07-14,,7.0,,,,,2.6,,,,,,,,2000.0,2.658,,7.0,,22.5,
2000-07-15,,7.0,,,,,2.6,,,,,,,,2000.0,2.512,,6.7,,23.4,
2000-07-16,,7.0,,,,,2.6,,,,,,,2.0,2000.0,2.78,,6.8,,23.9,
2000-07-17,,7.0,,,,,2.6,,,,,,,3.0,2000.0,3.248,,6.9,,23.3,
2000-07-18,,7.0,,,,,2.6,,,,,,,3.0,2000.0,2.399,,6.7,,22.5,
2000-07-19,,7.0,,,,,2.6,,,,,,,,2000.0,2.59,,6.7,,21.9,
2000-07-20,,7.0,,,,,2.6,,,,,,,,2000.0,1.769,,6.9,,22.1,
2000-07-21,,7.0,,,,,2.6,,,,,,,,2000.0,2.68,,6.7,,23.0,
2000-07-22,,7.0,,,,,2.6,,,,,,,,2000.0,3.338,,6.9,,23.6,
2000-07-23,,7.0,,,,,2.6,,,,,,,2.0,2000.0,2.31,,6.9,,23.2,
2000-07-24,,7.0,,,,,2.6,,,,,,,2.0,2000.0,3.224,,6.9,,23.1,
2000-07-25,,7.0,,,,,2.6,,,,,,,2.0,2000.0,2.476,,6.8,,22.3,
2000-07-26,,7.0,,,,,2.6,,,,,,,,2000.0,2.444,,6.9,,21.9,
2000-07-27,,7.0,,,,,2.6,,,,,,,,2000.0,3.218,,7.1,,23.7,
2000-07-28,,7.0,,,,,2.6,,,,,,,,2000.0,3.403,,6.9,,23.2,
2000-07-29,,7.0,,,,,2.6,,,,,,,,2000.0,2.422,,6.8,,24.1,
2000-07-30,,7.0,,,,,2.6,,,,,,,1.0,2000.0,2.308,,6.9,,24.9,
2000-07-31,,7.0,,,,,2.6,,,,,,,1.0,2000.0,3.156,,6.7,,24.5,
2000-08-01,,8.0,,,,,2.6,,,,,,,1.2,2000.0,2.962,,6.8,,23.4,
2000-08-02,,8.0,,,,,2.6,,,,,,,,2000.0,2.173,,6.8,,24.8,
2000-08-03,,8.0,0.32,,4.0,9.4,2.6,,,,,,,,2000.0,2.915,0.4,6.9,,22.9,
2000-08-04,,8.0,,,,,2.6,,,,,,,,2000.0,2.616,,6.8,,24.0,
2000-08-05,,8.0,,,,,2.6,,,,,,,,2000.0,3.038,,7.0,,25.1,
2000-08-06,,8.0,,,,,2.6,,,,,,,1.8,2000.0,2.533,,6.9,,24.4,
2000-08-07,,8.0,0.2,,10.0,,2.6,,,,,,,1.0,2000.0,2.977,,6.8,,23.7,
2000-08-08,,8.0,,,,,2.6,,,,,,,2.1,2000.0,2.507,,6.7,,23.1,
2000-08-09,,8.0,,,,,2.6,,,,,,,,2000.0,2.787,,6.9,,23.3,
2000-08-10,,8.0,,,,,2.6,,,,,,,,2000.0,2.49,,6.8,,23.7,
2000-08-11,,8.0,,,,,2.6,,,,,,,,2000.0,2.853,,6.8,,22.9,
2000-08-12,,8.0,,,,,2.6,,,,,,,,2000.0,2.529,,6.7,,23.9,
2000-08-13,,8.0,,,,,2.6,,,,,,,1.6,2000.0,2.766,,6.8,,22.8,
2000-08-14,,8.0,0.26,,16.0,,2.6,,,,,,,1.3,2000.0,1.967,,6.7,,23.8,
2000-08-15,,8.0,,,,,2.6,,,,,,,2.0,2000.0,2.253,,6.9,,22.5,
2000-08-16,,8.0,,,,,2.6,,,,,,,,2000.0,2.436,,6.7,,23.6,
2000-08-17,,8.0,,,,,2.6,,,,,,,,2000.0,3.166,,6.9,,23.1,
2000-08-18,,8.0,,,,,2.6,,,,,,,,2000.0,2.237,,6.9,,23.1,
2000-08-19,,8.0,,,,,2.6,,,,,,,,2000.0,3.065,,6.8,,23.2,
2000-08-20,,8.0,,,,,2.6,,,,,,,1.7,2000.0,2.265,,6.7,,22.9,
2000-08-21,,8.0,0.4,,11.0,,2.6,,,,,,,1.0,2000.0,2.817,,6.8,,23.7,
2000-08-22,,8.0,,,,,2.6,,,,,,,1.6,2000.0,2.675,,6.8,,23.5,
2000-08-23,,8.0,,,,,2.6,,,,,,,,2000.0,3.02,,6.7,,23.5,
2000-08-24,,8.0,,,,,2.6,,,,,,,,2000.0,1.988,,6.7,,22.4,
2000-08-25,,8.0,,,,,2.6,,,,,,,,2000.0,2.268,,7.0,,23.2,
2000-08-26,,8.0,,,,,2.6,,,,,,,,2000.0,3.028,,6.6,,21.7,
2000-08-27,,8.0,,,,,2.6,,,,,,,1.4,2000.0,3.485,,6.7,,22.6,
2000-08-28,,8.0,0.46,,13.0,,2.6,,,,,,,3.0,2000.0,3.127,,6.5,,23.4,
2000-08-29,,8.0,,,,,2.6,,,,,,,2.3,2000.0,3.069,,6.7,,23.6,
2000-08-30,,8.0,,,,,2.6,,,,,,,,2000.0,3.073,,6.5,,22.8,
2000-08-31,,8.0,,,,,2.6,,,,,,,,2000.0,3.119,,6.6,,23.1,
2000-09-01,,9.0,,,,,2.6,,,,,,,,2000.0,2.383,,7.0,,23.3,
2000-09-02,,9.0,,,,,2.6,,,,,,,,2000.0,3.284,,6.6,,23.1,
2000-09-03,,9.0,,,,,2.6,,,,,,,,2000.0,2.736,,6.6,,22.8,
2000-09-04,,9.0,,,,,2.6,,,,,,,1.6,2000.0,2.796,,6.6,,21.3,
2000-09-05,,9.0,0.94,,18.0,10.0,2.6,,,,,,,1.8,2000.0,2.841,0.5,6.8,,22.4,
2000-09-06,,9.0,,,,,2.6,,,,,,,1.6,2000.0,3.352,,6.5,,23.4,
2000-09-07,,9.0,,,,,2.6,,,,,,,,2000.0,2.39,,6.6,,24.2,
2000-09-08,,9.0,,,,,2.6,,,,,,,,2000.0,2.947,,6.8,,22.5,
2000-09-09,,9.0,,,,,2.6,,,,,,,,2000.0,2.84,,6.8,,23.6,
2000-09-10,,9.0,,,,,2.6,,,,,,,1.0,2000.0,2.887,,6.7,,23.8,
2000-09-11,,9.0,0.39,,6.8,,2.6,,,,,,,1.4,2000.0,3.472,,6.8,,22.9,
2000-09-12,,9.0,,,,,2.6,,,,,,,1.0,2000.0,2.768,,6.8,,23.7,
2000-09-13,,9.0,,,,,2.6,,,,,,,,2000.0,2.248,,6.8,,23.7,
2000-09-14,,9.0,,,,,2.6,,,,,,,,2000.0,1.402,,7.1,,23.8,
2000-09-15,,9.0,,,,,2.6,,,,,,,,2000.0,2.476,,6.9,,24.1,
2000-09-16,,9.0,,,,,2.6,,,,,,,,2000.0,2.328,,6.8,,24.0,
2000-09-17,,9.0,,,,,2.6,,,,,,,2.0,2000.0,1.871,,6.8,,24.5,
2000-09-18,,9.0,0.42,,5.2,,2.6,,,,,,,1.3,2000.0,2.559,,6.6,,24.0,
2000-09-19,,9.0,,,,,2.6,,,,,,,1.2,2000.0,2.36,,6.7,,24.3,
2000-09-20,,9.0,,,,,2.6,,,,,,,,2000.0,2.741,,6.7,,24.0,
2000-09-21,,9.0,,,,,2.6,,,,,,,,2000.0,3.311,,6.8,,24.3,
2000-09-22,,9.0,,,,,2.6,,,,,,,,2000.0,2.876,,6.8,,24.4,
2000-09-23,,9.0,,,,,2.6,,,,,,,,2000.0,3.262,,6.9,,24.4,
2000-09-24,,9.0,0.3,,17.0,,2.6,,,,,,,2.0,2000.0,3.245,,6.9,,23.8,
2000-09-25,,9.0,,,,,2.6,,,,,,,2.1,2000.0,3.088,,6.7,,24.0,
2000-09-26,,9.0,,,,,2.6,,,,,,,1.9,2000.0,2.495,,6.7,,24.8,
2000-09-27,,9.0,,,,,2.6,,,,,,,,2000.0,2.635,,6.7,,23.6,
2000-09-28,,9.0,,,,,2.6,,,,,,,,2000.0,2.534,,6.7,,23.5,
2000-09-29,,9.0,,,,,2.6,,,,,,,,2000.0,3.2,,6.6,,23.5,
2000-09-30,,9.0,,,,,2.6,,,,,,,,2000.0,3.173,,6.7,,24.0,
2000-10-01,,10.0,0.23,,8.7,14.0,2.6,,,,,,,3.4,2000.0,2.293,1.0,6.5,,24.3,
2000-10-02,,10.0,,,,,2.6,,,,,,,2.2,2000.0,2.696,,6.7,,23.3,
2000-10-03,,10.0,,,,,2.6,,,,,,,3.1,2000.0,2.977,,6.5,,23.9,
2000-10-04,,10.0,,,,,2.6,,,,,,,,2000.0,2.888,,6.6,,23.6,
2000-10-05,,10.0,,,,,2.6,,,,,,,,2000.0,2.694,,6.7,,23.4,
2000-10-06,,10.0,,,,,2.6,,,,,,,,2000.0,3.149,,6.6,,23.2,
