Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2004-01-06,,1.0,0.1,0.03,5.5,3.86,,,,0.5,6.0,,,2004.0,21.21,,,,
2004-01-14,,1.0,0.1,,3.9,3.86,,,,1.0,4.9,2.9,,2004.0,15.41,,,,
2004-01-21,,1.0,0.1,,9.1,3.86,,,,0.8,9.9,2.1,,2004.0,18.83,,,,
2004-01-28,,1.0,0.1,,10.0,3.86,,,,0.9,10.9,2.6,,2004.0,20.74,,,,
2004-02-03,,2.0,0.5,0.03,15.0,3.86,,,,0.9,15.9,3.0,,2004.0,24.08,,,,
2004-02-11,,2.0,0.1,,9.4,3.86,,,,1.3,10.7,3.2,,2004.0,18.19,,,,
2004-02-18,,2.0,0.1,,6.8,3.86,,,,1.4,8.2,2.6,,2004.0,34.03,,,,
2004-02-25,,2.0,0.1,,6.8,3.86,,,,1.3,8.1,1.9,,2004.0,24.27,,,,
2004-03-02,,3.0,0.2,,,3.86,,,,,,,,2004.0,25.83,,,,
2004-03-04,,3.0,0.2,0.03,9.4,3.86,,,,1.0,10.4,2.0,,2004.0,24.44,,,,
2004-03-10,,3.0,0.1,,13.0,3.86,,,,0.6,13.6,2.93,,2004.0,16.78,,,,
2004-03-17,,3.0,0.1,,5.1,3.86,,,,0.7,5.8,2.03,,2004.0,16.19,,,,
2004-03-31,,3.0,0.9,,4.1,3.86,,,,1.8,5.9,1.44,,2004.0,12.3,,,,
2004-04-06,,4.0,,0.03,3.4,3.86,,,,1.3,4.7,1.6,,2004.0,16.5,,,,
2004-04-14,,4.0,0.1,,8.8,3.86,,,,0.8,9.6,3.12,,2004.0,9.68,,,,
2004-04-21,,4.0,0.1,,2.5,3.86,,,,0.9,3.4,2.63,,2004.0,12.79,,,,
2004-04-28,,4.0,0.1,,4.2,3.86,,,,1.0,5.2,3.69,,2004.0,12.95,,,,
2004-05-04,,5.0,0.7,0.03,15.0,3.86,,,,1.2,16.2,4.4,,2004.0,16.01,,,,
2004-05-12,,5.0,0.1,,18.6,3.86,,,,0.84,19.44,3.96,,2004.0,11.99,,,,
2004-05-19,,5.0,0.1,,1.5,3.86,,,,0.5,2.0,3.32,,2004.0,13.62,,,,
2004-05-26,,5.0,0.12,,8.0,3.86,,,,1.2,9.2,2.06,,2004.0,5.99,,,,
2004-06-01,,6.0,2.2,0.04,5.2,3.86,,,,2.9,8.1,0.7,,2004.0,6.03,,,,
2004-06-09,,6.0,0.15,,7.4,3.86,,,,0.93,8.33,2.51,,2004.0,12.28,,,,
2004-06-23,,6.0,0.2,,5.9,3.86,,,,0.56,6.46,2.46,,2004.0,12.53,,,,
2004-06-30,,6.0,,,8.4,3.86,,,,2.8,11.2,2.43,,2004.0,11.2,,,,
2004-07-06,,7.0,0.2,0.03,16.0,3.86,,,,0.6,16.6,3.0,,2004.0,7.29,,,,
2004-07-07,,7.0,0.1,,,3.86,,,,,,,,2004.0,7.18,,,,
2004-07-10,,7.0,0.1,,1.8,3.86,,,,0.8,2.6,,,2004.0,10.39,,,,
2004-07-14,,7.0,0.1,,,3.86,,,,,,1.9,,2004.0,10.36,,,,
2004-07-15,,7.0,0.1,,2.1,3.86,,,,0.9,3.0,,,2004.0,12.24,,,,
2004-07-21,,7.0,0.1,,,3.86,,,,,,2.6,,2004.0,11.76,,,,
2004-07-23,,7.0,,,3.5,3.86,,,,1.0,4.5,,,2004.0,8.13,,,,
2004-07-28,,7.0,0.02,,,3.86,,,,,,3.6,,2004.0,7.01,,,,
2004-07-30,,7.0,,,9.0,3.86,,,,1.1,10.1,,,2004.0,13.13,,,,
2004-08-03,,8.0,,0.03,19.0,3.86,,,,0.75,19.75,2.9,,2004.0,13.52,,,,
2004-08-11,,8.0,,,12.0,3.86,,,,0.56,12.56,,,2004.0,9.84,,,,
2004-08-18,,8.0,,,37.4,3.86,,,,0.93,38.33,,,2004.0,7.2,,,,
2004-08-25,,8.0,,,22.4,3.86,,,,0.9,23.3,3.0,,2004.0,8.98,,,,
2004-09-08,,9.0,0.1,,14.4,3.86,,,,14.4,28.8,3.6,,2004.0,8.92,,,,
2004-09-09,,9.0,0.1,,,3.86,,,,,,,,2004.0,6.6,,,,
2004-09-14,,9.0,0.1,,,3.86,,,,,,,,2004.0,10.76,,,,
2004-09-15,,9.0,0.1,,5.0,3.86,,,,0.75,5.75,2.7,,2004.0,10.0,,,,
2004-09-21,,9.0,,,,3.86,,,,,0.0,,,2004.0,8.95,,,,
2004-09-22,,9.0,0.1,,5.8,3.86,,,,0.75,6.55,2.6,,2004.0,8.8,,,,
2004-09-28,,9.0,0.1,,,3.86,,,,,,,,2004.0,11.03,,,,
2004-09-29,,9.0,0.1,,7.4,3.86,,,,,7.4,1.8,,2004.0,9.03,,,,
2004-09-30,,9.0,0.1,,,3.86,,,,,,,,2004.0,10.51,,,,
2004-10-05,,10.0,0.1,0.03,13.0,3.86,,,,,13.0,,,2004.0,11.92,,,,
2004-10-13,,10.0,0.1,,8.0,3.86,,,,0.56,8.56,2.8,,2004.0,9.05,,,,
2004-10-19,,10.0,0.1,,,3.86,,,,,,,,2004.0,15.48,,,,
2004-10-20,,10.0,,,8.6,3.86,,,,0.93,9.53,2.4,,2004.0,10.92,,,,
2004-10-27,,10.0,0.1,,16.0,3.86,,,,0.92,16.92,3.36,,2004.0,17.72,,,,
2004-11-02,,11.0,1.2,0.03,12.0,3.86,,,,,,2.8,,2004.0,15.78,,,,
2004-11-03,,11.0,0.1,,,3.86,,,,0.84,0.84,,,2004.0,16.39,,,,
2004-11-10,,11.0,0.1,,,3.86,,,,0.93,0.93,0.95,,2004.0,15.86,,,,
2004-11-17,,11.0,0.1,,,3.86,,,,,0.0,0.8,,2004.0,15.45,,,,
2004-12-01,,12.0,0.1,,,3.86,,,,0.53,0.53,1.34,,2004.0,15.52,,,,
2004-12-07,,12.0,0.1,0.03,5.8,3.86,,,,,,,,2004.0,17.0,,,,
2004-12-08,,12.0,0.1,,,3.86,,,,0.93,0.93,,,2004.0,21.24,,,,
2004-12-15,,12.0,0.1,,,3.86,,,,0.84,0.84,2.2,,2004.0,18.27,,,,
2004-12-22,,12.0,0.1,,,3.86,,,,2.05,2.05,0.91,,2004.0,16.06,,,,
2004-12-29,,12.0,0.4,,,3.86,,,,0.97,0.97,1.84,,2004.0,27.76,,,,
2005-01-03,,1.0,0.27,0.03,4.2,3.86,,,,,,0.88,,2005.0,27.76,,,,
2005-01-05,,1.0,0.1,,,3.86,,,,1.1,,,,2005.0,24.36,,,,
2005-01-12,,1.0,0.1,,3.08,3.86,,,,1.1,4.18,1.18,,2005.0,26.77,,,,
2005-01-19,,1.0,0.1,,2.6,3.86,,,,1.1,3.7,0.62,,2005.0,17.66,,,,
2005-01-26,,1.0,0.1,,5.92,3.86,,,,0.89,6.81,1.9,,2005.0,25.52,,,,
2005-02-01,,2.0,0.29,,4.9,3.86,,,,0.84,5.74,2.4,,2005.0,18.0,,,,
2005-02-08,,2.0,0.1,,5.04,3.86,,,,0.84,5.88,3.13,,2005.0,18.88,,,,
2005-02-15,,2.0,0.1,,7.42,3.86,,,,0.65,8.07,2.56,,2005.0,18.58,,,,
2005-02-22,,2.0,0.1,,7.42,3.86,,,,0.38,7.8,1.28,,2005.0,26.18,,,,
2005-03-01,,3.0,0.1,,7.9,3.86,,,,0.84,8.74,2.1,,2005.0,22.07,,,,
2005-03-08,,3.0,0.1,,7.54,3.86,,,,0.75,8.29,1.67,,2005.0,24.73,,,,
2005-03-15,,3.0,0.1,,4.6,3.86,,,,0.75,5.35,0.76,,2005.0,20.14,,,,
2005-03-22,,3.0,0.1,,3.92,3.86,,,,0.75,4.67,1.24,,2005.0,27.33,,,,
2005-03-29,,3.0,0.1,,8.66,3.86,,,,0.58,9.24,3.12,,2005.0,24.48,,,,
2005-04-06,,4.0,0.1,,5.8,3.86,,,,0.56,6.36,2.4,,2005.0,17.96,,,,
2005-04-13,,4.0,0.1,,11.3,3.86,,,,0.84,12.14,3.11,,2005.0,17.9,,,,
2005-04-20,,4.0,0.1,,3.58,3.86,,,,0.75,4.33,1.84,,2005.0,11.38,,,,
2005-04-27,,4.0,0.1,,4.54,3.86,,,,0.93,5.47,1.61,,2005.0,6.18,,,,
2005-04-29,,4.0,0.1,,5.78,3.86,,,,0.72,6.5,,,2005.0,21.07,,,,
2005-05-02,,5.0,0.21,,5.8,3.86,,,,,,2.1,,2005.0,15.37,,,,
2005-05-04,,5.0,0.1,,,3.86,,,,0.84,0.84,,,2005.0,15.98,,,,
2005-05-10,,5.0,0.1,,5.82,3.86,,,,,,1.2,,2005.0,15.71,,,,
2005-05-11,,5.0,0.1,,,3.86,,,,0.93,0.93,,,2005.0,20.18,,,,
2005-05-18,,5.0,0.1,,,3.86,,,,1.03,1.03,0.43,,2005.0,14.38,,,,
