Date,DRP** mg/L P,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-03-26,,,,,0.01,,,,3.95,,0.15,,4.93,,,,
2000-03-27,,,,,0.01,,,,3.95,,0.15,,5.57,,,,
2000-03-28,,,,,0.01,,,,3.95,,0.15,,4.28,,,,
2000-03-29,,,,,0.01,,,,3.95,,0.15,,6.56,,,,
2000-03-30,,,,,0.01,,,,3.95,,0.15,,6.57,,,,
2000-03-31,,,,,0.01,,,,3.95,,0.15,,6.91,,,,
2000-04-01,,,,,0.01,,,,3.95,,0.15,,6.55,,,,
2000-04-02,,,,,0.01,,,,3.95,,0.15,,6.22,,,,
2000-04-03,,,,,0.01,,,,3.95,,0.15,,6.17,,,,
2000-04-04,,,,,0.01,,,,3.95,,0.15,,7.13,,,,
2000-04-05,,,,,0.01,,,,3.95,,0.15,,6.99,,,,
2000-04-06,,,,,0.01,,,,3.95,,0.15,,7.07,,,,
2000-04-07,,,,,0.01,,,,3.95,,0.15,,6.46,,,,
2000-04-08,,,,,0.01,,,,3.95,,0.15,,6.13,,,,
2000-04-09,,,,,0.01,,,,3.95,,0.15,,6.32,,,,
2000-04-10,,,,,0.01,,,,3.95,,0.15,,6.55,,,,
2000-04-11,,,,,0.01,,,,3.95,,0.15,,6.21,,,,
2000-04-12,,,,,0.01,,,,3.95,,0.15,,5.86,,,,
2000-04-13,,,,,0.01,,,,3.95,,0.15,,5.15,,,,
2000-04-14,,,,,0.01,,,,3.95,,0.15,,5.8,,,,
2000-04-15,,,,,0.01,,,,3.95,,0.15,,5.97,,,,
2000-04-16,,,,,0.01,,,,3.95,,0.15,,6.21,,,,
2000-04-17,,,,,0.01,,,,3.95,,0.15,,5.22,,,,
2000-04-18,,,,,0.01,,,,3.95,,0.15,,5.43,,,,
2000-04-19,,,,,0.01,,,,3.95,,0.15,,5.67,,,,
2000-04-20,,,,,0.01,,,,3.95,,0.15,,5.93,,,,
2000-04-21,,,,,0.01,,,,3.95,,0.15,,5.98,,,,
2000-04-22,,,,,0.01,,,,3.95,,0.15,,5.61,,,,
2000-04-23,,,,,0.01,,,,3.95,,0.15,,5.37,,,,
2000-04-24,,,,,0.01,,,,3.95,,0.15,,4.06,,,,
2000-04-25,,,,,0.01,,,,3.95,,0.15,,4.69,,,,
2000-04-26,,,,,0.01,,,,3.95,,0.15,,4.52,,,,
2000-04-27,,,,,0.01,,,,3.95,,0.15,,3.59,,,,
2000-04-28,,,,,0.01,,,,3.95,,0.15,,6.32,,,,
2000-04-29,,,,,0.01,,,,3.95,,0.15,,4.46,,,,
2000-04-30,,,,,0.01,,,,3.95,,0.15,,5.01,,,,
2000-05-01,,,,,0.01,,,,3.95,,0.15,,3.71,,,,
2000-05-02,,,,,0.01,,,,3.95,,0.15,,3.18,,,,
2000-05-03,,,,,0.01,,,,3.95,,0.15,,3.62,,,,
2000-05-04,,,,,0.01,,,,3.95,,0.15,,5.57,,,,
2000-05-05,,,,,0.01,,,,3.95,,0.15,,5.51,,,,
2000-05-06,,,,,0.01,,,,3.95,,0.15,,5.35,,,,
2000-05-07,,,,,0.01,,,,3.95,,0.15,,5.7,,,,
2000-05-08,,,,,0.01,,,,3.95,,0.15,,5.87,,,,
2000-05-09,,,,,0.01,,,,3.95,,0.15,,5.34,,,,
2000-05-10,,,,,0.01,,,,3.95,,0.15,,5.3,,,,
2000-05-11,,,,,0.01,,,,3.95,,0.15,,4.49,,,,
2000-05-12,,,,,0.01,,,,3.95,,0.15,,5.8,,,,
2000-05-13,,,,,0.01,,,,3.95,,0.15,,5.33,,,,
2000-05-14,,,,,0.01,,,,3.95,,0.15,,5.8,,,,
2000-05-15,,,,,0.01,,,,3.95,,0.15,,5.31,,,,
2000-05-16,,,,,0.01,,,,3.95,,0.15,,6.24,,,,
2000-05-17,,,,,0.01,,,,3.95,,0.15,,6.66,,,,
2000-05-18,,,,,0.01,,,,3.95,,0.15,,6.22,,,,
2000-05-19,,,,,0.01,,,,3.95,,0.15,,5.53,,,,
2000-05-20,,,,,0.01,,,,3.95,,0.15,,5.71,,,,
2000-05-21,,,,,0.01,,,,3.95,,0.15,,5.14,,,,
2000-05-22,,,,,0.01,,,,3.95,,0.15,,4.95,,,,
2000-05-23,,,,,0.01,,,,3.95,,0.15,,5.83,,,,
2000-05-24,,,,,0.01,,,,3.95,,0.15,,5.01,,,,
2000-05-25,,,,,0.01,,,,3.95,,0.15,,5.86,,,,
2000-05-26,,,,,0.01,,,,3.95,,0.15,,2.13,,,,
2000-05-27,,,,,0.01,,,,3.95,,0.15,,5.88,,,,
2000-05-28,,,,,0.01,,,,3.95,,0.15,,6.18,,,,
2000-05-29,,,,,0.01,,,,3.95,,0.15,,6.04,,,,
2000-05-30,,,,,0.01,,,,3.95,,0.15,,5.45,,,,
2000-05-31,,,,,0.01,,,,3.95,,0.15,,5.35,,,,
2000-06-01,,,,,0.01,,,,3.95,,0.15,,6.24,,,,
2000-06-02,,,,,0.01,,,,3.95,,0.15,,6.24,,,,
2000-06-03,,,,,0.01,,,,3.95,,0.15,,5.11,,,,
2000-06-04,,,,,0.01,,,,3.95,,0.15,,5.35,,,,
2000-06-05,,,,,0.01,,,,3.95,,0.15,,5.44,,,,
2000-06-06,,,,,0.01,,,,3.95,,0.15,,4.99,,,,
2000-06-07,,,,,0.01,,,,3.95,,0.15,,4.46,,,,
2000-06-08,,,,,0.01,,,,3.95,,0.15,,5.36,,,,
2000-06-09,,,,,0.01,,,,3.95,,0.15,,5.54,,,,
2000-06-10,,,,,0.01,,,,3.95,,0.15,,5.56,,,,
2000-06-11,,,,,0.01,,,,3.95,,0.15,,5.59,,,,
2000-06-12,,,,,0.01,,,,3.95,,0.15,,5.31,,,,
2000-06-13,,,,,0.01,,,,3.95,,0.15,,5.54,,,,
2000-06-14,,,,,0.01,,,,3.95,,0.15,,4.27,,,,
2000-06-15,,,,,0.01,,,,3.95,,0.15,,5.7,,,,
2000-06-16,,,,,0.01,,,,3.95,,0.15,,6.07,,,,
2000-06-17,,,,,0.01,,,,3.95,,0.15,,5.4,,,,
2000-06-18,,,,,0.01,,,,3.95,,0.15,,5.42,,,,
2000-06-19,,,,,0.01,,,,3.95,,0.15,,5.63,,,,
2000-06-20,,,,,0.01,,,,3.95,,0.15,,3.97,,,,
2000-06-21,,,,,0.01,,,,3.95,,0.15,,4.5,,,,
2000-06-22,,,,,0.01,,,,3.95,,0.15,,4.72,,,,
2000-06-23,,,,,0.01,,,,3.95,,0.15,,5.25,,,,
2000-06-24,,,,,0.01,,,,3.95,,0.15,,5.25,,,,
