Date,DRP** mg/L P,Month,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,OrgN mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TDS mg/L,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,Year,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2006-10-22,,10.0,1.1,0.1,16.5,4.26,,,,,,5.36,,,6.2,2006.0,11.69,6.9,,19.0,
2006-10-23,,10.0,0.98,,,,,,,,,,,,6.8,2006.0,12.04,7.0,,18.0,
2006-10-24,,10.0,0.88,,,,,,,,,,,,5.6,2006.0,14.4,6.9,,18.5,
2006-11-01,,11.0,3.63,0.21,16.8,3.73,4.557,,,,,7.36,,4.9,7.6,2006.0,9.66,6.8,,16.0,
2006-11-02,,11.0,3.64,,,,,,,,,,,,7.0,2006.0,14.81,6.9,,16.0,
2006-11-03,,11.0,2.99,,,,,,,,,,,,8.2,2006.0,10.98,6.9,,18.5,
2006-11-07,,11.0,3.31,0.33,19.7,4.35,,,,,,7.66,,,6.8,2006.0,12.25,6.9,,19.0,
2006-11-08,,11.0,4.05,,,,,,,,,,,,7.0,2006.0,12.69,7.3,,19.5,
2006-11-09,,11.0,5.63,,,,,,,,,,,,7.8,2006.0,10.83,7.2,,16.5,
2006-11-13,,11.0,7.33,0.42,17.5,2.77,,,,,,10.1,,,8.3,2006.0,9.79,7.1,,14.5,
2006-11-14,,11.0,6.63,,,,,,,,,,,,8.0,2006.0,12.99,7.1,,15.0,
2006-11-15,,11.0,6.74,,,,,,,,,,,,8.0,2006.0,13.48,7.1,,14.5,
2006-11-19,,11.0,6.3,0.58,18.4,3.6,,,,,,9.9,,,8.4,2006.0,13.08,7.0,,16.0,
2006-11-20,,11.0,5.7,,,,,,,,,,,,8.0,2006.0,13.16,7.1,,16.5,
2006-11-21,,11.0,4.94,,,,,,,,,,,,6.8,2006.0,11.44,6.9,,17.0,
2006-11-27,,11.0,7.76,0.6,14.9,3.94,,,,,,11.7,,,9.4,2006.0,9.93,7.0,,11.5,
2006-11-28,,11.0,7.11,,,,,,,,,,,,10.5,2006.0,11.56,7.1,,10.5,
2006-11-29,,11.0,7.77,,,,,,,,,,,,12.4,2006.0,13.15,7.1,,10.0,
2006-12-04,,12.0,7.03,0.74,17.2,3.01,3.999,,,,,10.04,,4.3,14.0,2006.0,8.71,7.0,,10.5,
2006-12-05,,12.0,7.32,,,,,,,,,,,,10.0,2006.0,12.48,7.0,,10.5,
2006-12-06,,12.0,6.84,,,,,,,,,,,,10.3,2006.0,14.35,7.1,,10.5,
2006-12-12,,12.0,4.12,0.82,19.5,3.68,,,,,,7.8,,,12.4,2006.0,13.02,7.0,,13.0,
2006-12-13,,12.0,3.77,,,,,,,,,,,,9.6,2006.0,14.0,6.9,,14.5,
2006-12-14,,12.0,2.78,,,,,,,,,,,,9.0,2006.0,14.72,6.9,,16.0,
2006-12-17,,12.0,4.64,0.64,16.8,3.36,,,,,,8.0,,,18.5,2006.0,14.22,7.0,,10.4,
2006-12-26,,12.0,2.82,0.65,18.8,1.69,,,,,,4.51,,,17.1,2006.0,10.35,6.9,,11.5,
2007-01-03,,1.0,4.83,0.53,19.7,2.31,3.3480000000000003,,,,,7.14,,3.6,10.0,2007.0,9.68,6.9,,12.5,
2007-01-04,,1.0,3.97,,,,,,,,,,,,10.0,2007.0,14.76,7.0,,13.0,
2007-01-05,,1.0,6.71,,,,,,,,,,,,11.0,2007.0,14.89,7.1,,10.0,
2007-01-08,,1.0,5.85,0.76,17.4,3.84,,,,,,9.69,,,13.0,2007.0,16.81,7.0,,10.5,
2007-01-09,,1.0,6.59,,,,,,,,,,,,14.0,2007.0,16.08,7.0,,11.0,
2007-01-10,,1.0,6.18,,,,,,,,,,,,16.0,2007.0,9.35,7.0,,11.5,
2007-01-16,,1.0,10.5,0.7,15.0,4.5,,,,,,15.0,,,16.8,2007.0,16.06,7.0,,7.0,
2007-01-17,,1.0,9.09,,,,,,,,,,,,23.5,2007.0,14.58,7.2,,7.5,
2007-01-18,,1.0,7.46,,,,,,,,,,,,12.4,2007.0,10.25,7.0,,9.0,
2007-01-22,,1.0,2.52,0.3,20.0,4.48,,,,,,7.0,,,20.0,2007.0,14.03,6.9,,9.5,
2007-01-23,,1.0,1.29,,,,,,,,,,,,17.3,2007.0,11.57,6.9,,10.0,
2007-01-24,,1.0,0.92,,,,,,,,,,,,18.0,2007.0,8.94,6.9,,10.5,
2007-01-28,,1.0,0.65,0.08,19.5,4.95,,,,,,5.6,,,20.7,2007.0,12.35,7.0,,13.0,
2007-01-29,,1.0,0.99,,,,,,,,,,,,15.0,2007.0,10.31,7.1,,13.5,
2007-01-30,,1.0,1.8,,,,,,,,,,,,14.5,2007.0,8.55,7.1,,13.5,
2007-02-06,,2.0,2.71,0.18,17.2,6.06,,,,,,8.77,,,8.9,2007.0,12.63,7.1,,13.5,
2007-02-07,,2.0,3.74,,,,,,,,,,,,8.9,2007.0,10.05,7.1,,14.5,
2007-02-08,,2.0,4.33,,,,,,,,,,,,9.8,2007.0,13.97,7.1,,15.0,
2007-02-12,,2.0,5.37,0.27,17.4,5.16,3.9060000000000006,,,,,10.53,,4.2,8.6,2007.0,16.53,7.2,,14.5,
2007-02-13,,2.0,4.84,,,,,,,,,,,,8.1,2007.0,16.59,7.2,,14.0,
2007-02-14,,2.0,5.14,,,,,,,,,,,,8.0,2007.0,15.31,7.1,,14.0,
2007-02-20,,2.0,1.83,0.39,19.1,4.96,,,,,,6.79,,,12.0,2007.0,15.79,7.1,,15.0,
2007-02-21,,2.0,1.78,,,,,,,,,,,,10.8,2007.0,15.91,7.1,,15.0,
2007-02-22,,2.0,1.77,,,,,,,,,,,,12.4,2007.0,15.04,7.1,,14.0,
2007-02-25,,2.0,1.21,0.37,17.6,4.26,,,,,,5.47,,,16.0,2007.0,16.17,7.2,,13.5,
2007-02-26,,2.0,1.07,,,,,,,,,,,,14.7,2007.0,15.86,7.2,,13.0,
2007-02-27,,2.0,1.13,,,,,,,,,,,,12.0,2007.0,10.04,7.3,,13.0,
2007-03-05,,3.0,0.43,0.13,16.9,3.0,,,,,,3.43,,,8.4,2007.0,16.19,7.1,,16.0,
2007-03-06,,3.0,0.49,,,,,,,,,,,,12.0,2007.0,16.89,7.2,,17.0,
2007-03-07,,3.0,0.53,,,,,,,,,,,,10.8,2007.0,11.81,7.2,,17.0,
2007-03-13,,3.0,0.56,,,,,,,,,,,,9.1,2007.0,15.56,7.1,,21.0,
2007-03-14,,3.0,0.97,0.4,14.2,4.57,,,,,,5.54,,,11.6,2007.0,11.21,7.1,,20.5,
2007-03-15,,3.0,0.97,,,,,,,,,,,,12.8,2007.0,15.79,7.1,,19.0,
2007-03-20,,3.0,1.04,0.45,13.9,3.26,,,,,,4.3,,,11.5,2007.0,13.27,7.2,,19.0,
2007-03-21,,3.0,0.64,,,,,,,,,,,,13.0,2007.0,9.95,7.1,,18.5,
2007-03-22,,3.0,0.29,,,,,,,,,,,,17.9,2007.0,13.18,7.1,,17.0,
2007-03-25,,3.0,0.55,0.19,12.5,4.48,2.9760000000000004,,,,,5.03,,3.2,18.5,2007.0,15.59,7.2,,19.0,
2007-03-26,,3.0,0.78,,,,,,,,,,,,14.0,2007.0,14.6,7.1,,18.5,
2007-03-27,,3.0,2.5,,,,,,,,,,,,13.0,2007.0,13.28,7.3,,15.0,
2007-04-02,,4.0,0.58,0.25,11.8,7.3,2.9760000000000004,,,,,7.88,,3.2,12.9,2007.0,7.81,7.2,,17.0,
2007-04-09,,4.0,0.4,0.1,12.4,3.44,,,,,1124.0,3.84,,,10.4,2007.0,12.55,7.3,,19.0,
2007-04-16,,4.0,0.4,0.07,12.8,,,,,,1038.0,1.27,,,10.5,2007.0,13.36,7.1,,15.8,
2007-04-23,,4.0,0.29,0.08,12.0,1.18,,,,,1093.0,1.47,,,8.6,2007.0,17.19,7.2,,15.5,
2007-05-01,,5.0,0.2,0.02,12.2,2.57,3.3480000000000003,,,,1088.0,2.77,,3.6,9.6,2007.0,6.66,7.2,,19.8,
2007-05-06,,5.0,0.16,0.03,10.7,2.42,,,,,1164.0,2.58,,,10.5,2007.0,14.36,7.3,,17.9,
2007-05-07,,5.0,0.21,,,,,,,,,,,,8.0,2007.0,9.48,7.1,,21.7,
2007-05-08,,5.0,0.21,,,,,,,,,,,,8.5,2007.0,10.47,7.2,,22.1,
2007-05-16,,5.0,0.11,0.06,8.1,3.08,,,,,1101.0,3.2,,,9.5,2007.0,10.61,7.3,,18.1,
2007-05-17,,5.0,0.11,,,,,,,,,,,,7.9,2007.0,6.43,7.3,,21.4,
2007-05-18,,5.0,0.18,,,,,,,,,,,,9.1,2007.0,12.09,7.3,,19.4,
2007-05-20,,5.0,0.14,0.04,8.2,1.71,,,,,1090.0,1.85,,,10.5,2007.0,10.18,7.4,,20.5,
2007-05-21,,5.0,0.14,,,,,,,,,,,,8.5,2007.0,9.95,7.4,,19.2,
2007-05-22,,5.0,0.12,,,,,,,,,,,,9.9,2007.0,9.5,7.4,,19.9,
2007-05-29,,5.0,0.14,0.02,6.1,1.45,,,,,1108.0,1.59,,,8.6,2007.0,11.4,7.3,,20.4,
2007-05-30,,5.0,0.16,,,,,,,,,,,,9.0,2007.0,7.09,7.2,,20.7,
2007-05-31,,5.0,0.11,,,,,,,,,,,,6.8,2007.0,10.2,7.3,,19.5,
2007-06-04,,6.0,0.19,0.03,6.5,2.7,4.1850000000000005,,,,,2.89,,4.5,9.0,2007.0,11.21,7.3,,21.1,
2007-06-05,,6.0,0.15,,,,,,,,,,,,8.5,2007.0,9.03,7.3,,20.7,
2007-06-06,,6.0,0.09,,,,,,,,,,,,9.1,2007.0,11.34,7.3,,18.7,
2007-06-11,,6.0,0.11,0.02,6.2,2.6,,,,,1094.0,2.71,,,9.3,2007.0,9.53,7.2,,20.6,
2007-06-12,,6.0,0.13,,,,,,,,,,,,6.4,2007.0,4.08,7.1,,23.4,
2007-06-13,,6.0,0.15,,,,,,,,,,,,9.0,2007.0,8.34,7.2,,24.5,
2007-06-18,,6.0,0.13,0.01,6.2,2.38,,,,,1045.0,2.51,,,8.6,2007.0,9.52,7.2,,22.9,
2007-06-19,,6.0,0.12,,,,,,,,,,,,8.1,2007.0,9.08,7.1,,23.3,
2007-06-20,,6.0,0.15,,,,,,,,,,,,8.4,2007.0,11.38,7.2,,22.1,
2007-06-25,,6.0,0.1,0.01,6.2,2.97,,,,,1009.0,3.07,,,9.4,2007.0,9.7,7.2,,20.9,
2007-06-26,,6.0,0.13,,,,,,,,,,,,8.4,2007.0,8.82,7.3,,21.6,
2007-06-27,,6.0,0.12,,,,,,,,,,,,8.4,2007.0,9.68,7.2,,21.5,
2007-07-04,,7.0,0.08,0.02,7.4,3.52,9.393,,,,,3.6,,10.1,9.0,2007.0,10.16,7.2,,22.5,
2007-07-05,,7.0,0.1,,,,,,,,1021.0,,,,9.2,2007.0,8.78,7.1,,24.9,
2007-07-06,,7.0,0.12,,,,,,,,,,,,10.2,2007.0,7.6,7.0,,25.3,
2007-07-10,,7.0,0.07,0.01,9.3,2.83,,,,,,2.9,,,9.0,2007.0,8.14,7.0,,22.7,
2007-07-11,,7.0,0.07,,,,,,,,958.0,,,,9.0,2007.0,8.97,7.0,,22.1,
2007-07-12,,7.0,0.14,,,,,,,,,,,,7.9,2007.0,5.81,7.1,,23.2,
2007-07-17,,7.0,0.16,0.01,18.4,2.44,,,,,933.0,2.6,,,8.5,2007.0,8.91,6.9,,22.7,
2007-07-18,,7.0,0.09,,,,,,,,,,,,8.0,2007.0,11.14,7.2,,23.0,
2007-07-19,,7.0,0.12,,,,,,,,,,,,8.8,2007.0,9.29,7.0,,21.8,
2007-07-24,,7.0,0.08,0.01,10.2,5.42,,,,,,5.5,,,6.8,2007.0,11.18,7.2,,23.4,
2007-07-25,,7.0,0.15,,,,,,,,923.0,,,,7.6,2007.0,8.53,7.1,,22.8,
2007-07-26,,7.0,0.13,,,,,,,,,,,,7.6,2007.0,6.81,7.0,,23.0,
2007-08-01,,8.0,0.11,0.01,10.1,3.33,4.743,,,,,3.44,,5.1,7.6,2007.0,10.05,7.2,,22.7,
2007-08-02,,8.0,0.14,,,,,,,,942.0,,,,8.0,2007.0,6.94,7.1,,25.4,
2007-08-03,,8.0,0.17,,,,,,,,,,,,8.6,2007.0,10.51,7.1,,22.4,
2007-08-07,,8.0,0.18,0.02,11.7,5.94,,,,,,6.12,,,8.0,2007.0,6.94,7.2,,21.4,
2007-08-08,,8.0,0.19,,,,,,,,599.0,,,,9.4,2007.0,9.97,7.2,,20.9,
2007-08-09,,8.0,0.2,,,,,,,,,,,,8.6,2007.0,10.45,7.1,,21.9,
2007-08-13,,8.0,0.21,0.03,9.0,5.89,,,,,,6.11,,,8.5,2007.0,11.44,7.1,,20.8,
2007-08-14,,8.0,0.35,,,,,,,,885.0,,,,9.1,2007.0,10.56,7.4,,22.0,
2007-08-15,,8.0,0.39,,,,,,,,,,,,7.9,2007.0,11.89,7.1,,21.5,
2007-08-20,,8.0,0.52,0.11,9.6,3.48,,,,,967.0,4.0,,,9.0,2007.0,10.16,7.0,,23.4,
2007-08-22,,8.0,1.03,,,,,,,,,,,,8.3,2007.0,7.22,7.1,,24.4,
2007-08-31,,8.0,0.32,,,,,,,,,,,,7.0,2007.0,6.71,,,,
2007-09-04,,9.0,0.21,0.02,16.1,3.15,5.673,,,,859.0,3.36,,6.1,7.8,2007.0,9.65,7.1,,23.5,
2007-09-05,,9.0,0.14,,,,,,,,,,,,4.4,2007.0,4.6,7.2,,25.9,
2007-09-06,,9.0,0.2,,,,,,,,,,,,7.3,2007.0,6.99,7.1,,24.4,
2007-09-11,,9.0,0.19,0.01,15.5,3.08,,,,,937.0,3.26,,,7.8,2007.0,6.95,7.1,,21.7,
2007-09-12,,9.0,0.37,,,,,,,,,,,,6.6,2007.0,9.4,7.1,,20.9,
2007-09-13,,9.0,2.32,,,,,,,,,,,,7.0,2007.0,7.07,7.1,,21.3,
2007-09-19,,9.0,,0.26,13.7,,,,,,890.0,4.52,,,6.8,2007.0,8.48,7.2,,21.0,
2007-09-24,,9.0,,0.3,15.7,,,,,,888.0,4.46,,,7.3,2007.0,10.36,7.1,,19.8,
2007-10-02,,10.0,1.8,0.53,15.2,4.28,5.58,,,,942.0,6.08,,6.0,7.0,2007.0,9.91,7.0,,19.5,
2007-10-08,,10.0,5.43,0.68,13.2,1.44,6.324,,,,969.0,6.87,,6.8,7.5,2007.0,8.94,7.0,,19.3,
2007-10-16,,10.0,3.42,0.75,15.0,2.08,,,,,993.0,5.5,,,7.0,2007.0,11.09,7.0,,17.9,
2007-10-22,,10.0,3.3,0.71,14.3,2.3,,,,,1150.0,5.6,,,14.0,2007.0,9.98,7.0,,17.1,
2007-10-28,,10.0,4.13,0.31,15.6,1.67,,,,,,5.8,,,6.0,2007.0,5.63,6.9,,19.3,
2007-11-05,,11.0,8.44,1.23,10.0,2.68,5.208,,,,967.0,11.12,,5.6,9.1,2007.0,18.43,7.1,,18.1,
2007-11-12,,11.0,6.8,1.08,11.2,4.01,,,,,1050.0,10.81,,,10.2,2007.0,17.53,7.1,,16.4,
2007-11-18,,11.0,8.36,1.0,12.5,1.35,,,,,1047.0,9.71,,,9.0,2007.0,11.08,7.1,,18.4,
2007-11-26,,11.0,8.48,0.85,11.9,2.56,,,,,1054.0,11.04,,,14.0,2007.0,13.43,7.1,,13.1,
2007-12-03,,12.0,10.2,0.79,13.0,2.97,2.232,,,,1103.0,13.17,,2.4,16.1,2007.0,13.05,7.1,,13.4,
2007-12-10,,12.0,11.4,0.66,9.7,2.88,,,,,1090.0,14.28,,,18.0,2007.0,18.76,7.2,,13.4,
2007-12-17,,12.0,11.1,0.98,11.3,1.42,,,,,1048.0,12.52,,,16.0,2007.0,16.5,7.1,,12.9,
2008-01-02,,1.0,9.6,0.77,10.5,0.6,2.9760000000000004,,,,1034.0,9.66,,3.2,18.0,2008.0,13.84,7.1,,10.3,
2008-01-07,,1.0,7.1,1.03,10.2,3.85,,,,,920.0,10.95,,,16.3,2008.0,21.09,6.9,,12.6,
2008-01-14,,1.0,5.6,1.06,11.5,2.94,,,,,910.0,8.54,,,15.0,2008.0,17.98,7.1,,12.2,
2008-01-21,,1.0,9.0,0.79,9.7,0.29,,,,,958.0,9.29,,,11.7,2008.0,19.37,7.3,,9.9,
2008-01-27,,1.0,9.11,1.18,11.3,2.5,,,,,820.0,11.6,,,10.0,2008.0,20.4,7.2,,13.2,
2008-02-01,,2.0,10.2,,,,,,,,900.0,,,,7.3,2008.0,14.38,7.3,,10.5,
2008-02-04,,2.0,8.42,0.84,11.4,2.65,2.9760000000000004,,,,871.0,11.07,,3.2,8.0,2008.0,18.06,7.3,,12.0,
2008-02-11,,2.0,3.52,0.74,14.8,3.46,3.162,,,,858.0,6.98,,3.4,9.5,2008.0,17.04,7.3,,16.0,
2008-02-18,,2.0,3.78,0.86,14.8,2.79,,,,,892.0,6.57,,,9.0,2008.0,17.57,7.1,,12.4,
2008-02-25,,2.0,3.95,0.73,14.8,2.49,,,,,836.0,6.44,,,10.0,2008.0,16.39,7.1,,12.9,
2008-03-03,,3.0,1.07,0.2,16.3,1.62,3.069,,,,888.0,2.69,,3.3,8.3,2008.0,12.13,7.0,,14.8,
2008-03-10,,3.0,0.49,0.15,15.0,12.71,,,,,895.0,13.2,,,8.7,2008.0,14.38,7.1,,17.3,
2008-03-17,,3.0,0.68,0.12,13.7,3.09,,,,,920.0,3.77,,,14.0,2008.0,14.58,7.0,,14.4,
2008-03-24,,3.0,0.92,0.09,12.8,4.26,,,,,909.0,5.18,,,11.0,2008.0,11.89,7.2,,16.6,
2008-04-01,,4.0,0.66,0.08,11.0,4.19,2.604,,,,932.0,4.85,,2.8,10.0,2008.0,13.7,7.1,,15.3,
2008-04-07,,4.0,0.22,0.03,9.6,5.65,,,,,730.0,5.87,,,14.3,2008.0,15.81,7.1,,14.5,
2008-04-13,,4.0,0.64,0.02,6.3,5.31,,,,,,5.94,,,9.3,2008.0,18.28,7.1,,20.9,
2008-04-21,,4.0,0.27,0.02,5.8,2.55,,,,,916.0,2.82,,,9.0,2008.0,9.1,7.4,,14.2,
2008-04-28,,4.0,0.22,0.01,5.6,2.86,,,,,,3.08,,,7.8,2008.0,15.72,7.4,,20.2,
2008-05-05,,5.0,0.18,0.03,5.9,3.64,3.2550000000000003,,,,929.0,3.82,,3.5,10.0,2008.0,14.1,7.4,,18.7,
2008-05-14,,5.0,0.33,0.13,5.8,3.35,,,,,915.0,3.68,,,6.8,2008.0,9.12,7.2,,21.2,
2008-05-18,,5.0,0.53,0.13,6.4,2.66,,,,,947.0,3.2,,,8.7,2008.0,9.79,7.2,,24.5,
2008-05-27,,5.0,0.5,0.03,7.4,2.69,,,,,982.0,3.19,,,11.0,2008.0,6.73,7.2,,19.5,
2008-06-01,,6.0,0.19,0.04,7.6,2.02,4.0920000000000005,,,,926.0,2.21,,4.4,9.2,2008.0,7.43,7.1,,20.0,
2008-06-02,,6.0,0.23,,,,,,,,,,,,8.5,2008.0,7.67,7.2,,18.7,
2008-06-03,,6.0,0.29,,,,,,,,,,,,7.8,2008.0,6.04,7.3,,21.0,
2008-06-11,,6.0,0.21,0.05,8.7,2.0,,,,,951.0,2.21,,,11.2,2008.0,10.24,7.1,,22.7,
2008-06-12,,6.0,0.27,,,,,,,,,,,,12.3,2008.0,14.34,7.1,,22.7,
2008-06-13,,6.0,0.25,,,,,,,,,,,,10.8,2008.0,14.27,7.2,,22.2,
2008-06-17,,6.0,2.78,0.06,4.9,0.37,,,,,923.0,3.15,,,12.5,2008.0,12.78,7.3,,21.0,
2008-06-18,,6.0,0.86,,,,,,,,,,,,11.0,2008.0,14.66,7.2,,22.2,
2008-06-19,,6.0,0.61,,,,,,,,,,,,10.8,2008.0,12.36,7.3,,22.2,
2008-06-22,,6.0,3.07,0.18,5.1,1.57,,,,,876.0,4.64,,,12.0,2008.0,8.9,7.4,,23.1,
2008-06-23,,6.0,3.27,,,,,,,,,,,,9.0,2008.0,12.62,7.3,,22.2,
2008-06-24,,6.0,0.37,,,,,,,,,,,,9.0,2008.0,9.4,7.4,,22.0,
2008-07-01,,7.0,0.3,0.08,6.2,3.74,5.208,,,,939.0,4.04,,5.6,10.5,2008.0,10.33,7.3,,22.2,
2008-07-02,,7.0,0.28,,,,,,,,,,,,9.7,2008.0,10.53,7.2,,21.7,
2008-07-03,,7.0,0.33,,,,,,,,,,,,8.0,2008.0,9.08,7.2,,22.2,
2008-07-09,,7.0,0.23,0.06,10.8,1.79,,,,,952.0,2.03,,,10.0,2008.0,7.92,7.0,,26.2,
2008-07-10,,7.0,0.21,,,,,,,,,,,,9.5,2008.0,4.39,7.0,,27.2,
2008-07-11,,7.0,0.2,,,,,,,,,,,,9.5,2008.0,7.9,7.2,,24.7,
2008-07-14,,7.0,0.21,0.03,8.7,2.26,,,,,,2.46,,,10.7,2008.0,10.2,7.0,,25.2,
2008-07-15,,7.0,0.17,,,,,,,,,,,,8.0,2008.0,7.25,7.0,,23.4,
2008-07-16,,7.0,0.25,,,,,,,,,,,,8.0,2008.0,7.89,7.1,,23.2,
2008-07-20,,7.0,0.26,0.02,9.7,2.71,,,,,937.0,2.96,,,10.0,2008.0,8.2,7.3,,22.4,
2008-07-21,,7.0,0.31,,,,,,,,,,,,8.7,2008.0,11.88,7.2,,20.7,
2008-07-22,,7.0,0.24,,,,,,,,,,,,8.2,2008.0,8.65,7.2,,21.8,
2008-07-28,,7.0,0.22,0.02,8.8,1.83,,,,,905.0,2.04,,,9.7,2008.0,12.65,7.1,,22.7,
2008-07-29,,7.0,0.19,,,,,,,,,,,,9.7,2008.0,4.74,7.2,,23.9,
2008-07-30,,7.0,0.2,,,,,,,,,,,,9.0,2008.0,12.12,7.0,,22.2,
2008-08-04,,8.0,0.17,0.01,7.0,4.83,5.394,,,,905.0,5.0,,5.8,11.0,2008.0,10.15,6.9,,22.7,
2008-08-05,,8.0,0.16,,,,,,,,,,,,7.6,2008.0,11.59,7.2,,21.9,
2008-08-06,,8.0,0.12,,,,,,,,,,,,10.5,2008.0,10.49,7.2,,21.7,
2008-08-13,,8.0,0.14,0.01,8.4,9.01,,,,,894.0,9.15,,,11.7,2008.0,8.4,7.0,,23.7,
2008-08-14,,8.0,0.14,,,,,,,,,,,,9.0,2008.0,12.01,7.2,,23.2,
2008-08-15,,8.0,0.16,,,,,,,,,,,,9.7,2008.0,11.6,7.2,,23.2,
2008-08-19,,8.0,0.44,0.11,12.2,3.69,,,,,936.0,4.13,,,8.5,2008.0,12.21,7.1,,22.7,
2008-08-20,,8.0,0.38,,,,,,,,,,,,9.0,2008.0,10.55,7.0,,22.7,
2008-08-21,,8.0,0.51,,,,,,,,,,,,8.4,2008.0,8.02,6.8,,24.7,
2008-08-24,,8.0,0.48,0.09,14.8,3.06,,,,,904.0,3.54,,,8.0,2008.0,11.83,6.9,,23.2,
2008-08-25,,8.0,0.82,,,,,,,,,,,,9.4,2008.0,11.38,7.0,,23.7,
2008-08-26,,8.0,0.99,,,,,,,,,,,,9.0,2008.0,11.7,7.0,,22.7,
2008-09-03,,9.0,0.68,0.29,20.0,4.69,5.766000000000001,,,,904.0,5.37,,6.2,10.7,2008.0,8.23,6.9,,23.2,
2008-09-04,,9.0,1.23,,,,,,,,,,,,7.7,2008.0,12.35,7.0,,24.2,
2008-09-05,,9.0,1.73,,,,,,,,,,,,9.0,2008.0,8.7,6.9,,24.7,
2008-09-09,,9.0,0.86,0.35,24.0,6.44,,,,,880.0,7.3,,,10.0,2008.0,8.86,6.9,,23.0,
2008-09-11,,9.0,0.75,,,,,,,,,,,,10.7,2008.0,7.74,7.0,,20.7,
2008-09-15,,9.0,1.6,0.57,23.5,3.84,,,,,883.0,5.44,,,11.0,2008.0,8.81,6.9,,21.7,
2008-09-16,,9.0,1.82,,,,,,,,,,,,8.9,2008.0,9.37,6.9,,20.2,
2008-09-17,,9.0,2.46,,,,,,,,,,,,10.7,2008.0,8.04,6.9,,20.2,
2008-09-21,,9.0,1.05,0.47,25.1,6.34,,,,,909.0,7.39,,,10.0,2008.0,7.94,6.9,,20.7,
2008-09-22,,9.0,0.29,,,,,,,,,,,,9.0,2008.0,7.45,6.8,,20.2,
2008-09-23,,9.0,0.32,,,,,,,,,,,,9.4,2008.0,3.8,7.0,,22.0,
2008-10-01,,10.0,3.85,0.76,20.5,1.78,5.673,,,,868.0,5.63,,6.1,11.0,2008.0,11.62,6.9,,21.7,
2008-10-07,,10.0,7.77,0.85,17.6,,,,,,867.0,5.65,,,10.2,2008.0,16.23,6.8,,20.3,
2008-10-13,,10.0,10.2,0.79,11.5,,,,,,846.0,5.8,,,11.5,2008.0,16.71,7.2,,15.2,
2008-10-21,,10.0,12.2,0.63,10.8,,,,,,916.0,6.63,,,11.5,2008.0,8.33,6.9,,17.3,
2008-10-26,,10.0,8.64,0.98,15.7,0.84,,,,,955.0,9.48,,,10.0,2008.0,13.66,7.0,,19.7,
2008-11-02,,11.0,11.4,0.67,13.8,,5.022,,,,889.0,10.81,,5.4,11.0,2008.0,14.98,7.2,,17.9,
2008-11-10,,11.0,,0.83,13.5,,,,,,902.0,11.44,,,7.4,2008.0,14.34,7.1,,15.7,
2008-11-11,,11.0,8.7,,,,,,,,,,,,10.0,2008.0,6.8,7.0,,16.7,
2008-11-17,,11.0,8.96,0.98,14.3,,,,,,886.0,7.13,,,7.0,2008.0,14.32,7.0,,17.7,
2008-11-23,,11.0,13.3,0.97,13.4,,,,,,1012.0,12.47,,,8.0,2008.0,14.47,7.3,,15.2,
2008-12-02,,12.0,16.8,1.23,,,4.65,,,,968.0,7.51,,5.0,5.0,2008.0,11.28,7.3,,14.7,
2008-12-04,,12.0,,,10.3,,,,,,,,,,4.5,2008.0,14.12,7.3,,14.2,
2008-12-08,,12.0,18.1,0.19,14.1,,,,,,1044.0,8.05,,,6.0,2008.0,11.13,7.3,,13.0,
2008-12-16,,12.0,20.2,1.78,10.0,,,,,,994.0,8.48,,,9.2,2008.0,14.44,7.3,,9.0,
2008-12-21,,12.0,13.4,1.03,13.0,,,,,,1064.0,7.23,,,11.0,2008.0,15.0,7.3,,8.5,
2008-12-28,,12.0,12.6,1.94,14.6,,,,,,,5.99,,,8.2,2008.0,14.45,7.1,,9.5,
2009-01-06,,1.0,6.66,1.38,19.8,2.97,3.4410000000000003,,,,987.0,9.63,,3.7,9.7,2009.0,14.95,7.1,,9.5,
2009-01-11,,1.0,6.52,1.87,16.7,2.86,,,,,1008.0,9.37,,,12.2,2009.0,14.73,7.1,,10.2,
2009-01-20,,1.0,4.14,1.18,16.3,2.72,,,,,1043.0,6.86,,,10.0,2009.0,9.76,6.9,,12.5,
2009-01-26,,1.0,2.56,0.48,20.5,3.95,,,,,1072.0,6.51,,,6.0,2009.0,12.83,7.1,,11.3,
2009-02-03,,2.0,2.56,0.79,19.0,2.74,3.4410000000000003,,,,1025.0,5.3,,3.7,15.5,2009.0,11.31,7.0,,12.5,
2009-02-08,,2.0,6.69,1.02,14.3,0.52,,,,,1022.0,7.21,,,12.9,2009.0,14.77,7.0,,12.5,
2009-02-15,,2.0,9.17,1.04,13.3,,,,,,965.0,,,,11.5,2009.0,15.15,7.2,,10.0,
2009-02-23,,2.0,12.5,1.7,12.6,,,,,,1019.0,,,,9.4,2009.0,16.59,7.1,,14.0,
2009-03-03,,3.0,21.5,,9.4,,4.1850000000000005,,,,,20.49,,4.5,6.8,2009.0,18.35,7.3,,13.8,
2009-03-08,,3.0,16.3,1.96,8.0,,5.022,,,,,19.76,,5.4,5.0,2009.0,18.34,7.2,,13.2,
