Date,DRP** mg/L P,NH3 mg/L N,NO2 mg/L N,NO3 mg/L N,PO4 mg/L P,SKN mg/L N,TDN mg/L N,TDP mg/L P,TKN mg/L N,TN mg/L N,TP mg/L P,TSS mg/L,flow mgd,pH,peak_flow mgd,temperature degC,urea* mg/L N
2000-01-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2000-02-29,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2000-03-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2000-04-30,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2000-05-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2000-06-30,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2000-07-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2000-08-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2000-09-30,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2000-10-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2000-11-30,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2000-12-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2001-01-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2001-02-28,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2001-03-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2001-04-30,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2001-05-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2001-06-30,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2001-07-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2001-08-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2001-09-30,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2001-10-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2001-11-30,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2001-12-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2002-01-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2002-02-28,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2002-03-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2002-04-30,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2002-05-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2002-06-30,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2002-07-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2002-08-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2002-09-30,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2002-10-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2002-11-30,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2002-12-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2003-01-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2003-02-28,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2003-03-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2003-04-30,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2003-05-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2003-06-30,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2003-07-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2003-08-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2003-09-30,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2003-10-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2003-11-30,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2003-12-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2004-01-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2004-02-29,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2004-03-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2004-04-30,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2004-05-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2004-06-30,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2004-07-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2004-08-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2004-09-30,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2004-10-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2004-11-30,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2004-12-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2005-01-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2005-02-28,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2005-03-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2005-04-30,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2005-05-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2005-06-30,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2005-07-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2005-08-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2005-09-30,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2005-10-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2005-11-30,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2005-12-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2006-01-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2006-02-28,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2006-03-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2006-04-30,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2006-05-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2006-06-30,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2006-07-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2006-08-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2006-09-30,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2006-10-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2006-11-30,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2006-12-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2007-01-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2007-02-28,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2007-03-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2007-04-30,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2007-05-31,,6.25,,13.0,3.0,,,,,,,,0.37,,,,
2007-06-30,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
2007-07-31,,6.25,,13.0,3.0,,,,,,,,0.0,,,,
