analyte,year,month,site,value
ammonia_kgN_per_day,2015,4.0,Delta Diablo,1287.8449707
ammonia_kgN_per_day,2015,5.0,Delta Diablo,1229.03662109
ammonia_kgN_per_day,2015,6.0,Delta Diablo,608.895019531
ammonia_kgN_per_day,2015,7.0,Delta Diablo,582.989440918
ammonia_kgN_per_day,2015,8.0,Delta Diablo,599.077392578
ammonia_kgN_per_day,2015,9.0,Delta Diablo,227.780136108
ammonia_kgN_per_day,2015,10.0,Delta Diablo,321.910430908
ammonia_kgN_per_day,2015,11.0,Delta Diablo,770.688537598
ammonia_kgN_per_day,2015,12.0,Delta Diablo,953.996520996
ammonia_kgN_per_day,2016,1.0,Delta Diablo,974.778381348
ammonia_kgN_per_day,2016,2.0,Delta Diablo,950.589660645
ammonia_kgN_per_day,2016,3.0,Delta Diablo,1313.72302246
ammonia_kgN_per_day,2016,4.0,Delta Diablo,905.164855957
ammonia_kgN_per_day,2016,5.0,Delta Diablo,939.744506836
ammonia_kgN_per_day,2016,6.0,Delta Diablo,920.703918457
TKN_kgN_per_day,2012,7.0,Delta Diablo,882.062988281
TKN_kgN_per_day,2012,8.0,Delta Diablo,571.724975586
TKN_kgN_per_day,2012,9.0,Delta Diablo,452.466003418
TKN_kgN_per_day,2012,10.0,Delta Diablo,606.690002441
TKN_kgN_per_day,2012,11.0,Delta Diablo,679.077026367
TKN_kgN_per_day,2012,12.0,Delta Diablo,891.323974609
TKN_kgN_per_day,2013,1.0,Delta Diablo,708.182983398
TKN_kgN_per_day,2013,2.0,Delta Diablo,784.476013184
TKN_kgN_per_day,2013,3.0,Delta Diablo,708.372009277
TKN_kgN_per_day,2013,4.0,Delta Diablo,1310.33703613
TKN_kgN_per_day,2013,5.0,Delta Diablo,1015.3079834
TKN_kgN_per_day,2013,6.0,Delta Diablo,1049.89501953
TKN_kgN_per_day,2013,7.0,Delta Diablo,322.812011719
TKN_kgN_per_day,2013,8.0,Delta Diablo,641.466003418
TKN_kgN_per_day,2013,9.0,Delta Diablo,548.289001465
TKN_kgN_per_day,2013,10.0,Delta Diablo,738.801025391
TKN_kgN_per_day,2013,11.0,Delta Diablo,775.088989258
TKN_kgN_per_day,2013,12.0,Delta Diablo,594.216003418
TKN_kgN_per_day,2014,1.0,Delta Diablo,525.41998291
TKN_kgN_per_day,2014,2.0,Delta Diablo,966.294006348
TKN_kgN_per_day,2014,3.0,Delta Diablo,916.398010254
TKN_kgN_per_day,2014,4.0,Delta Diablo,647.325012207
TKN_kgN_per_day,2014,5.0,Delta Diablo,647.70300293
TKN_kgN_per_day,2014,6.0,Delta Diablo,1019.0880127
TKN_kgN_per_day,2014,7.0,Delta Diablo,413.589996338
TKN_kgN_per_day,2014,8.0,Delta Diablo,417.565002441
TKN_kgN_per_day,2014,9.0,Delta Diablo,610.525024414
TKN_kgN_per_day,2014,10.0,Delta Diablo,1381.0300293
TKN_kgN_per_day,2014,11.0,Delta Diablo,920.815002441
TKN_kgN_per_day,2014,12.0,Delta Diablo,1215.17504883
TKN_kgN_per_day,2015,1.0,Delta Diablo,865.275024414
TKN_kgN_per_day,2015,2.0,Delta Diablo,1348.23498535
TKN_kgN_per_day,2015,3.0,Delta Diablo,1618.9050293
TKN_kgN_per_day,2015,4.0,Delta Diablo,1476.93994141
TKN_kgN_per_day,2015,5.0,Delta Diablo,1314.18005371
TKN_kgN_per_day,2015,6.0,Delta Diablo,703.594970703
TKN_kgN_per_day,2015,7.0,Delta Diablo,725.282653809
TKN_kgN_per_day,2015,8.0,Delta Diablo,736.260314941
TKN_kgN_per_day,2015,9.0,Delta Diablo,237.439208984
