Permit Title,Description,Pollutant,Date,Month,Year ,Value,Unit
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/18/1999,1,1999,10.8,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/19/1999,1,1999,13.4,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/20/1999,1,1999,14.7,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/21/1999,1,1999,12,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/22/1999,1,1999,9.5,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/23/1999,1,1999,11.5,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/24/1999,1,1999,11,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/25/1999,1,1999,9.6,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/26/1999,1,1999,11.3,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/27/1999,1,1999,10.1,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/28/1999,1,1999,10,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/29/1999,1,1999,10.7,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/30/1999,1,1999,9.5,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Monthly Total,Flow,1/31/1999,1,1999,312.6,Mgal
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,1/31/1999,1,1999,12,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/1/1999,2,1999,10,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/2/1999,2,1999,9.1,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/3/1999,2,1999,9.3,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/4/1999,2,1999,9.8,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/5/1999,2,1999,9.1,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/6/1999,2,1999,9.9,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/7/1999,2,1999,15.8,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/8/1999,2,1999,13.2,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/9/1999,2,1999,15,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/10/1999,2,1999,12.6,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/11/1999,2,1999,11.8,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/12/1999,2,1999,11.1,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/13/1999,2,1999,12.4,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/14/1999,2,1999,11.3,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/15/1999,2,1999,13.3,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/16/1999,2,1999,12.2,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/17/1999,2,1999,12.8,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/18/1999,2,1999,12.3,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/19/1999,2,1999,12,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/20/1999,2,1999,12.4,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/21/1999,2,1999,14.1,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/22/1999,2,1999,12.8,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/23/1999,2,1999,12.3,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/24/1999,2,1999,11.5,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/25/1999,2,1999,12.5,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/26/1999,2,1999,11.8,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/27/1999,2,1999,12,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Monthly Total,Flow,2/28/1999,2,1999,333.5,Mgal
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,2/28/1999,2,1999,11.1,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,3/1/1999,3,1999,11.3,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,3/2/1999,3,1999,11.4,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,3/3/1999,3,1999,11.2,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,3/4/1999,3,1999,10.1,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,3/5/1999,3,1999,9.8,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,3/6/1999,3,1999,10.7,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,3/7/1999,3,1999,10.3,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,3/8/1999,3,1999,10.2,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,3/9/1999,3,1999,12.2,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,3/10/1999,3,1999,10.9,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,3/11/1999,3,1999,10.1,mgd
Dublin San Ramon Services District Permit,E-002F (M-002F2-Formerly Station E-2) Eff Daily Average,Flow,3/12/1999,3,1999,11.9,mgd
