SAMPLENUM,SITE,LOCATOR,CDATE,Month,Year,TIME,SAMTYPE,PARM_STORED,QUAL,NUMVALUE,UNITS,MDLVALUE,METHODREF,COMMENTS
L2714-5,WWTP EFFLUENT,EFF EPS,6/1/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,30,mg/L,,EPA 350.2,
L3019-6,WWTP EFFLUENT,EFF EPS,6/6/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,33.3,mg/L,,EPA 350.2,
L3135-5,WWTP EFFLUENT,EFF EPS,6/8/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,33.3,mg/L,,EPA 350.2,
L3249-5,WWTP EFFLUENT,EFF EPS,6/13/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,31.4,mg/L,,EPA 350.2,
L3491-5,WWTP EFFLUENT,EFF EPS,6/16/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,32.2,mg/L,,EPA 350.2,
L3564-1,WWTP EFFLUENT,EFF EPS,6/20/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,35.8,mg/L,,EPA 350.2,tue. & thu.FEC
L3689-5,WWTP EFFLUENT,EFF EPS,6/22/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,27.4,mg/L,,EPA 350.2,
L3887-5,WWTP EFFLUENT,EFF EPS,6/27/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,28.4,mg/L,,EPA 350.2,FEC
L4003-1,WWTP EFFLUENT,EFF DECHLOR,6/29/1994,6,1994,8:00:00 AM,CT15,AMMONIA AS N,,26.9,mg/L,,EPA 350.2,
L4000-5,WWTP EFFLUENT,EFF EPS,6/29/1994,6,1994,12:00:00 PM,CF01,AMMONIA AS N,,25.8,mg/L,,EPA 350.2,
L4185-5,WWTP EFFLUENT,EFF EPS,7/4/1994,7,1994,12:00:00 PM,CF01,AMMONIA AS N,,36.7,mg/L,,EPA 350.2,fec
L4251-1,WWTP EFFLUENT,EFF DECHLOR,7/6/1994,7,1994,7:00:00 AM,CT15,AMMONIA AS N,,30.8,mg/L,,EPA 350.2,
L4247-5,WWTP EFFLUENT,EFF EPS,7/6/1994,7,1994,12:00:00 PM,CF01,AMMONIA AS N,,30.2,mg/L,,EPA 350.2,#NAME?
L4366-5,WWTP EFFLUENT,EFF EPS,7/11/1994,7,1994,12:00:00 PM,CF01,AMMONIA AS N,,31.4,mg/L,,EPA 350.2,ICP and +Save 14 poured off at SaCtrl.
L4491-5,WWTP EFFLUENT,EFF EPS,7/14/1994,7,1994,12:00:00 PM,CF01,AMMONIA AS N,,30.8,mg/L,,EPA 350.2,"IC:C = NO3, +Save 14 and ICP:VF poured out at SaCtrl."
L4578-5,WWTP EFFLUENT,EFF EPS,7/18/1994,7,1994,12:00:00 PM,CF01,AMMONIA AS N,,30.5,mg/L,,EPA 350.2,+SAVE 14 and ICP poured out at SaCtrl.
L4672-5,WWTP EFFLUENT,EFF EPS,7/20/1994,7,1994,12:00:00 PM,CF01,AMMONIA AS N,,29.1,mg/L,,EPA 350.2,+Save 14 and ICP:VF poured out at SaCtrl.
L4801-5,WWTP EFFLUENT,EFF EPS,7/25/1994,7,1994,12:00:00 PM,CF01,AMMONIA AS N,,29.3,mg/L,0.005,EPA 350.2,FEC - +SAVE 14 poured off at SaCtrl.
L4882-5,WWTP EFFLUENT,EFF EPS,7/27/1994,7,1994,12:00:00 PM,CF01,AMMONIA AS N,,28.3,mg/L,0.005,EPA 350.2,+SAVE 14 and ICP poured out at SaCtrl.
L5162-1,WWTP EFFLUENT,EFF DECHLOR,8/1/1994,8,1994,7:30:00 AM,CT15,AMMONIA AS N,,36.1,mg/L,0.3,EPA 350.2,to be comp in lab
L5159-5,WWTP EFFLUENT,EFF EPS,8/1/1994,8,1994,12:00:00 PM,CF01,AMMONIA AS N,,33.9,mg/L,0.005,EPA 350.2,+SAVE 14 and ICP poured out at SaCtrl.
L5397-5,WWTP EFFLUENT,EFF EPS,8/3/1994,8,1994,12:00:00 PM,CF01,AMMONIA AS N,,32.5,mg/L,0.3,EPA 350.2,+SAVE 14 and ICP poured out at SaCtrl.
L5510-5,WWTP EFFLUENT,EFF EPS,8/8/1994,8,1994,12:00:00 PM,CF01,AMMONIA AS N,,33.9,mg/L,0.3,EPA 350.2,fec
L5595-5,WWTP EFFLUENT,EFF EPS,8/10/1994,8,1994,12:00:00 PM,CF01,AMMONIA AS N,,29.7,mg/L,0.3,EPA 350.2,fec
L5693-5,WWTP EFFLUENT,EFF EPS,8/15/1994,8,1994,12:00:00 PM,CF01,AMMONIA AS N,,30.2,mg/L,0.3,EPA 350.2,"IC:C for NO3, ICP:VF and +SAVE 14 poured off at SaCtrl."
L5778-5,WWTP EFFLUENT,EFF EPS,8/17/1994,8,1994,12:00:00 PM,CF01,AMMONIA AS N,,32.5,mg/L,0.3,EPA 350.2,tue. & thu.
L5897-7,WWTP EFFLUENT,EFF EPS,8/22/1994,8,1994,12:00:00 PM,CF01,AMMONIA AS N,,36.1,mg/L,0.3,EPA 350.2,+SAVE 14 and ICP poured out at SaCtrl.
L6063-5,WWTP EFFLUENT,EFF EPS,8/25/1994,8,1994,12:00:00 PM,CF01,AMMONIA AS N,,29.1,mg/L,0.3,EPA 350.2,tue. & thu.
L6283-5,WWTP EFFLUENT,EFF EPS,8/29/1994,8,1994,12:00:00 PM,CF01,AMMONIA AS N,,32.9,mg/L,0.3,EPA 350.2,+SAVE 14 and ICP poured out at SaCtrl.
L6367-5,WWTP EFFLUENT,EFF EPS,8/31/1994,8,1994,12:00:00 PM,CF01,AMMONIA AS N,,31.6,mg/L,0.3,EPA 350.2,+SAVE 14 and ICP poured out at SaCtrl.
L6485-5,WWTP EFFLUENT,EFF EPS,9/5/1994,9,1994,12:00:00 PM,CF01,AMMONIA AS N,,36.4,mg/L,0.3,EPA 350.2,tue. & thu.
L6538-5,WWTP EFFLUENT,EFF EPS,9/7/1994,9,1994,12:00:00 PM,CF01,AMMONIA AS N,,31.2,mg/L,0.3,EPA 350.2,+SAVE 14 and ICP poured out at SaCtrl.
L6631-5,WWTP EFFLUENT,EFF EPS,9/12/1994,9,1994,12:00:00 PM,CF01,AMMONIA AS N,,30.2,mg/L,0.3,EPA 350.2,"ICP:V, +save poured at sample control  IC:C = NO3"
L6701-5,WWTP EFFLUENT,EFF EPS,9/14/1994,9,1994,12:00:00 PM,CF01,AMMONIA AS N,,30,mg/L,0.3,EPA 350.2,#NAME?
L6844-1,WWTP EFFLUENT,EFF EPS,9/19/1994,9,1994,12:00:00 PM,CF01,AMMONIA AS N,,33,mg/L,0.3,EPA 350.2,#NAME?
L6928-2,WWTP EFFLUENT,EFF EPS,9/21/1994,9,1994,12:00:00 PM,CF01,AMMONIA AS N,,26.6,mg/L,0.3,EPA 350.2,#NAME?
L7033-2,WWTP EFFLUENT,EFF EPS,9/26/1994,9,1994,12:00:00 PM,CF01,AMMONIA AS N,,33.9,mg/L,0.3,EPA 350.2,#NAME?
L7071-2,WWTP EFFLUENT,EFF EPS,9/27/1994,9,1994,12:00:00 PM,CF01,AMMONIA AS N,,34.7,mg/L,0.3,EPA 350.2,#NAME?
L7192-2,WWTP EFFLUENT,EFF EPS,10/3/1994,10,1994,12:00:00 PM,CF01,AMMONIA AS N,,35,mg/L,0.3,EPA 350.2,
L7394-2,WWTP EFFLUENT,EFF EPS,10/5/1994,10,1994,12:00:00 PM,CF01,AMMONIA AS N,,29.7,mg/L,0.3,EPA 350.2,#NAME?
L7499-2,WWTP EFFLUENT,EFF EPS,10/10/1994,10,1994,12:00:00 PM,CF01,AMMONIA AS N,,34.6,mg/L,0.3,EPA 350.2,#NAME?
L7528-2,WWTP EFFLUENT,EFF EPS,10/11/1994,10,1994,12:00:00 PM,CF01,AMMONIA AS N,,30.9,mg/L,0.3,EPA 350.2,#NAME?
L7689-5,WWTP EFFLUENT,EFF EPS,10/17/1994,10,1994,12:00:00 PM,CF01,AMMONIA AS N,,31.5,mg/L,0.3,EPA 350.2,#NAME?
L7749-5,WWTP EFFLUENT,EFF EPS,10/19/1994,10,1994,12:00:00 PM,CF01,AMMONIA AS N,,34.7,mg/L,0.3,EPA 350.2,tue. & thu.
L7887-2,WWTP EFFLUENT,EFF EPS,10/24/1994,10,1994,12:00:00 PM,CF01,AMMONIA AS N,,30.4,mg/L,0.3,EPA 350.2,#NAME?
L7967-2,WWTP EFFLUENT,EFF EPS,10/26/1994,10,1994,12:00:00 PM,CF01,AMMONIA AS N,,31.6,mg/L,0.3,EPA 350.2,#NAME?
L8227-2,WWTP EFFLUENT,EFF EPS,10/31/1994,10,1994,12:00:00 PM,CF01,AMMONIA AS N,,37,mg/L,0.3,EPA 350.2,#NAME?
L8338-2,WWTP EFFLUENT,EFF EPS,11/2/1994,11,1994,12:00:00 PM,CF01,AMMONIA AS N,,33.9,mg/L,0.3,EPA 350.2,#NAME?
L8462-2,WWTP EFFLUENT,EFF EPS,11/7/1994,11,1994,12:00:00 PM,CF01,AMMONIA AS N,,14.3,mg/L,0.3,EPA 350.2,"IC:NO3 +save, icp poured at smp rcv"
L8580-2,WWTP EFFLUENT,EFF EPS,11/9/1994,11,1994,12:00:00 PM,CF01,AMMONIA AS N,,23,mg/L,0.3,EPA 350.2,#NAME?
L8648-2,WWTP EFFLUENT,EFF EPS,11/14/1994,11,1994,12:00:00 PM,CF01,AMMONIA AS N,,26.4,mg/L,0.3,EPA 350.2,#NAME?
L8733-2,WWTP EFFLUENT,EFF EPS,11/16/1994,11,1994,12:00:00 PM,CF01,AMMONIA AS N,,16.9,mg/L,0.3,EPA 350.2,#NAME?
L8842-2,WWTP EFFLUENT,EFF EPS,11/21/1994,11,1994,12:00:00 PM,CF01,AMMONIA AS N,,27.7,mg/L,0.3,EPA 350.2,#NAME?
L8889-2,WWTP EFFLUENT,EFF EPS,11/22/1994,11,1994,12:00:00 PM,CF01,AMMONIA AS N,,26.6,mg/L,0.3,EPA 350.2,#NAME?
L8982-2,WWTP EFFLUENT,EFF EPS,11/28/1994,11,1994,12:00:00 PM,CF01,AMMONIA AS N,,27.7,mg/L,0.3,EPA 350.2,#NAME?
L9054-2,WWTP EFFLUENT,EFF EPS,11/30/1994,11,1994,7:00:00 AM,CF01,AMMONIA AS N,,29.8,mg/L,0.3,EPA 350.2,#NAME?
L9185-2,WWTP EFFLUENT,EFF EPS,12/5/1994,12,1994,12:00:00 PM,CF01,AMMONIA AS N,,18.2,mg/L,0.3,EPA 350.2,
L9268-3,WWTP EFFLUENT,EFF EPS,12/7/1994,12,1994,12:00:00 PM,CF01,AMMONIA AS N,,26.5,mg/L,0.3,EPA 350.2,"IC=NO3; +save, icp poured at smp rcv"
L9438-5,WWTP EFFLUENT,EFF EPS,12/12/1994,12,1994,12:00:00 PM,CF01,AMMONIA AS N,,16.2,mg/L,0.3,EPA 350.2,composite of two jugs done in lab. added to composite of eps bypass samples
L9528-2,WWTP EFFLUENT,EFF EPS,12/14/1994,12,1994,12:00:00 PM,CF01,AMMONIA AS N,,14.7,mg/L,0.3,EPA 350.2,#NAME?
L9602-4,WWTP EFFLUENT,EFF LAB,12/19/1994,12,1994,4:00:00 AM,GRAB,AMMONIA AS N,,26.5,mg/L,0.3,EPA 350.2,
L9602-2,WWTP EFFLUENT,EFF LAB,12/19/1994,12,1994,8:00:00 AM,GRAB,AMMONIA AS N,,25.3,mg/L,0.3,EPA 350.2,
L9668-2,WWTP EFFLUENT,EFF EPS,12/19/1994,12,1994,12:00:00 PM,CF01,AMMONIA AS N,,27.2,mg/L,0.3,EPA 350.2,#NAME?
L9602-3,WWTP EFFLUENT,EFF LAB,12/19/1994,12,1994,12:00:00 PM,GRAB,AMMONIA AS N,,26.3,mg/L,0.3,EPA 350.2,
L9602-7,WWTP EFFLUENT,EFF LAB,12/20/1994,12,1994,4:00:00 AM,GRAB,AMMONIA AS N,,25.1,mg/L,0.3,EPA 350.2,
L9602-5,WWTP EFFLUENT,EFF LAB,12/20/1994,12,1994,8:00:00 AM,GRAB,AMMONIA AS N,,27.2,mg/L,0.3,EPA 350.2,
L9602-6,WWTP EFFLUENT,EFF LAB,12/20/1994,12,1994,12:00:00 PM,GRAB,AMMONIA AS N,,26,mg/L,0.3,EPA 350.2,
L9602-10,WWTP EFFLUENT,EFF LAB,12/21/1994,12,1994,4:00:00 AM,GRAB,AMMONIA AS N,,26.7,mg/L,0.3,EPA 350.2,
L9602-8,WWTP EFFLUENT,EFF LAB,12/21/1994,12,1994,8:00:00 AM,GRAB,AMMONIA AS N,,27.9,mg/L,0.3,EPA 350.2,
L9602-9,WWTP EFFLUENT,EFF LAB,12/21/1994,12,1994,12:00:00 PM,GRAB,AMMONIA AS N,,27.7,mg/L,0.3,EPA 350.2,
L9602-13,WWTP EFFLUENT,EFF LAB,12/22/1994,12,1994,4:00:00 AM,GRAB,AMMONIA AS N,,27.2,mg/L,0.3,EPA 350.2,
L9602-11,WWTP EFFLUENT,EFF LAB,12/22/1994,12,1994,8:00:00 AM,GRAB,AMMONIA AS N,,29.5,mg/L,0.3,EPA 350.2,
L9791-2,WWTP EFFLUENT,EFF EPS,12/22/1994,12,1994,12:00:00 PM,CF01,AMMONIA AS N,,28.6,mg/L,0.3,EPA 350.2,Split from L-----
L9602-12,WWTP EFFLUENT,EFF LAB,12/22/1994,12,1994,12:00:00 PM,GRAB,AMMONIA AS N,,26.3,mg/L,0.3,EPA 350.2,
L9842-2,WWTP EFFLUENT,EFF EPS,12/26/1994,12,1994,12:01:00 PM,CF01,AMMONIA AS N,,27.2,mg/L,0.3,EPA 350.2,Split from L-----
L9901-2,WWTP EFFLUENT,EFF EPS,12/28/1994,12,1994,12:00:00 PM,CF01,AMMONIA AS N,,29,mg/L,0.3,EPA 350.2,Split from L9900-2 ICP poured at smp rcv
L9981-2,WWTP EFFLUENT,EFF EPS,1/2/1995,1,1995,12:00:00 PM,CF01,AMMONIA AS N,,24.9,mg/L,0.3,EPA 350.2,Split from L9979-2
L10183-2,WWTP EFFLUENT,EFF EPS,1/4/1995,1,1995,12:00:00 PM,CF01,AMMONIA AS N,,16.9,mg/L,0.3,EPA 350.2,Split from L10182-2
L10185-3,WWTP EFFLUENT,EFF DECHLOR,1/5/1995,1,1995,9:00:00 AM,CFV,AMMONIA AS N,,18.1,mg/L,0.3,EPA 350.2,
L10334-2,WWTP EFFLUENT,EFF EPS,1/9/1995,1,1995,12:01:00 PM,CF01,AMMONIA AS N,,9.2,mg/L,0.3,EPA 350.2,Split from L10333-5  Composite included secondary bypass sample
L10433-2,WWTP EFFLUENT,EFF EPS,1/11/1995,1,1995,7:00:00 AM,CF01,AMMONIA AS N,,6.7,mg/L,0.3,EPA 350.2,Split from L10432-2  Secondary bypass included in composite
L10557-2,WWTP EFFLUENT,EFF EPS,1/16/1995,1,1995,12:00:00 PM,CF01,AMMONIA AS N,,16.2,mg/L,0.3,EPA 350.2,Split from L10555-2
L10561-4,WWTP EFFLUENT,EFF LAB,1/17/1995,1,1995,4:00:00 AM,GRAB,AMMONIA AS N,,14,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10561-2,WWTP EFFLUENT,EFF LAB,1/17/1995,1,1995,8:00:00 AM,GRAB,AMMONIA AS N,,15.4,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10561-3,WWTP EFFLUENT,EFF LAB,1/17/1995,1,1995,12:00:00 PM,GRAB,AMMONIA AS N,,15.1,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10561-7,WWTP EFFLUENT,EFF LAB,1/18/1995,1,1995,4:00:00 AM,GRAB,AMMONIA AS N,,15.5,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10561-5,WWTP EFFLUENT,EFF LAB,1/18/1995,1,1995,8:00:00 AM,GRAB,AMMONIA AS N,,16.4,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10561-6,WWTP EFFLUENT,EFF LAB,1/18/1995,1,1995,12:00:00 PM,GRAB,AMMONIA AS N,,15.4,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10561-10,WWTP EFFLUENT,EFF LAB,1/19/1995,1,1995,4:00:00 AM,GRAB,AMMONIA AS N,,17.6,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10561-8,WWTP EFFLUENT,EFF LAB,1/19/1995,1,1995,8:00:00 AM,GRAB,AMMONIA AS N,,18.2,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10561-9,WWTP EFFLUENT,EFF LAB,1/19/1995,1,1995,12:00:00 PM,GRAB,AMMONIA AS N,,17.6,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10720-2,WWTP EFFLUENT,EFF EPS,1/19/1995,1,1995,12:01:00 PM,CF01,AMMONIA AS N,,18.8,mg/L,0.3,EPA 350.2,Split from L10721-5
L10561-13,WWTP EFFLUENT,EFF LAB,1/20/1995,1,1995,4:00:00 AM,GRAB,AMMONIA AS N,,17.9,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10561-11,WWTP EFFLUENT,EFF LAB,1/20/1995,1,1995,8:00:00 AM,GRAB,AMMONIA AS N,,19.2,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10561-12,WWTP EFFLUENT,EFF LAB,1/20/1995,1,1995,12:00:00 PM,GRAB,AMMONIA AS N,,18.3,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10780-4,WWTP EFFLUENT,EFF LAB,1/23/1995,1,1995,4:00:00 AM,GRAB,AMMONIA AS N,,12.2,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10780-2,WWTP EFFLUENT,EFF LAB,1/23/1995,1,1995,8:00:00 AM,GRAB,AMMONIA AS N,,14.4,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10808-2,WWTP EFFLUENT,EFF EPS,1/23/1995,1,1995,12:00:00 PM,CF01,AMMONIA AS N,,13.6,mg/L,0.3,EPA 350.2,Split from L10807-2; composite includes bypass sample
L10780-3,WWTP EFFLUENT,EFF LAB,1/23/1995,1,1995,12:00:00 PM,GRAB,AMMONIA AS N,,13.4,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10780-7,WWTP EFFLUENT,EFF LAB,1/24/1995,1,1995,4:00:00 AM,GRAB,AMMONIA AS N,,15,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10780-5,WWTP EFFLUENT,EFF LAB,1/24/1995,1,1995,8:00:00 AM,GRAB,AMMONIA AS N,,15,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10780-6,WWTP EFFLUENT,EFF LAB,1/24/1995,1,1995,12:00:00 PM,GRAB,AMMONIA AS N,,15,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10780-10,WWTP EFFLUENT,EFF LAB,1/25/1995,1,1995,4:00:00 AM,GRAB,AMMONIA AS N,,14.1,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10780-8,WWTP EFFLUENT,EFF LAB,1/25/1995,1,1995,8:00:00 AM,GRAB,AMMONIA AS N,,15.4,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10888-2,WWTP EFFLUENT,EFF EPS,1/25/1995,1,1995,12:00:00 PM,CF01,AMMONIA AS N,,15.4,mg/L,0.3,EPA 350.2,Split from L10887-2
L10780-9,WWTP EFFLUENT,EFF LAB,1/25/1995,1,1995,12:00:00 PM,GRAB,AMMONIA AS N,,14.4,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10780-13,WWTP EFFLUENT,EFF LAB,1/26/1995,1,1995,4:00:00 AM,GRAB,AMMONIA AS N,,18,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10780-11,WWTP EFFLUENT,EFF LAB,1/26/1995,1,1995,8:00:00 AM,GRAB,AMMONIA AS N,,17,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L10780-12,WWTP EFFLUENT,EFF LAB,1/26/1995,1,1995,12:00:00 PM,GRAB,AMMONIA AS N,,18,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11074-2,WWTP EFFLUENT,EFF EPS,1/30/1995,1,1995,12:00:00 PM,CF01,AMMONIA AS N,,13,mg/L,0.3,EPA 350.2,Split from L11073-2  Secondary bypass included in composite
L11137-2,WWTP EFFLUENT,EFF EPS,2/1/1995,2,1995,12:00:00 PM,CF01,AMMONIA AS N,,15,mg/L,0.3,EPA 350.2,Split from L11136-2
L11330-2,WWTP EFFLUENT,EFF EPS,2/6/1995,2,1995,12:00:00 PM,CF01,AMMONIA AS N,,24.9,mg/L,0.3,EPA 350.2,Split from L11329-2
L11335-2,WWTP EFFLUENT,EFF DECHLOR,2/6/1995,2,1995,12:00:00 PM,CFV,AMMONIA AS N,,24.9,mg/L,0.3,EPA 350.2,"bioassay, chronic toxicity"
L11488-2,WWTP EFFLUENT,EFF EPS,2/8/1995,2,1995,12:00:00 PM,CF01,AMMONIA AS N,,22.1,mg/L,0.3,EPA 350.2,Split from L11487-2
L11606-2,WWTP EFFLUENT,EFF EPS,2/13/1995,2,1995,12:00:00 PM,CF01,AMMONIA AS N,,30.2,mg/L,0.3,EPA 350.2,Split from L11604-2
L11605-4,WWTP EFFLUENT,EFF LAB,2/14/1995,2,1995,4:00:00 AM,GRAB,AMMONIA AS N,,24.2,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11605-2,WWTP EFFLUENT,EFF LAB,2/14/1995,2,1995,8:00:00 AM,GRAB,AMMONIA AS N,,24.2,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11605-3,WWTP EFFLUENT,EFF LAB,2/14/1995,2,1995,12:00:00 PM,GRAB,AMMONIA AS N,,24.2,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11605-7,WWTP EFFLUENT,EFF LAB,2/15/1995,2,1995,4:00:00 AM,GRAB,AMMONIA AS N,,23.2,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11605-5,WWTP EFFLUENT,EFF LAB,2/15/1995,2,1995,8:00:00 AM,GRAB,AMMONIA AS N,,23.9,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11689-2,WWTP EFFLUENT,EFF EPS,2/15/1995,2,1995,12:00:00 PM,CF01,AMMONIA AS N,,23.8,mg/L,0.3,EPA 350.2,Split from L11687-2
L11605-6,WWTP EFFLUENT,EFF LAB,2/15/1995,2,1995,12:00:00 PM,GRAB,AMMONIA AS N,,23.4,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11605-10,WWTP EFFLUENT,EFF LAB,2/16/1995,2,1995,4:00:00 AM,GRAB,AMMONIA AS N,,23.5,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11605-8,WWTP EFFLUENT,EFF LAB,2/16/1995,2,1995,8:00:00 AM,GRAB,AMMONIA AS N,,24.4,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11605-9,WWTP EFFLUENT,EFF LAB,2/16/1995,2,1995,12:00:00 PM,GRAB,AMMONIA AS N,,23.5,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11605-13,WWTP EFFLUENT,EFF LAB,2/17/1995,2,1995,4:00:00 AM,GRAB,AMMONIA AS N,,23.2,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11605-11,WWTP EFFLUENT,EFF LAB,2/17/1995,2,1995,8:00:00 AM,GRAB,AMMONIA AS N,,25.2,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11605-12,WWTP EFFLUENT,EFF LAB,2/17/1995,2,1995,12:00:00 PM,GRAB,AMMONIA AS N,,24.8,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11815-2,WWTP EFFLUENT,EFF EPS,2/20/1995,2,1995,12:00:00 PM,CF01,AMMONIA AS N,,26.6,mg/L,0.3,EPA 350.2,Split from L11814-1
L11816-4,WWTP EFFLUENT,EFF LAB,2/21/1995,2,1995,4:00:00 AM,GRAB,AMMONIA AS N,,22.4,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11816-2,WWTP EFFLUENT,EFF LAB,2/21/1995,2,1995,8:00:00 AM,GRAB,AMMONIA AS N,,23.2,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11867-2,WWTP EFFLUENT,EFF EPS,2/21/1995,2,1995,12:00:00 PM,CF01,AMMONIA AS N,,24.4,mg/L,0.3,EPA 350.2,Split from L-----
L11816-3,WWTP EFFLUENT,EFF LAB,2/21/1995,2,1995,12:00:00 PM,GRAB,AMMONIA AS N,,22.3,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11816-7,WWTP EFFLUENT,EFF LAB,2/22/1995,2,1995,4:00:00 AM,GRAB,AMMONIA AS N,,23.8,mg/L,0.3,EPA 350.2,
L11816-5,WWTP EFFLUENT,EFF LAB,2/22/1995,2,1995,8:00:00 AM,GRAB,AMMONIA AS N,,24.6,mg/L,0.3,EPA 350.2,
L11816-6,WWTP EFFLUENT,EFF LAB,2/22/1995,2,1995,12:00:00 PM,GRAB,AMMONIA AS N,,23.4,mg/L,0.3,EPA 350.2,
L11816-10,WWTP EFFLUENT,EFF LAB,2/23/1995,2,1995,4:00:00 AM,GRAB,AMMONIA AS N,,24.5,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11816-8,WWTP EFFLUENT,EFF LAB,2/23/1995,2,1995,8:00:00 AM,GRAB,AMMONIA AS N,,24.8,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11816-9,WWTP EFFLUENT,EFF LAB,2/23/1995,2,1995,12:00:00 PM,GRAB,AMMONIA AS N,,24.6,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11816-13,WWTP EFFLUENT,EFF LAB,2/24/1995,2,1995,4:00:00 AM,GRAB,AMMONIA AS N,,26.5,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11816-11,WWTP EFFLUENT,EFF LAB,2/24/1995,2,1995,8:00:00 AM,GRAB,AMMONIA AS N,,26.5,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L11816-12,WWTP EFFLUENT,EFF LAB,2/24/1995,2,1995,12:00:00 PM,GRAB,AMMONIA AS N,,26.2,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L12188-2,WWTP EFFLUENT,EFF EPS,2/27/1995,2,1995,12:00:00 PM,CF01,AMMONIA AS N,,28.4,mg/L,0.3,EPA 350.2,Split from L12187-2
L12256-2,WWTP EFFLUENT,EFF EPS,3/1/1995,3,1995,12:00:00 PM,CF01,AMMONIA AS N,,28.1,mg/L,0.3,EPA 350.2,Split from L12257-2
L12323-4,WWTP EFFLUENT,EFF LAB,3/6/1995,3,1995,4:00:00 AM,GRAB,AMMONIA AS N,,23.5,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
L12323-2,WWTP EFFLUENT,EFF LAB,3/6/1995,3,1995,8:00:00 AM,GRAB,AMMONIA AS N,,23.8,mg/L,0.3,EPA 350.2,::Changed receivedate=collectdate + 1 hr.
