Date,Month,Year,Flow,TSS ,NH3 ,NO3 ,NO2,PO4 ,OrthoP,OrgN
3/31/1970,3,1970,74.5,43,21.1,,,,,7.9
4/30/1970,4,1970,70.9,37,22.8,,,,,6.8
5/31/1970,5,1970,67,26,23.8,,,,,5.8
6/30/1970,6,1970,68.4,25,21.7,,,,,5.4
7/31/1970,7,1970,78,38,12.4,,,,,5.8
8/31/1970,8,1970,84.9,45,6.4,,,,,4.1
9/30/1970,9,1970,84.4,64,17.9,,,,,
10/31/1970,10,1970,71.5,39,21.9,,,,,
11/30/1970,11,1970,75.2,34,23.8,,,,,
12/31/1970,12,1970,77.8,34,26.6,,,,,
1/31/1971,1,1971,76.4,41,26.1,,,,,7.5
2/28/1971,2,1971,75.3,25,26.3,,,,,6.3
3/31/1971,3,1971,78.1,24,24.7,,,,,5.2
4/30/1971,4,1971,79.3,82,24.7,,,,,8.1
5/31/1971,5,1971,77.6,50,23.1,,,,,7.3
6/30/1971,6,1971,77.2,31,24,,,,,5.8
7/31/1971,7,1971,84,83,18.2,,,,,10.2
8/31/1971,8,1971,97.6,79,12,,,,,8.8
9/30/1971,9,1971,101.9,106,11.8,,,,,5.1
10/31/1971,10,1971,82.7,55,21.6,,,,,7.4
11/30/1971,11,1971,71.4,54,25.2,,,,,8.2
12/31/1971,12,1971,77.4,59,26.9,,,,,8.6
1/31/1972,1,1972,76.7,64,29.7,,,,,11.1
2/29/1972,2,1972,76.3,40,31.6,,,,,7.6
3/31/1972,3,1972,79.3,36,29.5,,,,,6.8
4/30/1972,4,1972,78.3,45,27.3,,,,,6.9
5/31/1972,5,1972,75.4,46,27.4,,,,,6.9
6/30/1972,6,1972,81.5,70,24.9,,,,,9.6
7/31/1972,7,1972,83.7,94,22.2,,,,,11.2
8/31/1972,8,1972,97,187,10.4,,,,,18.8
9/30/1972,9,1972,93.7,122,19.1,,,,,12.4
10/31/1972,10,1972,84.8,51,23.4,,,,,7.6
11/30/1972,11,1972,84.4,39,26.4,,,,,6.4
12/31/1972,12,1972,77.9,38,27.8,,,,,7.0
1/31/1973,1,1973,85.3,48,27.5,,,,,7.6
2/28/1973,2,1973,88.7,56,25.1,,,,,8.5
3/31/1973,3,1973,81.6,31,12.9,,,,,3.4
4/30/1973,4,1973,75.6,63,10.9,,,,,4.4
5/31/1973,5,1973,73.4,68,10.8,,,,,4.3
6/30/1973,6,1973,81.5,26,20.6,,,,,6.3
7/31/1973,7,1973,86.6,33,18.5,,,,,6.3
8/31/1973,8,1973,94.9,70,18.5,,,,,6.3
9/30/1973,9,1973,98.3,124,8.1,,,,,12.2
10/31/1973,10,1973,92.1,67,9,,,,,4.4
11/30/1973,11,1973,76.7,39,23.8,,,,,5.3
12/31/1973,12,1973,79,41,12.1,,,,,2.6
1/31/1974,1,1974,77.2,39,22.8,,,22,,5.7
2/28/1974,2,1974,75.8,39,27.6,,,25,,7.0
3/31/1974,3,1974,81.5,36,26.7,,,25,,6.1
4/30/1974,4,1974,82.4,24,23.6,,,23,,4.7
5/31/1974,5,1974,75.7,20,20.7,,,22,,3.9
6/30/1974,6,1974,79.7,33,19.2,,,26,,7.2
7/31/1974,7,1974,85.8,48,19.9,,,12,,5.1
8/31/1974,8,1974,96.7,94,4.3,,,17,,10.0
9/30/1974,9,1974,96.5,148,8.5,,,17,,13.5
10/31/1974,10,1974,80.8,30,20.8,,,15,,5.8
11/30/1974,11,1974,76.1,25,23.5,,,24,,4.4
12/31/1974,12,1974,76.9,25,24.2,,,27,,5.4
1/31/1975,1,1975,82.5,34,26.8,1,,28.5,,6.8
2/28/1975,2,1975,84,24,22.1,1.3,2.3,24.2,,4.8
3/31/1975,3,1975,92.9,20,19.6,1.2,,26,,5.0
4/30/1975,4,1975,90.5,24,22.2,1.1,0.9,24.5,,5.1
5/31/1975,5,1975,87.1,21,20.5,2.1,1.1,25,,4.5
6/30/1975,6,1975,82.9,22,19.1,2.2,1.7,20.5,,4.5
7/31/1975,7,1975,91,30,12,2.4,1.2,20.5,,4.9
8/31/1975,8,1975,109.1,27,7,0.8,0.4,8.5,,4.7
9/30/1975,9,1975,119.8,28,14.6,0.5,1,10.7,,6.6
10/31/1975,10,1975,100.7,20,11.8,4.2,2.7,24.3,,5.4
11/30/1975,11,1975,84.2,19,18.5,2.2,1.5,25,,5.2
12/31/1975,12,1975,84,18,20.6,1.2,1.4,30.2,,4.8
1/31/1976,1,1976,85.7,26,18.6,2.6,1.3,26,,5.7
2/29/1976,2,1976,80.6,24,18.6,4.7,0.8,22.7,,4.1
3/31/1976,3,1976,89.2,21,17.4,5,1,22.5,,3.8
4/30/1976,4,1976,84.1,17,15.6,3.4,1.6,25.5,,3.6
5/31/1976,5,1976,84.7,19,18,2.9,3.8,25,,3.8
6/30/1976,6,1976,86.5,18,8.7,8.1,4.1,27.8,,4.1
7/31/1976,7,1976,88.1,21,8.1,8.7,1.6,25.8,,3.9
8/31/1976,8,1976,106.5,39,8.1,2.5,1,9,,5.0
9/30/1976,9,1976,105.1,32,8.7,6.1,1.6,25.1,,4.7
10/31/1976,10,1976,88,20,7.5,7.3,1.4,26.3,,3.2
11/30/1976,11,1976,84.1,30,14.4,5,0.8,20.2,,4.1
