,NO3 mg/L N,Time
735,4.9,2012-12-04 09:22:00
736,1.6,2012-12-11 08:57:00
737,1.5,2012-12-11 09:09:00
738,1.5,2012-12-11 09:19:00
739,1.5,2012-12-11 09:31:00
740,1.6,2012-12-11 09:33:00
741,4.8,2012-12-11 10:36:00
742,1.5,2012-12-18 08:42:00
743,1.6,2012-12-18 08:57:00
744,1.6,2012-12-18 09:04:00
745,1.6,2012-12-18 09:08:00
746,1.5,2012-12-18 09:14:00
747,4.8,2012-12-18 09:51:00
748,1.5,2012-12-26 08:33:00
749,1.5,2012-12-26 08:44:00
750,1.6,2012-12-26 08:52:00
751,1.5,2012-12-26 08:56:00
752,1.6,2012-12-26 09:03:00
753,5.4,2012-12-26 09:47:00
754,4.8,2013-01-03 06:59:00
755,1.8,2013-01-03 08:36:00
756,1.8,2013-01-03 08:54:00
757,1.8,2013-01-03 09:06:00
758,1.8,2013-01-03 09:14:00
759,1.8,2013-01-03 09:38:00
760,5.0,2013-01-08 07:40:00
761,1.8,2013-01-08 08:57:00
762,2.1,2013-01-08 09:24:00
763,2.0,2013-01-08 09:41:00
764,1.9,2013-01-08 09:54:00
765,2.0,2013-01-08 10:14:00
766,5.2,2013-01-15 08:25:00
767,1.6,2013-01-15 09:54:00
768,2.0,2013-01-15 10:15:00
769,2.0,2013-01-15 10:29:00
770,1.9,2013-01-15 10:50:00
771,1.9,2013-01-15 11:02:00
772,4.8,2013-01-22 07:35:00
773,2.0,2013-01-22 09:06:00
774,1.9,2013-01-22 09:34:00
775,1.8,2013-01-22 09:38:00
776,1.8,2013-01-22 09:47:00
777,1.7,2013-01-22 09:51:00
778,,2014-06-04 10:30:00
779,4.8,2015-01-06 22:30:00
780,7.0,2015-03-04 13:00:00
781,6.6,2015-05-20 08:25:00
782,,2015-07-07 08:15:00
783,1.4,2015-07-07 10:19:00
784,7.5,2015-07-07 11:19:00
785,1.1,2015-07-14 10:16:00
786,8.0,2015-07-15 11:50:00
787,6.9,2015-09-10 11:00:00
788,6.5,2015-11-10 12:09:00
789,6.26,2016-08-01 10:30:00
790,0.94,2016-08-01 10:30:00
791,,2016-08-01 10:30:00
