,time,flow
1880,2013-07-17,17214.583333333332
1881,2013-07-18,17179.166666666668
1882,2013-07-19,17250.0
1883,2013-07-20,17311.25
1884,2013-07-21,17142.395833333332
1885,2013-07-22,17204.583333333332
1886,2013-07-23,17686.458333333332
1887,2013-07-24,18044.791666666668
1888,2013-07-25,17886.458333333332
1889,2013-07-26,17726.041666666668
1890,2013-07-27,17541.666666666668
1891,2013-07-28,17336.458333333332
1892,2013-07-29,17044.791666666668
1893,2013-07-30,17662.5
1894,2013-07-31,17179.166666666668
1895,2013-08-01,16810.416666666668
1896,2013-08-02,17127.083333333332
1897,2013-08-03,17013.541666666668
1898,2013-08-04,16812.1875
1899,2013-08-05,16822.916666666668
1900,2013-08-06,16847.916666666668
1901,2013-08-07,16593.75
1902,2013-08-08,16728.125
1903,2013-08-09,16555.208333333332
1904,2013-08-10,16317.708333333334
1905,2013-08-11,17166.666666666668
1906,2013-08-12,17134.375
1907,2013-08-13,17433.333333333332
1908,2013-08-14,17540.625
1909,2013-08-15,17513.541666666668
1910,2013-08-16,17797.916666666668
1911,2013-08-17,18063.541666666668
1912,2013-08-18,18407.291666666668
1913,2013-08-19,18371.875
1914,2013-08-20,17718.75
1915,2013-08-21,17629.166666666668
1916,2013-08-22,18096.875
1917,2013-08-23,18427.083333333332
1918,2013-08-24,18658.333333333332
1919,2013-08-25,18923.958333333332
1920,2013-08-26,18718.75
1921,2013-08-27,18756.25
1922,2013-08-28,18340.625
1923,2013-08-29,17934.375
1924,2013-08-30,17885.416666666668
1925,2013-08-31,17692.708333333332
1926,2013-09-01,17128.125
1927,2013-09-02,16870.833333333332
1928,2013-09-03,16722.916666666668
1929,2013-09-04,16520.833333333332
1930,2013-09-05,16646.875
1931,2013-09-06,16761.458333333332
1932,2013-09-07,16740.625
1933,2013-09-08,16477.083333333332
1934,2013-09-09,16227.083333333334
1935,2013-09-10,15392.708333333334
1936,2013-09-11,14822.916666666666
1937,2013-09-12,14289.583333333334
1938,2013-09-13,13461.041666666666
1939,2013-09-14,12876.145833333334
1940,2013-09-15,12870.0
1941,2013-09-16,13373.125
1942,2013-09-17,12936.979166666666
1943,2013-09-18,12895.833333333334
1944,2013-09-19,12244.583333333334
1945,2013-09-20,11357.5
1946,2013-09-21,11049.166666666666
1947,2013-09-22,11376.145833333334
1948,2013-09-23,11469.479166666666
1949,2013-09-24,11412.1875
1950,2013-09-25,10918.125
1951,2013-09-26,11040.416666666666
1952,2013-09-27,10682.1875
1953,2013-09-28,10600.729166666666
1954,2013-09-29,10589.375
1955,2013-09-30,10509.0625
1956,2013-10-01,10078.020833333334
1957,2013-10-02,9720.833333333334
1958,2013-10-03,9774.0625
1959,2013-10-04,9499.479166666666
1960,2013-10-05,8871.875
1961,2013-10-06,8865.833333333334
1962,2013-10-07,8657.833333333334
1963,2013-10-08,8714.325520833334
1964,2013-10-09,8279.685416666667
1965,2013-10-10,8443.340624999999
1966,2013-10-11,8163.78125
1967,2013-10-12,8030.90625
1968,2013-10-13,8246.5625
1969,2013-10-14,8039.791666666667
1970,2013-10-15,8087.1875
1971,2013-10-16,8058.71875
1972,2013-10-17,7755.348958333333
1973,2013-10-18,7641.029166666667
1974,2013-10-19,7642.327083333334
1975,2013-10-20,7165.352083333334
1976,2013-10-21,6906.416666666667
1977,2013-10-22,6972.114583333333
1978,2013-10-23,6802.6565625
1979,2013-10-24,6650.760416666667
1980,2013-10-25,7004.5125
1981,2013-10-26,6718.648958333334
1982,2013-10-27,5733.163541666666
1983,2013-10-28,6737.468541666666
1984,2013-10-29,7632.78125
1985,2013-10-30,7924.993333333335
1986,2013-10-31,8628.84375
1987,2013-11-01,8821.21875
1988,2013-11-02,9073.645833333334
1989,2013-11-03,10026.739583333334
1990,2013-11-04,9923.958333333334
1991,2013-11-05,9891.25
1992,2013-11-06,9421.211458333333
1993,2013-11-07,9004.010416666666
1994,2013-11-08,9042.786458333334
1995,2013-11-09,8811.25
1996,2013-11-10,8533.75
1997,2013-11-11,8565.3125
1998,2013-11-12,8362.958333333334
1999,2013-11-13,8398.941041666667
2000,2013-11-14,8365.401041666666
2001,2013-11-15,8706.90625
2002,2013-11-16,8381.25
2003,2013-11-17,8555.333333333334
2004,2013-11-18,8354.637499999999
2005,2013-11-19,8287.697916666666
2006,2013-11-20,8250.208333333334
2007,2013-11-21,9103.031666666668
2008,2013-11-22,9647.8125
2009,2013-11-23,9045.729166666666
2010,2013-11-24,9105.104166666666
2011,2013-11-25,8884.270833333334
2012,2013-11-26,8478.958333333334
2013,2013-11-27,8033.020833333333
2014,2013-11-28,7736.742708333334
2015,2013-11-29,8203.3246875
2016,2013-11-30,8232.878437500001
2017,2013-12-01,8141.005
2018,2013-12-02,8185.899583333333
2019,2013-12-03,8125.927083333333
2020,2013-12-04,8940.301458333333
2021,2013-12-05,8299.426041666668
2022,2013-12-06,8035.451354166667
2023,2013-12-07,7629.633333333334
2024,2013-12-08,8521.354166666666
2025,2013-12-09,8368.333333333334
2026,2013-12-10,8303.604166666666
2027,2013-12-11,7997.645833333333
2028,2013-12-12,8104.236562499999
2029,2013-12-13,8259.147916666667
2030,2013-12-14,8544.316041666667
2031,2013-12-15,8524.9375
2032,2013-12-16,8419.885416666666
2033,2013-12-17,8351.15625
2034,2013-12-18,8232.422916666666
2035,2013-12-19,8633.864583333334
2036,2013-12-20,8642.395833333334
2037,2013-12-21,8285.354166666666
2038,2013-12-22,8375.208333333334
2039,2013-12-23,8322.8125
2040,2013-12-24,8098.541666666667
2041,2013-12-25,8192.78125
2042,2013-12-26,7870.541666666667
2043,2013-12-27,7814.079687500001
2044,2013-12-28,7611.40625
2045,2013-12-29,7993.354166666667
2046,2013-12-30,7985.395833333333
2047,2013-12-31,7994.166666666667
2048,2014-01-01,8264.191041666667
2049,2014-01-02,8322.9
2050,2014-01-03,8002.25
2051,2014-01-04,7699.905208333334
2052,2014-01-05,7611.905104166667
2053,2014-01-06,7489.395833333333
2054,2014-01-07,7196.482291666667
2055,2014-01-08,6936.666041666667
2056,2014-01-09,6463.416666666667
2057,2014-01-10,6438.221875
2058,2014-01-11,5979.083333333333
2059,2014-01-12,6666.822916666667
2060,2014-01-13,6602.060416666667
2061,2014-01-14,6397.177083333333
2062,2014-01-15,6616.854166666667
2063,2014-01-16,6337.993333333333
2064,2014-01-17,6263.223958333333
2065,2014-01-18,5865.248958333334
2066,2014-01-19,5706.579270833333
2067,2014-01-20,5648.367708333334
2068,2014-01-21,5664.635416666667
2069,2014-01-22,5213.1111458333335
2070,2014-01-23,5082.573958333333
2071,2014-01-24,5118.4375
2072,2014-01-25,5153.28125
2073,2014-01-26,4911.864583333333
2074,2014-01-27,5179.058333333333
2075,2014-01-28,5772.6170833333335
2076,2014-01-29,5880.877187499999
2077,2014-01-30,6132.34375
2078,2014-01-31,6919.708333333333
2079,2014-02-01,7229.739583333333
2080,2014-02-02,6632.021874999999
2081,2014-02-03,6234.276041666667
2082,2014-02-04,6311.809895833333
2083,2014-02-05,6299.820729166667
2084,2014-02-06,6493.930208333334
2085,2014-02-07,7014.661145833333
2086,2014-02-08,7620.583333333333
2087,2014-02-09,11116.145833333334
2088,2014-02-10,17145.833333333332
2089,2014-02-11,21852.083333333332
2090,2014-02-12,24409.375
2091,2014-02-13,21871.875
2092,2014-02-14,16977.083333333332
2093,2014-02-15,13830.729166666666
2094,2014-02-16,12621.041666666666
2095,2014-02-17,11964.6875
2096,2014-02-18,11049.0625
2097,2014-02-19,10251.666666666666
2098,2014-02-20,9911.875
2099,2014-02-21,9055.104166666666
2100,2014-02-22,8434.518229166666
2101,2014-02-23,7455.252083333333
2102,2014-02-24,7247.46875
2103,2014-02-25,6865.104166666667
2104,2014-02-26,7321.135416666667
2105,2014-02-27,7370.368854166666
2106,2014-02-28,8577.3125
2107,2014-03-01,12254.802083333334
