,Time,N+N mg/L N
0,2015-01-21,1.538
1,2015-01-22,1.6300000000000006
2,2015-01-23,1.7187096774193547
3,2015-01-24,1.7784000000000004
4,2015-01-25,1.742857142857142
5,2015-01-26,1.7365
6,2015-01-27,1.9790909090909081
7,2015-01-28,2.0403571428571428
8,2015-01-29,2.075365853658537
9,2015-01-30,1.91054054054054
10,2015-01-31,2.03904761904762
11,2015-02-01,1.9996470588235293
12,2015-02-04,1.893
13,2015-02-05,1.9088636363636355
14,2015-02-06,1.7195833333333335
15,2015-02-07,1.5528571428571427
16,2015-02-08,1.6246938775510207
17,2015-02-09,1.9456140350877194
18,2015-02-10,1.898611111111111
19,2015-02-11,1.863142857142856
20,2015-02-12,1.8113513513513513
21,2015-02-13,1.5797916666666676
22,2015-02-14,1.5223170731707318
23,2015-02-15,1.4689189189189198
24,2015-02-16,1.432564102564103
25,2015-02-17,1.494193548387097
26,2015-02-18,1.4519736842105258
27,2015-02-19,1.3782812499999992
28,2015-02-20,1.3090540540540543
29,2015-02-21,1.3199999999999996
30,2015-02-22,1.4131250000000004
31,2015-02-23,1.4425000000000008
32,2015-02-24,1.4460606060606063
33,2015-02-25,1.4864999999999997
34,2015-02-26,1.4596491228070176
35,2015-02-27,1.45
36,2015-02-28,1.543181818181818
37,2015-03-01,1.6700000000000013
38,2015-03-02,1.6431428571428561
39,2015-03-03,1.6143243243243253
40,2015-03-04,1.339146341463415
41,2015-03-05,1.1825925925925915
42,2015-03-06,1.037564102564103
43,2015-03-07,0.9894444444444441
44,2015-03-08,1.1319767441860458
45,2015-03-09,1.2801408450704228
46,2015-03-10,1.2251388888888883
47,2015-03-11,1.143670886075949
48,2015-03-12,1.0168000000000006
49,2015-03-13,1.0717567567567567
50,2015-03-14,1.016153846153846
51,2015-03-15,1.0404705882352934
52,2015-03-16,1.1159302325581388
53,2015-03-17,1.131645569620253
54,2015-03-18,1.0911494252873566
55,2015-03-19,1.0190909090909086
56,2015-03-20,1.00974025974026
57,2015-03-21,1.12984126984127
58,2015-03-22,1.0412499999999998
59,2015-03-23,1.0849333333333329
60,2015-03-24,1.1041772151898739
61,2015-03-25,1.0056790123456791
62,2015-03-26,0.6994999999999999
63,2015-03-27,0.4181159420289854
64,2015-03-28,0.385081967213115
65,2015-03-29,0.3375999999999999
66,2015-03-30,0.26099999999999995
67,2015-03-31,0.3017021276595747
68,2015-04-01,0.3349180327868852
69,2015-04-02,0.3842553191489363
70,2015-04-03,0.5157142857142859
71,2015-04-04,0.6023636363636367
72,2015-04-05,0.6778205128205129
73,2015-04-06,0.6184615384615385
74,2015-04-07,0.3525925925925921
75,2015-04-08,0.37054054054054053
76,2015-04-09,0.42736842105263156
77,2015-04-10,0.39171428571428546
78,2015-04-11,0.3978873239436617
79,2015-04-12,0.39253731343283554
80,2015-04-13,0.3342028985507245
81,2015-04-14,0.2726315789473682
82,2015-04-15,0.2853448275862067
83,2015-04-16,0.30677419354838686
84,2015-04-17,0.3176470588235296
85,2015-04-18,0.376338028169014
86,2015-04-19,0.45676923076923076
87,2015-04-20,0.49552238805970145
88,2015-04-21,0.5123333333333333
89,2015-04-22,0.5547619047619045
90,2015-04-23,0.579041095890411
91,2015-04-24,0.6617142857142856
92,2015-04-25,0.7694642857142859
93,2015-04-26,0.848630136986302
94,2015-04-27,0.8458108108108113
95,2015-04-28,0.8055405405405397
96,2015-04-29,0.7959459459459455
97,2015-04-30,0.8058536585365853
98,2015-05-01,0.7977108433734937
99,2015-05-02,0.7992682926829271
100,2015-05-03,0.7499999999999997
101,2015-05-04,0.745
102,2015-05-05,0.76
103,2015-05-06,0.7102222222222222
104,2015-05-07,0.7640579710144922
105,2015-05-08,0.73
106,2015-05-28,1.0915
107,2015-05-29,1.0715957446808517
108,2015-05-30,0.9446808510638295
109,2015-05-31,0.43531250000000016
110,2015-06-01,0.44802083333333326
111,2015-06-02,0.5962500000000002
112,2015-06-03,0.46468750000000014
113,2015-06-04,0.3958333333333335
114,2015-06-05,0.3746875
115,2015-06-06,0.42791666666666667
116,2015-06-07,0.686666666666667
117,2015-06-08,0.4398958333333333
118,2015-06-09,0.6069791666666667
119,2015-06-10,0.5117391304347826
