,Date,flow mgd,NH4 mg/L N,NO3 mg/L N,NO2 mg/L N,TKN mg/L N,TP mg/L P,PO4 mg/L P,NH4_kgd,NO3_kgd,NO2_kgd,TKN_kgd,TP_kgd,PO4_kgd
239,8/28/2001,157.5,21.0,,,,,,12517.233,,,,,
240,8/29/2001,160.6,20.0,,,,,,12156.667159999999,,,,,
241,8/30/2001,156.5,,,,,,,,,,,,
242,8/31/2001,160.2,,,,,,,,,,,,
243,9/1/2001,155.0,,,,,,,,,,,,
244,9/2/2001,149.5,,,,,,,,,,,,
245,9/3/2001,156.5,,0.3,0.1,25,2.6,,,171.74093290000002,82.90941589,14805.252840000001,1539.746295,
246,9/4/2001,157.0,19.0,,,,,,11288.71042,,,,,
247,9/5/2001,158.2,21.0,,,,,,12575.11342,,,,,
248,9/6/2001,157.2,,,,,,,,,,,,
249,9/7/2001,157.3,,,,,,,,,,,,
250,9/8/2001,156.6,,,,,,,,,,,,
251,9/9/2001,156.3,,,,,,,,,,,,
252,9/10/2001,155.7,,0.4,0.1,,,,,212.21074049999999,70.73691349,,,
253,9/11/2001,160.4,20.0,,,,,,12144.54339,,,,,
254,9/12/2001,158.7,21.0,,,,,,12610.57791,,,,,
255,9/13/2001,156.3,,,,,,,,,,,,
256,9/14/2001,154.4,,,,,,,,,,,,
257,9/15/2001,155.5,,,,,,,,,,,,
258,9/16/2001,153.0,,,,,,,,,,,,
259,9/17/2001,155.6,,,,,,,,,,,,
260,9/18/2001,166.5,20.0,,,,,,12602.68686,,,,,
261,9/19/2001,157.4,18.0,0.1,0.1,,,,10722.009170000001,59.5667176,59.5667176,,,
262,9/20/2001,157.9,,,,,,,,,,,,
263,9/21/2001,155.3,,,,,,,,,,,,
264,9/22/2001,153.7,,,,,,,,,,,,
265,9/23/2001,153.5,,,,,,,,,,,,
266,9/24/2001,158.2,,0.1,0.1,,,,,59.86742194,59.86742194,,,
267,9/25/2001,185.1,20.0,,,,,,14015.12741,,,,,
268,9/26/2001,156.6,18.0,,,,,,10667.24648,,,,,
269,9/27/2001,159.2,,,,,,,,,,,,
270,9/28/2001,156.9,,,,,,,,,,,,
271,9/29/2001,156.4,,,,,,,,,,,,
272,9/30/2001,154.4,,,,,,,,,,,,
273,10/1/2001,158.0,,0.1,0.1,22,2.8,,,59.80933489,59.80933489,13158.053679999999,1674.661377,
274,10/2/2001,156.6,20.0,,,,,,11852.04744,,,,,
275,10/3/2001,159.2,20.0,,,,,,12050.26639,,,,,
276,10/4/2001,144.1,,,,,,,,,,,,
277,10/5/2001,152.9,,,,,,,,,,,,
278,10/6/2001,149.4,,,,,,,,,,,,
279,10/7/2001,140.9,,,,,,,,,,,,
280,10/8/2001,163.2,,0.1,0.12,,,,,61.76170711,74.11404853,,,
281,10/9/2001,153.8,19.0,,,,,,11060.11722,,,,,
282,10/10/2001,154.1,20.0,,,,,,11667.809879999999,,,,,
283,10/11/2001,144.4,,,,,,,,,,,,
284,10/12/2001,157.4,,,,,,,,,,,,
285,10/13/2001,143.6,,,,,,,,,,,,
286,10/14/2001,135.6,,,,,,,,,,,,
287,10/15/2001,111.3,,0.1,0.1,,,,,42.13587017,42.13587017,,,
288,10/16/2001,148.9,20.0,,,,,,11270.73611,,,,,
289,10/17/2001,189.3,21.0,,,,,,15043.50365,,,,,
290,10/18/2001,160.3,,,,,,,,,,,,
291,10/19/2001,153.2,,,,,,,,,,,,
292,10/20/2001,149.2,,,,,,,,,,,,
293,10/21/2001,153.0,,,,,,,,,,,,
294,10/22/2001,161.7,,0.3,0.1,,,,,201.9539711,79.55762499,,,
295,10/23/2001,197.7,21.0,,,,,,15712.32427,,,,,
296,10/24/2001,160.8,21.0,,,,,,12781.18467,,,,,
297,10/25/2001,156.3,,,,,,,,,,,,
298,10/26/2001,141.4,,,,,,,,,,,,
299,10/27/2001,136.8,,,,,,,,,,,,
300,10/28/2001,179.0,,,,,,,,,,,,
301,10/29/2001,177.5,,0.1,0.1,,,,,67.18455086,67.18455086,,,
302,10/30/2001,159.1,22.0,,,,,,13246.104290000001,,,,,
303,10/31/2001,168.0,21.0,,,,,,13354.54825,,,,,
304,11/1/2001,168.4,,,,,,,,,,,,
305,11/2/2001,152.7,,,,,,,,,,,,
306,11/3/2001,142.3,,,,,,,,,,,,
307,11/4/2001,152.5,,,,,,,,,,,,
308,11/5/2001,176.2,,0.1,0.1,,2.6,,,66.67908826,66.67908826,,1733.656295,
309,11/6/2001,137.5,23.0,,,,,,11971.04817,,,,,
310,11/7/2001,166.8,22.0,,,,,,13887.44225,,,,,
311,11/8/2001,163.1,,,,,,,,,,,,
312,11/9/2001,165.3,,,,,,,,,,,,
313,11/10/2001,170.1,,,,,,,,,,,,
314,11/11/2001,153.4,,,,,,,,,,,,
315,11/12/2001,170.1,,,,,,,,,,,,
316,11/13/2001,228.3,17.0,0.1,0.1,21,,,14687.35851,86.39622655,86.39622655,18143.207580000002,,
317,11/14/2001,163.8,19.0,,,,,,11780.84869,,,,,
318,11/15/2001,160.2,,,,,,,,,,,,
319,11/16/2001,161.0,,,,,,,,,,,,
320,11/17/2001,161.4,,,,,,,,,,,,
321,11/18/2001,160.3,21.0,0.1,0.1,,,,12741.87035,60.6755731,60.6755731,,,
322,11/19/2001,161.3,21.0,,,,,,12822.69103,,,,,
323,11/20/2001,155.9,,,,,,,,,,,,
324,11/21/2001,169.5,,,,,,,,,,,,
325,11/22/2001,168.2,,,,,,,,,,,,
326,11/23/2001,148.0,,,,,,,,,,,,
327,11/24/2001,207.5,,,,,,,,,,,,
328,11/25/2001,179.0,,,,,,,,,,,,
329,11/26/2001,164.3,,0.1,0.1,,,,,62.17779618,62.17779618,,,
330,11/27/2001,157.9,23.0,,,,,,13748.24646,,,,,
331,11/28/2001,149.0,22.0,,,,,,12407.42884,,,,,
332,11/29/2001,175.7,,,,,,,,,,,,
333,11/30/2001,179.3,,,,,,,,,,,,
334,12/1/2001,213.8,,,,,,,,,,,,
335,12/2/2001,253.5,,,,,,,,,,,,
336,12/3/2001,203.7,,0.2,0.4,17,1.5,,,123.38330249999999,339.30408189999997,13109.47589,1156.718461,
337,12/4/2001,145.4,20.0,,,,,,11004.15815,,,,,
338,12/5/2001,206.8,22.0,,,,1.7,,17218.087030000002,,,,1330.488543,
339,12/6/2001,161.3,,,,,,,,,,,,
340,12/7/2001,159.5,,,,,,,,,,,,
341,12/8/2001,159.3,,,,,,,,,,,,
