,Time,flow mgd
620,2012-03-12,5.7165
621,2012-03-13,5.6445
622,2012-03-14,5.57
623,2012-03-15,5.734500000000001
624,2012-03-16,5.596
625,2012-03-17,6.0285
626,2012-03-18,6.3975
627,2012-03-19,5.619999999999999
628,2012-03-20,3.9822499999999996
629,2012-03-21,4.18475
630,2012-03-22,4.561
631,2012-03-23,4.829999999999999
632,2012-03-24,5.5135000000000005
633,2012-03-25,6.278499999999999
634,2012-03-26,5.9955
635,2012-03-27,5.7105
636,2012-03-28,5.799
637,2012-03-29,3.1431999999999998
638,2012-03-30,2.1498
639,2012-03-31,4.136333333333333
640,2012-04-01,3.9386666666666668
641,2012-04-02,4.265
642,2012-04-03,4.318333333333333
643,2012-04-04,4.765333333333333
644,2012-04-05,4.287333333333334
645,2012-04-06,2.9292499999999997
646,2012-04-07,5.6645
647,2012-04-08,6.0095
648,2012-04-09,5.9835
649,2012-04-10,5.854000000000001
650,2012-04-11,6.0755
651,2012-04-12,6.2330000000000005
652,2012-04-13,6.1945
653,2012-04-14,6.452
654,2012-04-15,6.181000000000001
655,2012-04-16,5.972
656,2012-04-17,6.013999999999999
657,2012-04-18,5.8815
658,2012-04-19,5.9025
659,2012-04-20,6.038500000000001
660,2012-04-21,6.3165000000000004
661,2012-04-22,6.3100000000000005
662,2012-04-23,5.8285
663,2012-04-24,5.85
664,2012-04-25,5.7940000000000005
665,2012-04-26,4.274666666666666
666,2012-04-27,3.5740000000000003
667,2012-04-28,3.27
668,2012-04-29,3.98325
669,2012-04-30,3.518
670,2012-05-01,3.412
671,2012-05-02,3.980333333333333
672,2012-05-03,3.763
673,2012-05-04,4.530333333333334
674,2012-05-05,3.356
675,2012-05-06,4.854
676,2012-05-07,4.539666666666666
677,2012-05-08,4.100333333333333
678,2012-05-09,3.9269999999999996
679,2012-05-10,3.379
680,2012-05-11,3.83975
681,2012-05-12,4.456666666666667
682,2012-05-13,4.537
683,2012-05-14,6.5495
684,2012-05-15,6.6095
685,2012-05-16,6.425
686,2012-05-18,6.3195
687,2012-05-19,6.496499999999999
688,2012-05-20,6.1005
689,2012-05-21,6.503
690,2012-05-22,6.5920000000000005
691,2012-05-23,6.516500000000001
692,2012-05-24,6.307499999999999
693,2012-05-25,5.9535
694,2012-05-26,5.7455
695,2012-05-27,5.992999999999999
696,2012-05-28,6.282
697,2012-05-29,5.977
698,2012-05-30,6.0625
699,2012-05-31,6.0085
700,2012-06-01,4.944333333333334
701,2012-06-02,5.9125
702,2012-06-03,5.888
703,2012-06-04,6.044
704,2012-06-05,6.1365
705,2012-06-06,5.971
706,2012-06-07,6.054499999999999
707,2012-06-08,6.0645
708,2012-06-09,6.51
709,2012-06-10,6.52
710,2012-06-11,6.1495
711,2012-06-12,5.8895
712,2012-06-13,3.908333333333333
713,2012-06-14,3.8356666666666666
714,2012-06-15,3.6053333333333337
715,2012-06-16,3.89775
716,2012-06-17,4.212666666666667
717,2012-06-18,3.0412500000000002
718,2012-06-19,5.710999999999999
719,2012-06-20,4.81
720,2012-06-21,4.870666666666667
721,2012-06-22,4.840333333333333
722,2012-06-23,4.924
723,2012-06-24,4.77
724,2012-06-25,3.7623333333333338
725,2012-06-26,4.786333333333334
726,2012-06-27,4.19325
727,2012-06-28,4.69
728,2012-06-29,4.8933333333333335
729,2012-06-30,4.5696666666666665
730,2012-07-01,5.049333333333333
731,2012-07-02,5.278333333333333
732,2012-07-03,3.578666666666667
733,2012-07-04,5.4895
734,2012-07-05,6.361000000000001
735,2012-07-06,6.339499999999999
736,2012-07-07,4.4639999999999995
737,2012-07-08,6.622999999999999
738,2012-07-09,6.33
739,2012-07-10,3.9444999999999997
740,2012-07-11,3.4065000000000003
741,2012-07-12,4.967333333333333
742,2012-07-13,4.068666666666666
743,2012-07-14,5.198666666666667
744,2012-07-15,5.082000000000001
745,2012-07-16,4.714666666666667
746,2012-07-17,5.025666666666667
747,2012-07-18,4.607333333333334
748,2012-07-19,4.388333333333333
749,2012-07-20,4.352
750,2012-07-21,4.849333333333333
751,2012-07-22,3.4320000000000004
752,2012-07-23,4.33075
753,2012-07-24,4.477
754,2012-07-25,4.502750000000001
755,2012-07-26,3.3656666666666673
756,2012-07-27,4.151666666666666
757,2012-07-28,4.131666666666667
758,2012-07-29,5.037
759,2012-07-30,4.192333333333333
760,2012-07-31,5.114666666666667
761,2012-08-01,5.207
762,2012-08-02,5.109000000000001
763,2012-08-03,4.926666666666667
764,2012-08-04,4.996666666666667
765,2012-08-05,4.258666666666667
766,2012-08-06,7.413
767,2012-08-07,6.037999999999999
768,2012-08-08,4.202
769,2012-08-09,4.231
770,2012-08-10,4.445
771,2012-08-11,5.04
772,2012-08-12,3.7472499999999993
773,2012-08-13,4.1015
774,2012-08-14,3.64625
775,2012-08-15,4.385666666666666
776,2012-08-16,5.2683333333333335
777,2012-08-17,3.2465
778,2012-08-18,6.286
779,2012-08-19,6.369999999999999
780,2012-08-20,4.634
781,2012-08-21,5.387666666666667
782,2012-08-22,5.0489999999999995
783,2012-08-23,4.642666666666667
784,2012-08-24,4.917666666666666
