,NO3 mg/L N,Time
0,1.1,2010-11-05 12:05:00
1,,2010-11-09 08:57:00
2,,2010-11-09 09:06:00
3,,2010-11-09 09:15:00
4,,2010-12-01 11:01:00
5,,2010-12-01 11:13:00
6,,2010-12-01 11:20:00
7,,2010-12-20 11:35:00
8,0.19,2010-12-20 11:43:00
9,0.069,2010-12-20 12:00:00
10,1.0,2010-12-20 12:08:00
11,0.023,2010-12-23 07:28:00
12,3.6,2011-01-02 12:36:00
13,0.23,2011-01-11 09:32:00
14,,2011-01-11 09:43:00
15,,2011-01-11 09:51:00
16,0.015,2011-01-11 10:00:00
17,,2011-01-11 10:16:00
18,,2011-01-11 10:22:00
19,,2011-02-01 09:49:00
20,0.03,2011-02-01 10:00:00
21,0.073,2011-02-01 10:35:00
22,0.024,2011-02-01 10:45:00
23,0.033,2011-02-01 10:58:00
24,0.019,2011-02-01 11:07:00
25,3.6,2011-02-01 11:10:00
26,0.018000000000000002,2011-02-01 12:00:00
27,0.040999999999999995,2011-02-09 09:07:00
28,0.13,2011-02-09 09:57:00
29,0.062,2011-02-09 10:29:00
30,0.019,2011-02-09 11:28:00
31,12.0,2011-02-09 12:00:00
32,0.33,2011-02-09 12:58:00
33,0.75,2011-03-01 10:39:00
34,0.6,2011-03-01 10:44:00
35,0.56,2011-03-01 10:56:00
36,0.56,2011-03-01 11:02:00
37,1.5,2011-03-01 11:17:00
38,0.91,2011-03-01 11:23:00
39,5.4,2011-03-08 10:15:00
40,3.8,2011-03-08 13:44:00
41,12.0,2011-03-16 10:11:00
42,4.2,2011-04-05 09:40:00
43,1.3,2011-04-05 09:50:00
44,11.0,2011-04-05 11:18:00
45,,2011-04-05 11:24:00
46,,2011-04-05 11:32:00
47,,2011-04-05 11:42:00
48,0.54,2011-04-05 11:56:00
49,0.021,2011-04-05 12:05:00
50,6.9,2011-05-03 09:24:00
51,8.2,2011-05-03 09:32:00
52,2.7,2011-05-03 09:40:00
53,0.079,2011-05-09 08:27:00
54,0.12,2011-05-09 09:10:00
55,,2011-05-09 09:52:00
56,,2011-05-09 11:16:00
57,4.9,2011-05-09 11:58:00
58,1.6,2011-05-09 12:54:00
59,0.046,2011-06-07 09:30:00
60,0.051,2011-06-07 09:36:00
61,,2011-07-05 08:10:00
62,0.055,2011-07-05 08:17:00
63,0.08800000000000001,2011-07-06 08:39:00
64,0.15,2011-07-06 09:38:00
65,,2011-07-06 10:16:00
66,,2011-07-06 11:08:00
67,5.3,2011-07-06 11:53:00
68,0.57,2011-07-06 12:48:00
69,,2011-08-10 08:51:00
70,,2011-08-10 09:02:00
71,0.043,2011-09-02 11:58:00
72,0.027000000000000003,2011-09-13 08:55:00
73,,2011-09-13 09:10:00
74,,2011-09-27 08:58:00
75,,2011-09-27 09:05:00
76,,2011-09-27 09:12:00
77,,2011-10-11 09:39:00
78,0.017,2011-10-11 09:47:00
79,,2011-10-11 09:55:00
80,,2011-10-11 10:03:00
81,,2011-10-11 10:11:00
82,,2011-11-14 09:01:00
83,,2011-11-14 09:08:00
84,1.6,2011-11-14 09:12:00
85,0.049,2011-11-14 09:14:00
86,,2011-11-14 09:23:00
87,,2011-11-14 09:33:00
88,,2011-11-14 09:40:00
89,,2011-11-16 09:25:00
90,,2011-11-16 09:25:00
91,0.2,2011-11-16 10:11:00
92,0.2,2011-11-16 10:11:00
93,,2011-11-16 10:50:00
94,,2011-11-16 10:50:00
95,,2011-11-16 11:53:00
96,,2011-11-16 11:53:00
97,5.4,2011-11-16 12:24:00
98,5.4,2011-11-16 12:24:00
99,4.6,2011-11-16 13:23:00
100,4.6,2011-11-16 13:23:00
101,0.27,2011-12-06 10:57:00
102,0.066,2011-12-06 11:04:00
103,0.08800000000000001,2011-12-06 11:11:00
104,,2011-12-06 11:18:00
105,,2011-12-06 11:31:00
106,0.055999999999999994,2011-12-06 11:37:00
107,8.3,2011-12-22 10:32:00
108,,2012-01-10 09:42:00
109,,2012-01-10 09:49:00
110,,2012-01-10 09:55:00
111,,2012-01-10 10:09:00
112,,2012-01-10 10:16:00
113,7.0,2012-01-10 10:33:00
114,0.19,2012-01-10 11:59:00
115,0.09300000000000001,2012-02-01 08:38:00
116,0.16,2012-02-01 09:19:00
117,,2012-02-01 10:07:00
118,4.1,2012-02-02 08:51:00
119,6.0,2012-02-02 09:33:00
120,0.073,2012-02-02 10:05:00
121,,2012-02-06 08:13:00
122,,2012-02-06 08:20:00
123,,2012-02-06 08:27:00
124,,2012-02-06 08:34:00
125,,2012-02-06 08:48:00
126,,2012-02-06 08:53:00
127,0.14,2012-03-07 11:12:00
128,0.037000000000000005,2012-03-07 11:18:00
129,,2012-03-07 11:25:00
130,,2012-03-07 11:33:00
131,,2012-03-07 12:00:00
132,,2012-03-07 12:06:00
133,5.3,2012-03-19 09:07:00
134,0.12,2012-04-05 08:32:00
135,16.0,2012-04-05 08:50:00
136,0.076,2012-04-05 08:55:00
137,0.051,2012-04-05 09:00:00
138,0.027999999999999997,2012-04-05 09:05:00
139,0.067,2012-04-05 09:15:00
140,0.1,2012-04-05 09:20:00
141,0.34,2012-04-05 09:25:00
142,,2012-04-05 11:10:00
143,6.6,2012-04-06 10:14:00
144,0.12,2012-04-06 11:06:00
145,4.1,2012-04-10 08:07:00
146,,2012-05-08 13:53:00
147,,2012-05-08 13:56:00
148,3.8,2012-05-11 08:57:00
149,2.4,2012-05-15 11:35:00
150,,2012-06-05 11:05:00
151,,2012-06-05 11:10:00
152,0.052000000000000005,2012-07-03 10:00:00
153,,2012-07-03 10:03:00
154,0.74,2012-07-19 08:17:00
155,0.16,2012-07-19 09:07:00
156,,2012-07-19 09:48:00
157,3.2,2012-07-20 08:27:00
158,7.3,2012-07-20 11:10:00
159,,2012-07-20 11:50:00
160,,2012-08-13 13:50:00
161,,2012-08-13 13:56:00
162,,2012-09-04 11:35:00
163,,2012-09-04 11:40:00
164,,2012-10-03 12:34:00
165,,2012-10-03 12:41:00
166,0.61,2012-10-11 08:40:00
167,0.14,2012-10-11 09:35:00
168,,2012-10-11 10:25:00
169,3.6,2012-10-12 08:49:00
170,5.6,2012-10-12 09:42:00
171,,2012-10-12 10:23:00
172,0.88,2012-11-13 09:29:00
173,,2012-11-15 11:15:00
174,,2012-11-15 11:27:00
175,,2012-11-27 08:45:00
176,3.1,2012-12-03 08:22:00
177,,2012-12-13 11:14:00
178,,2012-12-13 11:19:00
179,1.9,2012-12-13 11:24:00
180,,2012-12-13 11:31:00
181,,2012-12-13 11:47:00
182,,2012-12-13 11:53:00
183,,2013-01-02 11:32:00
184,0.018000000000000002,2013-01-02 11:38:00
185,,2013-01-02 11:50:00
186,,2013-01-02 11:55:00
187,,2013-01-02 12:02:00
188,,2013-01-02 12:08:00
189,0.8,2013-01-10 09:03:00
190,0.064,2013-01-10 10:15:00
191,0.047,2013-01-10 12:04:00
192,2.5,2013-01-11 08:47:00
193,5.6,2013-01-11 09:45:00
194,,2013-01-11 10:30:00
195,,2013-02-04 10:30:00
196,,2013-02-04 10:39:00
197,,2013-02-04 10:49:00
198,,2013-02-04 10:54:00
199,,2013-02-04 11:15:00
200,,2013-02-04 11:21:00
201,4.6,2013-02-26 10:17:00
202,,2013-03-04 11:05:00
203,,2013-03-04 11:13:00
204,0.031,2013-03-04 11:20:00
205,,2013-03-04 11:25:00
206,,2013-03-04 11:50:00
207,,2013-03-04 11:57:00
208,2.2,2013-03-04 13:52:00
209,0.064,2013-03-04 14:05:00
210,0.064,2013-03-04 14:05:00
211,,2013-04-09 11:08:00
212,,2013-04-09 11:12:00
213,,2013-04-09 11:22:00
214,0.09300000000000001,2013-04-09 11:28:00
215,0.16,2013-04-09 11:35:00
216,0.094,2013-04-09 11:41:00
217,2.9,2013-04-15 11:15:00
218,2.9,2013-04-15 11:15:00
219,0.93,2013-04-15 12:30:00
220,,2013-05-07 10:28:00
221,,2013-05-07 10:34:00
222,1.2,2013-05-09 10:07:00
223,0.055999999999999994,2013-05-09 11:46:00
224,,2013-05-09 12:47:00
225,,2013-05-10 11:10:00
226,6.2,2013-05-10 12:28:00
227,1.4,2013-05-10 14:25:00
228,,2013-06-03 13:20:00
229,,2013-06-03 13:30:00
230,0.018000000000000002,2013-07-10 13:50:00
231,0.031,2013-07-10 13:56:00
232,1.1,2013-07-17 09:56:00
233,0.11,2013-07-17 11:21:00
234,,2013-07-17 12:27:00
235,2.5,2013-07-18 09:51:00
236,6.1,2013-07-18 10:43:00
237,,2013-07-18 11:29:00
238,,2013-08-06 10:21:00
239,,2013-08-06 10:28:00
240,,2013-09-05 10:48:00
241,,2013-09-05 10:55:00
242,0.2,2013-09-27 11:20:00
243,0.2,2013-09-27 11:20:00
244,,2013-10-02 12:41:00
245,,2013-10-02 12:45:00
246,0.12,2013-10-16 08:57:00
247,0.23,2013-10-16 10:19:00
248,,2013-10-16 12:16:00
249,,2013-10-17 09:57:00
250,2.8,2013-10-17 11:27:00
251,,2013-11-07 11:12:00
252,,2013-11-07 11:19:00
253,1.8,2013-11-07 11:37:00
254,6.5,2013-11-07 11:45:00
255,5.6,2013-11-07 11:54:00
256,,2013-11-07 12:02:00
257,,2013-12-12 10:59:00
258,,2013-12-12 11:01:00
259,0.033,2014-01-06 11:11:00
260,,2014-01-06 11:14:00
261,0.41,2014-01-23 10:33:00
262,0.12,2014-01-23 11:49:00
263,,2014-01-23 12:48:00
264,6.3,2014-01-24 10:51:00
265,3.4,2014-01-24 11:57:00
266,,2014-01-24 12:51:00
267,0.031,2014-02-04 09:10:00
268,,2014-02-04 09:24:00
269,,2014-03-03 10:38:00
270,0.068,2014-03-03 10:43:00
271,5.6,2014-04-07 11:25:00
272,11.0,2014-04-07 11:27:00
273,1.8,2014-04-17 09:30:00
274,0.091,2014-04-17 11:22:00
275,0.24,2014-04-17 12:13:00
276,6.2,2014-04-18 09:44:00
277,4.3,2014-04-18 11:20:00
278,,2014-04-18 12:33:00
279,0.064,2014-05-05 13:43:00
280,,2014-05-05 13:55:00
281,0.95,2014-06-02 08:15:00
282,1.5,2014-06-02 08:20:00
283,0.01,2014-07-07 12:13:00
284,0.02,2014-07-07 12:27:00
285,0.023,2014-07-16 10:32:00
286,0.045,2014-07-16 12:03:00
287,,2014-07-17 10:18:00
288,3.7,2014-07-17 13:11:00
289,,2014-08-04 10:30:00
290,,2014-08-04 10:35:00
291,,2014-09-09 09:48:00
292,0.023,2014-09-09 10:02:00
293,,2014-10-06 10:10:00
294,,2014-10-06 10:28:00
295,,2014-10-29 11:48:00
296,,2014-10-30 10:11:00
297,0.042,2014-11-03 11:55:00
298,,2014-11-03 12:14:00
299,0.04,2014-12-01 10:10:00
300,0.02,2014-12-01 10:30:00
301,0.011000000000000001,2015-01-05 11:15:00
302,0.024,2015-01-05 11:35:00
303,,2015-02-02 13:30:00
304,,2015-02-02 13:35:00
305,3.3,2015-02-26 09:28:00
306,,2015-02-26 10:58:00
307,2.8,2015-02-26 15:07:00
308,1.4,2015-02-27 09:05:00
