,Date,NH3 mg/L N,flow mgd,NO3 mg/L N,NO2 mg/L N,N+N mg/L N,N mg/L N
0,2010-07-06,0.9,6.2215,5.6,0.36,6.0,
1,2010-07-10,0.1,4.212333333333333,3.8,,,
2,2010-07-11,0.4,3.8693333333333335,2.8,,,
3,2010-07-13,0.5,5.9245,6.1,0.49,6.6,
4,2010-07-16,1.1,4.222333333333334,7.7,,,
5,2010-07-18,1.7,3.9095,5.1000000000000005,2.5,6.9,10.7
6,2010-07-25,1.4000000000000001,4.350333333333333,2.1,,,8.0
7,2010-07-30,0.3,3.2867500000000005,4.8,0.19,5.0,
8,2010-08-03,0.3466666666666667,3.9524999999999997,2.3666666666666667,0.56,3.3,4.3
9,2010-08-08,0.55,4.492999999999999,1.0,,,3.1
10,2010-08-11,0.1,4.013999999999999,2.5,0.21,2.7,
11,2010-08-15,1.7000000000000002,5.282333333333333,1.95,,,6.3
12,2010-08-22,5.35,5.011,1.25,,,9.4
13,2010-08-25,2.9,4.7595,2.6,0.56,3.1,
14,2010-08-29,6.949999999999999,4.480333333333333,2.0500000000000003,,,8.0
15,2010-09-04,1.75,5.550000000000001,2.3,0.37,2.7,
16,2010-09-07,5.4,5.6419999999999995,2.3,0.4,2.7,
17,2010-09-08,6.35,5.077466666666667,0.38499999999999995,,,5.8
18,2010-09-12,1.785,5.2289666666666665,2.05,,,8.6
19,2010-09-15,0.73,6.343,3.2,0.83,4.0,
20,2010-09-19,0.835,3.7789,0.52,,,7.7
21,2010-09-21,0.16,3.5398750000000003,6.8,0.11,6.9,
22,2010-09-28,0.22,5.9765,3.1,0.58,3.7,
23,2010-09-29,0.895,3.4434250000000004,2.145,,,6.7
24,2010-10-03,3.2,5.283333333333333,0.9,,,10.96
25,2010-10-05,0.32,3.078,2.0,0.36,2.38,
26,2010-10-12,0.3,5.6325,2.3,0.28,2.6,
27,2010-10-19,0.3,5.872,3.3,0.45,3.74,
28,2010-10-20,10.6,5.0329999999999995,0.06,,,17.3
29,2010-10-22,0.79,3.584,9.0,,,
30,2010-10-26,0.14,5.915,2.8,0.2,2.99,
31,2010-10-27,0.07,3.7293333333333334,0.5,,,
32,2010-10-28,14.1,3.323,0.01,,,26.37
33,2010-10-31,21.5,4.603333333333333,0.28,,,25.07
34,2010-11-02,0.22,4.251033333333333,2.7,0.301,3.0,
35,2010-11-03,0.495,3.1950000000000003,4.95,,,
36,2010-11-09,0.25,6.0634999999999994,3.9,0.218,4.1,
37,2010-11-10,10.9,3.741666666666667,2.8,,,19.1
