,N+N mg/L N,Time
0,4.153333333333333,2011-02-09
1,12.0,2011-03-16
2,1.67475,2011-05-09
3,2.006666666666667,2011-07-06
4,3.4,2011-11-16
5,0.16,2012-02-01
6,5.05,2012-02-02
7,0.23,2012-04-05
8,3.36,2012-04-06
9,3.8,2012-05-11
10,0.45,2012-07-19
11,5.25,2012-07-20
12,0.375,2012-10-11
13,4.6,2012-10-12
14,0.3036666666666667,2013-01-10
15,4.05,2013-01-11
16,1.2,2013-05-09
17,3.8,2013-05-10
18,0.6050000000000001,2013-07-17
19,4.3,2013-07-18
20,0.175,2013-10-16
