Subembayment,Facility,Year,Quart,Date,Flow  (MGD),Peak Flow (MGD),TN (mg/L),TDN (mg/L),TKN (mg/L),SKN (mg/L),NO3 (mg/L),NO2 (mg/L),Total NH3 (mg/L),Urea* (mg/L),TP (mg/L),TDP (mg/L),DRP** (mg/L),TSS (mg/L),TRP (mg/L)
Suisun Bay,Delta Diablo Sanitation District,Y 1,Q4 2012,12/18/2012,7.1,12.4,56.27,55.27,29,28,27,0.27,28,,1.6,1.2,0.92,17.3,
Suisun Bay,Delta Diablo Sanitation District,Y 1,Q1 2013,1/8/2013,7.4,14.4,65.24,62.24,28,25,37,0.24,27,,1.2,0.61,0.29,26,
Suisun Bay,Delta Diablo Sanitation District,Y 1,Q1 2013,1/16/2013,6.7,18.9,60.2,60.2,25,25,34,1.2,25,,0.82,0.56,0.17,14,
Suisun Bay,Delta Diablo Sanitation District,Y 1,Q1 2013,2/6/2013,6.3,12,71.3,60.3,27,16,44,0.3,26,,1.1,0.59,0.32,20.1,
Suisun Bay,Delta Diablo Sanitation District,Y 1,Q1 2013,2/20/2013,7.2,12.9,79.2,78.2,34,33,45,0.2,34,,1.2,0.66,0.45,17,0.43 inches of rain
Suisun Bay,Delta Diablo Sanitation District,Y 1,Q1 2013,2/26/2013,6.7,11.5,69.17,67.17,31,29,38,0.17,29,,1.2,0.76,0.49,17.3,
Suisun Bay,Delta Diablo Sanitation District,Y 1,Q1 2013,3/12/2013,6.5,15.1,49.6,50.6,30,31,18,1.6,30,,1.5,1.1,0.74,18,
Suisun Bay,Delta Diablo Sanitation District,Y 1,Q1 2013,3/20/2013,6.2,12.3,58.1,53.1,29,24,21,8.1,28,,0.88,0.94,0.65,13.1,
Suisun Bay,Delta Diablo Sanitation District,Y 1,Q2 2013,4/9/2013,10.3,15.3,46.884,43.884,39,36,7.8,0.084,36,,1.2,0.96,0.96,9.2,
Suisun Bay,Delta Diablo Sanitation District,Y 1,Q2 2013,4/18/2013,8.1,12.3,54.5,53.5,36,35,17,1.5,34,,1.1,1.1,0.66,8.2,
Suisun Bay,Delta Diablo Sanitation District,Y 1,Q2 2013,5/9/2013,8.8,14.4,70.25,69.25,36,35,34,0.25,32,,1.1,0.9,0.58,6.8,
Suisun Bay,Delta Diablo Sanitation District,Y 1,Q2 2013,5/23/2013,5.8,10.2,90.33,80.33,38,28,52,0.33,29,,0.85,0.54,0.24,9.2,
Suisun Bay,Delta Diablo Sanitation District,Y 1,Q2 2013,6/4/2013,7.1,13.8,82.41,80.41,28,26,54,0.41,29,,1.1,0.68,0.45,7.4,
Suisun Bay,Delta Diablo Sanitation District,Y 1,Q2 2013,6/19/2013,8.7,15.2,57.13,53.13,41,37,16,0.13,34,,1.5,1.2,0.79,6.7,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q3 2013,7/9/2013,3.4,5.9,77.44,79.44,22,24,55,0.44,30,,1.3,1.1,0.7,6.8,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q3 2013,7/18/2013,4.8,10.7,76.44,74.44,20,18,56,0.44,26,,1.3,1.1,0.71,8,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q3 2013,8/7/2013,7.1,14,61.29,60.29,34,33,27,0.29,34,,1.3,1.1,0.63,8.6,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q3 2013,8/28/2013,4.9,10.2,72.2,67.2,20,15,51.8,0.4,26,,1,1,0.75,13.4,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q3 2013,9/5/2013,6.3,13.8,63.37,61.37,27,25,36,0.37,29,,1.3,1.1,0.63,12.2,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q3 2013,9/18/2013,5,9.9,59.29,61.29,24,26,35,0.29,29,,0.98,0.81,0.43,7.3,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q4 2013,10/3/2013,6.5,10.2,70.44,67.44,33,30,37,0.44,32,,1.5,1.2,0.5,10,TSS from 10/2/13
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q4 2013,10/23/2013,6.3,13.2,57.53,60.53,28,31,29,0.53,30,,1.1,0.88,0.64,12.2,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q4 2013,11/6/2013,6.5,12.6,57.58,55.58,24,22,33,0.58,28,,1,0.74,0.19,10.2,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q4 2013,11/20/2013,7.7,12.8,58.13,55.13,33,30,25,0.13,33,,1.1,0.81,0.4,11,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q4 2013,12/5/2013,6.8,14,54.25,59.25,28,33,26,0.25,33,,0.97,0.62,0.34,15,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q4 2013,12/17/2013,6.2,12.2,73.35,73.35,20,20,53,0.35,30,,1.4,1,0.91,18.7,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q1 2014,1/9/2014,5.9,11.7,75.4,72.4,25,22,50,0.4,30,,1.1,0.61,0.32,22,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q1 2014,1/22/2014,4.5,7.8,79.31,73.31,29,23,50,0.31,28,,1.2,0.68,0.42,17,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q1 2014,2/5/2014,4.5,9.6,46.73,50.73,45,49,1.5,0.23,42,,1,0.67,0.25,9.9,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q1 2014,2/6/2014,9.4,16.2,50.16,57.16,34,41,16,0.16,34,,1,0.72,0.55,10.6,0.58 inches of rain
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q1 2014,2/19/2014,6.8,11.8,57.4,58.4,36,37,20,1.4,38,,1.2,0.91,0.5,8.6,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q1 2014,3/4/2014,6.4,12.4,56.8,52.8,36,32,19,1.8,35,,1.1,0.85,0.63,11,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q1 2014,3/19/2014,6.9,15.8,55.9,54.9,39,38,16,0.9,37,,1.5,1.1,1,13,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q1 2014,3/26/2014,6.7,20.5,62.9,60.9,34,32,26,2.9,38,,0.91,0.66,0.37,7.7,0.3 inches of rain
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q2 2014,4/8/2014,5.9,10.4,63.46,61.46,26,24,37,0.46,28,,0.91,0.68,0.39,10,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q2 2014,4/23/2014,6.1,13,61.27,59.27,31,29,30,0.27,33,,0.92,0.64,0.32,9,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q2 2014,5/14/2014,4.8,7.1,66.44,64.44,24,22,42,0.44,30,,1.2,0.92,0.79,11,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q2 2014,5/20/2014,6.5,14.1,52.18,49.18,35,32,17,0.18,34,,1.7,1.3,1.1,11,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q2 2014,6/4/2014,5.3,12.1,61.4,58.4,41,38,13,7.4,39,,1.5,1.3,1.1,7.5,
Suisun Bay,Delta Diablo Sanitation District,Y 2,Q2 2014,6/17/2014,8.7,13.9,54.86,52.86,37,35,17,0.86,38,,1.4,1.2,0.86,9,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q3 2014,7/2/2014,5.4,,61,,23,,38.3,,39.2,,1,,0.62,,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q3 2014,7/29/2014,4.7,,82,,20,,62.3,,28,,0.99,,0.39,,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q3 2014,8/5/2014,5.3,,74,,24,,51.38,,29,,1.2,,0.66,,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q3 2014,8/20/2014,4.9,,80,,19,,61.55,,25,,1,,0.44,,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q3 2014,9/10/2014,4.9,,70,,26,,43.41,,30,,1.2,,0.49,,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q3 2014,9/23/2014,5.9,,70,,33,,37.6,,30,,1.3,,0.74,,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q4 2014,10/7/2014,8.8,,73,,31,,42,,26,,1.4,,0.53,,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q4 2014,10/21/2014,8.6,,54,,53,,1.5,,41.2,,1.8,,1,,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q4 2014,11/5/2014,6.2,,63,,40,,23,,30.4,,1.2,,0.5,,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q4 2014,11/18/2014,5.8,,74,,41,,33,,36,,1.3,,0.6,,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q4 2014,12/9/2014,7.3,,61,,39,,22,,36.4,,1.3,,0.68,,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q4 2014,12/18/2014,9.9,,46,,36,,9.8,,30,,1,,0.26,,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q1 2015,1/6/2015,7.3,,56,,35,,21,,35.9,,1.4,,0.53,,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q1 2015,1/21/2015,6.7,,54,,30,,24,,31.3,,1.3,,0.5,,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q1 2015,2/4/2015,8.4,,56,,34,,22,,34.4,,1.2,,0.5,,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q1 2015,2/18/2015,9.9,,54,,43,,10,,40.8,,1.5,,1,,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q1 2015,3/4/2015,8.6,,49,,39,,11,,36.6,,1.7,,1.2,,
Suisun Bay,Delta Diablo Sanitation District,Y 3,Q1 2015,3/18/2015,9.1,,66,,57,,9.4,,38.8,,1.8,,1.2,,
South Bay,EBDA,Y 1,Q3 2012,7/12/2012,49.4,60,35.8,33.2,32,29.4,2.2,1.6,26.9,0.22,2.5,2.08,2.1,10,
South Bay,EBDA,Y 1,Q3 2012,8/2/2012,58.4,58,35.6,35.1,32,31.5,2.2,1.4,28,,2.5,2.17,1.7,10,
South Bay,EBDA,Y 1,Q3 2012,8/16/2012,58.5,87,36,34.1,32,30.1,2.3,1.7,26.9,0.217,2,1.79,1.8,11,
South Bay,EBDA,Y 1,Q3 2012,9/6/2012,58.7,65.3,35.9,34.7,32,30.8,2.1,1.8,27.4,,2.2,1.96,1.8,12,
South Bay,EBDA,Y 1,Q3 2012,9/20/2012,56.2,64,35.5,37.1,32,33.6,2,1.5,30.8,0.197,2.7,2.52,1.9,11,
South Bay,EBDA,Y 1,Q4 2012,10/4/2012,44,63,36.4,35.3,34,32.9,1.1,1.3,30.4,,2.3,2.09,1.7,11,
South Bay,EBDA,Y 1,Q4 2012,10/18/2012,65,93,35,33.8,32,30.8,1.7,1.3,29.6,0.183,2.2,1.93,1.4,10,
South Bay,EBDA,Y 1,Q4 2012,11/8/2012,67,92,36.6,33,33,29.4,2,1.6,28.6,,2.7,2.1,1.8,12,
South Bay,EBDA,Y 1,Q4 2012,11/21/2012,78,95,33.5,33.2,29,28.7,2.9,1.6,27.7,0.215,2.5,2.26,1.8,11,
South Bay,EBDA,Y 1,Q4 2012,11/30/2012,78,180,36.9,35.7,32,30.8,3.1,1.8,28.1,,2.4,2.22,0.45,9,
South Bay,EBDA,Y 1,Q4 2012,12/6/2012,88,136,31.2,30.1,27,25.9,2.5,1.7,24.8,,2.4,2.06,2.2,10,
South Bay,EBDA,Y 1,Q4 2012,12/20/2012,47,77,37.1,35.2,32,30.1,3.2,1.9,27.3,0.22,2.5,1.89,1.7,14,
South Bay,EBDA,Y 1,Q4 2012,12/26/2012,83,124,29.1,28.2,24,23.1,3.1,2,21.3,,2.2,2,1.5,8.4,
South Bay,EBDA,Y 1,Q1 2013,1/10/2013,73.8,90,36,35.3,30.8,30.1,3.4,1.8,28.8,0.191,2.2,1.93,2.1,12,
South Bay,EBDA,Y 1,Q1 2013,1/24/2013,71.9,106,36.9,36.2,31.5,30.8,3.5,1.9,28.6,,2.2,1.99,2.1,11,
South Bay,EBDA,Y 1,Q1 2013,2/7/2013,70.3,94,36.4,34.9,30.9,29.4,3.5,2,28.1,0.256,2.1,1.82,2,11,
South Bay,EBDA,Y 1,Q1 2013,2/21/2013,71,91,35.8,34.3,30.9,29.4,3.2,1.7,28,,2.4,2.13,2.6,11,
South Bay,EBDA,Y 1,Q1 2013,3/7/2013,68.3,88,39.4,38,35,33.6,2.7,1.7,31.4,0.212,2.6,2.27,2.7,9,
South Bay,EBDA,Y 1,Q1 2013,3/21/2013,66.8,78,37.3,35.9,32.2,30.8,3.2,1.9,29.1,,2.2,1.95,1.8,10,
South Bay,EBDA,Y 1,Q2 2013,4/18/2013,59.6,84,37.9,39,33.6,36.5,2.5,1.8,30.4,0.197,2.1,1.78,1.4,10,
South Bay,EBDA,Y 1,Q2 2013,4/23/2013,61.5,87,35.9,33.9,31.5,31,2.9,1.5,28.1,,2.6,2.31,2.1,8,
South Bay,EBDA,Y 1,Q2 2013,5/2/2013,58.4,86,36.8,37.7,32.9,35.4,2.3,1.6,28.3,0.243,2.2,1.88,1.6,9,
South Bay,EBDA,Y 1,Q2 2013,5/16/2013,58.5,84,35,35.4,29.4,32.2,3.2,2.4,29.1,,2.3,2.02,1.7,10,
South Bay,EBDA,Y 1,Q2 2013,6/6/2013,57.1,81,38.5,37.9,35.3,36.2,1.7,1.5,31.9,0.23,2.8,2.53,1.9,9,
South Bay,EBDA,Y 1,Q2 2013,6/20/2013,51.8,83,37,37.4,33.6,35.6,1.8,1.6,30.2,,2.5,1.9,1.8,13,
South Bay,EBDA,Y 2,Q3 2013,7/11/2013,50.3,82,37.3,36.6,32.2,31.5,3.2,1.9,28.3,,2.5,2.27,2.4,9,
South Bay,EBDA,Y 2,Q3 2013,7/25/2013,56.3,75,35.9,33.8,31.5,29.4,2.6,1.8,28,,2.4,2.16,1.8,10,
South Bay,EBDA,Y 2,Q3 2013,8/8/2013,55.2,74,37.7,34.9,33.6,30.8,2,2.1,30.6,,2.4,2.14,1.5,9,
South Bay,EBDA,Y 2,Q3 2013,8/22/2013,53.8,74,36.9,34.8,33.6,31.5,2,1.3,32.9,,2.4,2.05,2,10,
South Bay,EBDA,Y 2,Q3 2013,9/5/2013,56.9,80,40.3,39.6,37.1,36.4,1.7,1.5,31.5,,2.9,2.62,2.1,11,
South Bay,EBDA,Y 2,Q3 2013,9/19/2013,58,112,35.6,33.1,31.9,29.4,1.9,1.8,28.6,,2.4,2.13,1.7,9,
South Bay,EBDA,Y 2,Q4 2013,10/3/2013,54.8,118,36.9,28.5,33.6,25.2,1.9,1.4,28.7,,2.3,2.15,1.5,11,
South Bay,EBDA,Y 2,Q4 2013,10/17/2013,52,169,38.8,34.6,35,30.8,1.8,2,30.7,,1.9,1.63,1.1,10,
South Bay,EBDA,Y 2,Q4 2013,11/7/2013,61.6,80,40.9,38.8,37.8,35.7,1.5,1.6,32.8,,2.9,2.31,1.7,14,
South Bay,EBDA,Y 2,Q4 2013,11/21/2013,71.4,126,37.93,36.53,36.4,35,0.81,0.72,33,,2.1,1.83,1.3,12,
South Bay,EBDA,Y 2,Q4 2013,12/5/2013,64.2,86,44.3,40.8,39.9,36.4,2.4,2,35.3,,2.3,2.29,1.5,13,
South Bay,EBDA,Y 2,Q4 2013,12/19/2013,65,86,39.7,38.3,35.7,34.3,1.9,2.1,32.5,,2.9,2.48,1.9,15,
South Bay,EBDA,Y 2,Q1 2014,1/9/2014,60.9,86,41,32.6,37.8,29.4,1.6,1.6,32.8,,2.2,2.24,2.4,9,
South Bay,EBDA,Y 2,Q1 2014,1/23/2014,60.2,84,40.1,38.7,36.4,35,2,1.7,33,,2.4,1.64,1.6,12,
South Bay,EBDA,Y 2,Q1 2014,2/6/2014,79.2,119,40.6,38.5,37.1,35,1.6,1.9,32.2,,2.2,2.14,1.6,11,
South Bay,EBDA,Y 2,Q1 2014,2/10/2014,69.8,100,38,37,33.6,32.6,2.2,2.2,29.1,,2.3,1.65,1.5,14,
South Bay,EBDA,Y 2,Q1 2014,2/20/2014,64.4,84,38.6,37.9,33.6,32.9,2.8,2.2,30.2,,2.1,1.69,2.2,10,
South Bay,EBDA,Y 2,Q1 2014,2/27/2014,70,108,40.8,39.4,36.4,35,2.3,2.1,31.6,,2.6,1.89,2.5,12,
South Bay,EBDA,Y 2,Q1 2014,3/6/2014,71.1,93,39.1,38,34.7,33.6,2.1,2.3,30.2,,2.4,1.99,3.4,10,
South Bay,EBDA,Y 2,Q1 2014,3/20/2014,53.5,84,40.3,39.6,36.4,35.7,1.9,2,33,,2.9,2.65,1.8,10,
South Bay,EBDA,Y 2,Q2 2014,4/3/2014,69.6,90,32.5,31.8,28.7,28,1.7,2.1,24.6,,2,1.84,1.8,10,
South Bay,EBDA,Y 2,Q2 2014,4/17/2014,57.4,84,37.9,36.5,33.6,32.2,2,2.3,29.4,,2,1.56,2,12,
South Bay,EBDA,Y 2,Q2 2014,5/8/2014,47.6,89,45.4,44.7,40.6,39.9,2.2,2.6,37.8,,3.1,2.57,2.1,10,
South Bay,EBDA,Y 2,Q2 2014,5/22/2014,53,80,39.4,36.6,35,32.2,2,2.4,31.4,,2.2,1.81,1.3,16,
South Bay,EBDA,Y 2,Q2 2014,6/5/2014,52.5,76,36.4,35.7,36.4,35.7,,,33,,2.2,1.93,1.3,11,
South Bay,EBDA,Y 2,Q2 2014,6/12/2014,52.4,76,39.8,37,36.4,33.6,1.5,1.9,32.5,,2.7,2.07,1.9,12,
South Bay,EBDA,Y 2,Q2 2014,6/26/2014,48.8,67,42.7,40.6,39.2,37.1,1.8,1.7,33.9,,2.3,2,1.7,11,
South Bay,EBDA,Y 3,Q3 2014,7/10/2014,47.2,,40.4,,37.1,,3.3,,33,,2.3,,2.2,,
South Bay,EBDA,Y 3,Q3 2014,7/24/2014,50.6,,39.4,,35.7,,3.7,,33.3,,2.5,,2.6,,
South Bay,EBDA,Y 3,Q3 2014,8/7/2014,48.6,,39.9,,37.1,,2.9,,34.7,,3.1,,2.3,,
South Bay,EBDA,Y 3,Q3 2014,9/4/2014,49.5,,40.2,,36.4,,3.8,,34.2,,2.6,,2.4,,
South Bay,EBDA,Y 3,Q3 2014,9/17/2014,50.2,,39.8,,35,,4.3,,28.8,,2.5,,1.9,,
South Bay,EBDA,Y 3,Q4 2014,10/2/2014,50.4,,40.3,,36.4,,3.9,,33.5,,2.6,,2.4,,
South Bay,EBDA,Y 3,Q4 2014,10/16/2014,53.2,,42.4,,38.2,,4.2,,35.6,,2.2,,1.6,,
South Bay,EBDA,Y 3,Q4 2014,11/6/2014,55.7,,48.9,,35.7,,13,,33.6,,2.5,,1.8,,
South Bay,EBDA,Y 3,Q4 2014,11/20/2014,67.6,,42.6,,37.1,,5.5,,33.6,,2,,1.5,,
South Bay,EBDA,Y 3,Q4 2014,12/4/2014,79.3,,34.2,,29.4,,4.8,,24.6,,2.3,,1.4,,
South Bay,EBDA,Y 3,Q4 2014,12/18/2014,100.5,,28,,23.8,,4.2,,20.4,,2.5,,1.6,,
South Bay,EBDA,Y 3,Q1 2015,1/8/2015,64.1,,37.6,,32.9,,4.6,,31.1,,2,,1.3,,
South Bay,EBDA,Y 3,Q1 2015,1/22/2015,64.9,,38.8,,33.6,,5.1,,28.6,,1.9,,1.5,,
South Bay,EBDA,Y 3,Q1 2015,2/5/2015,62.5,,41.9,,37.8,,4.1,,33.6,,1.6,,1.8,,
South Bay,EBDA,Y 3,Q1 2015,2/19/2015,64.5,,35.1,,30.1,,4.9,,26.3,,2.1,,1.5,,
South Bay,EBDA,Y 3,Q1 2015,3/5/2015,61.2,,40.3,,35.7,,4.6,,31.9,,2.4,,1.7,,
South Bay,EBDA,Y 3,Q1 2015,3/19/2015,58.9,,39.6,,35,,4.6,,32.8,,1.8,,,,
Central Bay,East Bay Municipal Utility District,Y 1,Q3 2012,7/12/2012,58,81,58.2,53.6,48,43.4,7.6,2.6,40.2,0.209,7.3,6.74,3.7,16,
Central Bay,East Bay Municipal Utility District,Y 1,Q3 2012,7/26/2012,53,75,52,,46,,4.6,1.4,39.7,,6.9,,4.3,23,
Central Bay,East Bay Municipal Utility District,Y 1,Q3 2012,8/2/2012,50,68,47.1,46.4,42,41.3,3.9,1.2,37.5,0.389,3.7,3.16,2.1,21,
Central Bay,East Bay Municipal Utility District,Y 1,Q3 2012,8/16/2012,51,71,50,48,44,42,4.4,1.6,37.6,,3.4,3.11,1.7,13,
Central Bay,East Bay Municipal Utility District,Y 1,Q3 2012,9/6/2012,49,60,45.58,41.98,40,36.4,4.6,0.98,34.2,0.354,3.4,2.96,2.7,21,
Central Bay,East Bay Municipal Utility District,Y 1,Q3 2012,9/20/2012,51,61,50,49.4,44,43.4,5,1,39.5,,4.4,4.37,2.5,22,
Central Bay,East Bay Municipal Utility District,Y 1,Q4 2012,10/3/2012,51,81,47.9,45.1,42,39.2,4.7,1.2,37,0.196,2.9,2.4,1.8,19,
Central Bay,East Bay Municipal Utility District,Y 1,Q4 2012,10/18/2012,50,83,55.98,53.78,54,51.8,1.5,0.48,48.2,,5,4.48,4,16,
Central Bay,East Bay Municipal Utility District,Y 1,Q4 2012,11/7/2012,50,60,48.7,44.9,43,39.2,4.5,1.2,38.6,0.215,4.6,3.85,3,12,
Central Bay,East Bay Municipal Utility District,Y 1,Q4 2012,11/21/2012,106,188,43.9,39.5,38,33.6,4.6,1.3,33,,4.6,4.2,1.9,22,
Central Bay,East Bay Municipal Utility District,Y 1,Q4 2012,11/27/2012,53,77,47.4,44.9,41,38.5,5,1.4,37.5,,5.5,4.98,4.8,20,
Central Bay,East Bay Municipal Utility District,Y 1,Q4 2012,11/30/2012,117,256,38.3,32.6,33,27.3,4.2,1.1,27.4,,5.4,4.06,3.2,31,
Central Bay,East Bay Municipal Utility District,Y 1,Q4 2012,12/5/2012,113,267,17.1,16,13,11.9,2.7,1.4,10.4,0.899,1.7,1.34,2,22,
Central Bay,East Bay Municipal Utility District,Y 1,Q4 2012,12/20/2012,59,75,43.3,41.6,36,34.3,5.1,2.2,31.3,,4.4,3.94,3,11,
Central Bay,East Bay Municipal Utility District,Y 1,Q1 2013,1/9/2013,60,85,48.5,47.1,42,40.6,5.4,1.1,35.8,0.185,4.7,4.38,4.2,13,
Central Bay,East Bay Municipal Utility District,Y 1,Q1 2013,1/24/2013,58,77,48.85,46.35,43.1,40.6,5,0.75,38.6,,2.7,2.44,1.6,11,
Central Bay,East Bay Municipal Utility District,Y 1,Q1 2013,2/6/2013,53,75,47.43,46.03,42,40.6,4.7,0.73,37.5,0.277,3.4,3.17,2.7,7,
Central Bay,East Bay Municipal Utility District,Y 1,Q1 2013,2/21/2013,56,80,50.6,47.4,45.2,42,4.4,1,36.7,,5.2,4.57,4.4,21,
Central Bay,East Bay Municipal Utility District,Y 1,Q1 2013,3/6/2013,65,87,45.5,42.7,40.6,37.8,3.8,1.1,35.7,0.49,4.4,4.08,4,15,
Central Bay,East Bay Municipal Utility District,Y 1,Q1 2013,3/20/2013,58,84,54.8,52.7,49,46.9,4.5,1.3,40.3,,5.1,4.91,3.9,13,
Central Bay,East Bay Municipal Utility District,Y 1,Q2 2013,4/3/2013,60,68,,,,,3.8,1.3,,0.815,3.4,2.93,1.9,23,
Central Bay,East Bay Municipal Utility District,Y 1,Q2 2013,4/18/2013,53,68,51.6,47.4,46.2,42,4.1,1.3,39.5,1.05,4.2,3.31,2.5,22,
Central Bay,East Bay Municipal Utility District,Y 1,Q2 2013,4/23/2013,55,77,53.32,43.52,48.3,38.5,4.4,0.62,40,,3.7,3.07,3,23,
Central Bay,East Bay Municipal Utility District,Y 1,Q2 2013,5/1/2013,49,67,46.01,38.31,41.3,33.6,3.9,0.81,33,0.283,4,3.27,1.7,24,
Central Bay,East Bay Municipal Utility District,Y 1,Q2 2013,5/16/2013,52,64,45.6,42.8,39.9,37.1,4.6,1.1,38.1,,4.7,4.19,4.2,27,
Central Bay,East Bay Municipal Utility District,Y 1,Q2 2013,6/5/2013,54,97,55.33,48.63,50.4,43.7,4,0.93,43.7,0.464,4.6,3.88,1.5,32,
Central Bay,East Bay Municipal Utility District,Y 1,Q2 2013,6/20/2013,47,69,56.5,52.3,50.4,46.2,4.8,1.3,47,,2.4,2.06,1.5,20,
Central Bay,East Bay Municipal Utility District,Y 2,Q3 2013,7/11/2013,48,62,55.2,51,53.2,49,0.5,1.5,40.3,,2.1,1.34,1.1,24,
Central Bay,East Bay Municipal Utility District,Y 2,Q3 2013,7/25/2013,50,68,61.5,56.6,55.3,50.4,1.3,4.9,47.2,,2.1,1.27,1.4,27,
Central Bay,East Bay Municipal Utility District,Y 2,Q3 2013,8/8/2013,51,69,55.3,53.9,51.8,50.4,1.5,2,47.8,,1.4,1.08,0.37,20,
Central Bay,East Bay Municipal Utility District,Y 2,Q3 2013,8/22/2013,51,76,58.4,51.4,53.9,46.9,2.9,1.6,47.6,,5.6,4.25,4.5,21,
Central Bay,East Bay Municipal Utility District,Y 2,Q3 2013,9/5/2013,48,64,44.2,42.8,39.9,38.5,3.2,1.1,36.4,,3.3,2.81,2.4,14,
Central Bay,East Bay Municipal Utility District,Y 2,Q3 2013,9/19/2013,50,74,53.35,49.45,48.4,44.5,4,0.95,43.1,,4.9,4.46,4.2,19,
Central Bay,East Bay Municipal Utility District,Y 2,Q4 2013,10/3/2013,48,61,56.9,52.7,51.8,47.6,4.1,1,43.7,,3.1,3.08,1.4,23,
Central Bay,East Bay Municipal Utility District,Y 2,Q4 2013,10/17/2013,46,72,50.1,43.1,42,35,6.4,1.7,36.1,,4.6,3.49,3.8,18,
Central Bay,East Bay Municipal Utility District,Y 2,Q4 2013,11/7/2013,51,71,57.7,56.3,51.8,50.4,4.8,1.1,45.9,,5.7,5.05,4.7,12,
Central Bay,East Bay Municipal Utility District,Y 2,Q4 2013,11/21/2013,80,147,38.24,31.94,36.4,30.1,1.2,0.64,29.1,,2.7,2.22,1.6,20,
Central Bay,East Bay Municipal Utility District,Y 2,Q4 2013,12/5/2013,51,77,63.7,60.2,56,52.5,5.7,2,49.3,,4.6,4.42,3.8,20,
Central Bay,East Bay Municipal Utility District,Y 2,Q4 2013,12/19/2013,50,69,59.2,57.5,52.5,50.8,5.1,1.6,46.5,,4.4,3.93,2.9,14,
Central Bay,East Bay Municipal Utility District,Y 2,Q1 2014,1/9/2014,44,59,39.7,38.3,33.6,32.2,4.6,1.5,31.6,,4.1,3,3.2,9.3,
Central Bay,East Bay Municipal Utility District,Y 2,Q1 2014,1/23/2014,49,60,56.7,51.1,49,43.4,6,1.7,42.3,,4,2.87,2,16,
Central Bay,East Bay Municipal Utility District,Y 2,Q1 2014,2/6/2014,60,98,64.7,59.5,56,50.8,6.5,2.2,49.3,,5.2,4.95,3.7,21,
Central Bay,East Bay Municipal Utility District,Y 2,Q1 2014,2/10/2014,154,258,20.6,18.8,15.4,13.6,3.8,1.4,10.4,,1.9,1.56,1.1,25,
Central Bay,East Bay Municipal Utility District,Y 2,Q1 2014,2/20/2014,52,66,52.5,51.1,44.8,43.4,5.7,2,39.5,,5,4.43,4.4,15,
Central Bay,East Bay Municipal Utility District,Y 2,Q1 2014,2/27/2014,80,115,51.7,49.3,44.8,42.4,5.1,1.8,36.7,,5,4.92,1.8,25,
Central Bay,East Bay Municipal Utility District,Y 2,Q1 2014,3/6/2014,81,149,46.7,44.6,39.2,37.1,5.5,2,34.2,,3.6,3.12,2.7,10,
Central Bay,East Bay Municipal Utility District,Y 2,Q1 2014,3/20/2014,56,71,52.3,48.8,43.4,39.9,6.9,2,37.5,,6.8,2.6,5.2,19,
Central Bay,East Bay Municipal Utility District,Y 2,Q2 2014,4/3/2014,96,158,28.7,27.3,21.7,20.3,5,2,16.8,,2.4,2.22,1.2,11,
